,frontier_male,frontier_female,tuple,communications_male,communications_female,print_male,print_female,average_male,average_female,male-female
69,1.8622558,2.1403413,"('lazy', 'industrious')",0.31666902,0.3407663,-1.5956277,-1.675154,0.1944324,0.2686512,-0.0742188
85,1.7920299,2.2442179,"('insignificant', 'prestigious')",-0.48986882,-0.39833158,-1.6537685,-1.7352093,-0.1172025,0.0368923,-0.1540948
82,-1.686063,-1.7933056,"('poor', 'rich')",0.5539655,0.4832133,6.5562115,6.500939,1.8080381,1.7302821,0.077756
81,-1.6546729,-1.8796684,"('submissive', 'aggressive')",1.0525217,0.8960317,0.7550945,0.7663343,0.0509811,-0.0724341,0.1234152
33,1.6031572,1.8672067,"('wrong', 'right')",0.8190216,0.8297915,-0.2590743,-0.39550653,0.7210348,0.7671638,-0.046129
9,1.5847319,1.7643551,"('unaffectionate', 'caring')",0.026918408,0.063635394,0.8768811,0.8907648,0.8295105,0.9062517,-0.0767412
26,1.5211476,2.0423205,"('hardhearted', 'benevolent')",0.47302204,0.6599919,0.16002141,0.3497053,0.7180637,1.0173392,-0.2992755
71,1.4894711,1.6523817,"('diffident', 'self-confident')",0.81807935,0.8484788,0.6132351,0.6864411,0.9735951,1.0624339,-0.0888388
25,1.4832597,1.6480792,"('egoistic', 'altruistic')",0.7055507,0.7208422,0.14823802,0.17197844,0.7790161,0.8469666,-0.0679505
73,1.4257796,1.5679551,"('helpless', 'self-reliant')",-0.018317001,0.022363923,-3.403232,-3.4723887,-0.6652565,-0.6273566,-0.0378999
39,1.3860255,1.225155,"('exploitative', 'cooperative')",0.97393924,0.98743016,0.24292254,0.29424843,0.8676291,0.8356112,0.0320179
10,-1.2897449,-1.7153369,"('unsympathetic', 'sympathetic')",-0.6200185,-0.7362195,0.985202,0.98019636,-0.3081871,-0.4904534,0.1822663
8,1.2882438,1.7203681,"('unaffectionate', 'affectionate')",-0.7158745,-0.635806,-0.033468116,0.022797555,0.1796337,0.3691199,-0.1894862
44,-1.2541975,-1.4682814,"('prejudiced', 'unprejudiced')",-0.77081454,-0.82043135,-0.82241106,-0.94005185,-0.949141,-1.0762548,0.1271138
5,1.2342361,1.48999,"('distant', 'outgoing')",-0.376851,-0.43649483,-1.0405902,-1.1777551,-0.0610683,-0.04142,-0.0196483
59,1.2217145,1.4100168,"('foolish', 'wise')",-0.005629752,-0.06613211,-0.33352363,-0.42857185,0.294187,0.3051043,-0.0109173
3,-1.1790787,-1.4563047,"('repellent', 'pleasant')",0.23043533,0.028234486,1.096521,1.05357,0.0492925,-0.1248334,0.1741259
55,-1.1653551,-1.5247273,"('incompetent', 'clever')",0.2905994,0.19932902,0.9398468,0.899614,0.021697,-0.1419281,0.1636251
66,1.141413,1.194615,"('inactive', 'active')",-0.776709,-0.8217635,0.26262712,0.3122209,0.2091104,0.2283575,-0.0192471
51,-1.120905,-1.2957333,"('uneducated', 'educated')",0.03046716,0.07703883,0.5681528,0.5915467,-0.174095,-0.2090492,0.0349542
1,1.0670972,1.3654653,"('unfriendly', 'friendly')",0.79138845,0.8117286,0.3334256,0.29608312,0.7306371,0.8244257,-0.0937886
72,1.0267689,1.133996,"('unambitious', 'ambitious')",0.1753404,0.2988707,0.44266075,0.48918802,0.5482567,0.6406849,-0.0924282
6,1.0150279,1.2442663,"('distant', 'open')",-1.2505885,-1.2378783,-0.6968065,-0.71110135,-0.310789,-0.2349045,-0.0758845
21,-0.97303736,-1.4198685,"('immoral', 'moral')",0.7792604,0.7085893,0.44655302,0.47337618,0.0842587,-0.079301,0.1635597
79,0.9572984,1.2103732,"('wavering', 'unwavering')",-1.3590021,-1.2767693,-1.1009208,-1.0765488,-0.5008748,-0.3809816,-0.1198932
45,-0.94164413,-1.2056637,"('incompetent', 'competent')",-0.19166648,-0.30416253,0.15247738,0.063428,-0.3269444,-0.4821327,0.1551883
74,0.92329913,0.93693477,"('undedicated', 'dedicated')",-0.012245949,-0.0040643327,-0.49025297,-0.50267315,0.1402667,0.1433991,-0.0031324
0,-0.91701084,-1.2634976,"('unsociable', 'sociable')",-0.090764865,-0.23246594,0.15609865,0.0261698,-0.2838923,-0.4899313,0.206039
12,0.9162574,0.8039021,"('unsupportive', 'supportive')",0.24138409,0.099839374,-1.4375188,-1.4551461,-0.0932925,-0.1838015,0.090509
84,0.91221464,0.90984184,"('inferior', 'superior')",0.28721926,0.32908106,0.09774951,0.21539104,0.4323945,0.4847713,-0.0523768
64,-0.8735604,-0.96345055,"('shy', 'confident')",0.45081207,0.3170845,-5.2974863,-5.4879723,-1.906745,-2.0447795,0.1380345
