,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
26,1.4277589,1.7404828,"('hardhearted', 'benevolent')",1.0964084,1.300794,0.88650525,0.96834666,1.1935928,1.3182749,1.1510663,1.3319746,-0.1809083
68,-1.3515486,-1.4179891,"('dependent', 'independent')",-2.15716,-2.1139026,-1.3443468,-1.440515,-0.6174122,-0.6812561,-1.3676168,-1.4134158,0.045799
61,-1.318503,-1.2972931,"('illogical', 'logical')",-0.5552911,-0.67567587,0.4768489,0.5359795,0.6414191,0.7004801,-0.1888815,-0.1841273,-0.0047542
43,1.280267,1.2486997,"('irresponsible', 'responsible')",-1.466605,-1.5692371,0.95402557,1.1036851,1.2113724,1.3594431,0.494765,0.5356477,-0.0408827
12,1.134227,1.3236228,"('unsupportive', 'supportive')",-1.1795607,-1.2012602,0.4462664,0.45606467,-1.3978688,-1.2683394,-0.249234,-0.172478,-0.076756
74,1.0242155,0.8993503,"('undedicated', 'dedicated')",-0.3796827,-0.37184942,1.0336087,0.8569412,-0.015919061,-0.08600295,0.4155556,0.3246098,0.0909458
31,-1.013928,-0.9802497,"('evil', 'good')",-0.04233248,0.045239225,-1.1481603,-1.3370539,-0.37177446,-0.49373415,-0.6440489,-0.6914496,0.0474007
29,-0.99893045,-1.2462603,"('unfair', 'fair')",-0.85297614,-0.86070603,0.06716499,-0.22164355,-0.6251062,-0.66257685,-0.6024619,-0.7477967,0.1453348
2,0.99674493,0.9374312,"('unlikable', 'likable')",1.5353354,1.4611914,1.6600187,1.4049693,0.81291765,0.6330742,1.2512542,1.1091665,0.1420877
84,-0.9941586,-1.5596266,"('inferior', 'superior')",-0.62013227,-0.7727618,-0.55919325,-1.0907202,-0.5666299,-0.6910948,-0.6850286,-1.0285509,0.3435223
49,-0.97814035,-0.84149545,"('unable', 'able')",-1.0194412,-1.0868955,0.20068839,0.2618804,-0.12057944,-0.12765884,-0.4793682,-0.4485424,-0.0308258
16,-0.90182084,-0.91678363,"('unpopular', 'popular')",-0.23344739,-0.36435738,-0.46968505,-0.79501885,0.66860926,0.50998205,-0.234086,-0.3915445,0.1574585
53,-0.82138014,-0.52270657,"('uncreative', 'creative')",-0.72363657,-0.8598031,0.07430512,0.15102239,0.5711906,0.54573375,-0.2248803,-0.1714384,-0.0534419
19,-0.8103086,-0.5225682,"('inhospitable', 'hospitable')",-1.3080066,-1.1471024,-0.31454733,-0.43118417,-0.31793594,-0.3664555,-0.6876996,-0.6168276,-0.070872
47,-0.8034683,-0.85683185,"('stupid', 'smart')",0.10379855,0.12020868,1.0542514,1.115019,5.513211,5.4789925,1.4669482,1.4643471,0.0026011
39,0.7673048,0.49900028,"('exploitative', 'cooperative')",0.5674782,0.36284712,-0.18609434,-0.09855297,-0.97119963,-0.8944692,0.0443722,-0.0327937,0.0771659
73,0.75922406,0.6724484,"('helpless', 'self-reliant')",1.1589147,1.1970669,-0.8623854,-0.7241809,-3.648281,-3.597738,-0.648132,-0.6131009,-0.0350311
7,0.75379604,0.9936835,"('insensitive', 'sensitive')",-0.13774037,-0.20631713,0.09751418,0.2892646,0.6753926,0.88480717,0.3472406,0.4903595,-0.1431189
76,0.750956,0.44051585,"('anxious', 'daring')",0.11842645,-0.041851033,0.8606313,0.64513254,-0.86320776,-0.89344466,0.2167015,0.0375882,0.1791133
80,0.72823316,0.9070465,"('dominated', 'dominating')",-0.39510292,-0.26970947,1.0986756,1.540368,-0.70260453,-0.44561642,0.1823003,0.4330221,-0.2507218
45,-0.6980524,-0.29666394,"('incompetent', 'competent')",-1.8199023,-1.7550128,1.0290266,1.2699727,0.523275,0.67289543,-0.2414133,-0.0272022,-0.2142111
40,0.66553134,0.9754983,"('stingy', 'generous')",1.091914,1.1024307,0.19074287,0.28484717,-1.8474134,-1.6224961,0.0251937,0.18507,-0.1598763
17,-0.6648463,-0.6016693,"('nasty', 'nice')",0.307641,0.3222185,-1.0493677,-1.0297136,-0.9533936,-0.9159662,-0.5899916,-0.5562826,-0.033709
79,0.65953153,0.89096975,"('wavering', 'unwavering')",0.19738044,0.22562386,0.01518502,-0.20426594,0.42162594,0.34541425,0.3234307,0.3144355,0.0089952
15,0.65317476,0.55787534,"('boring', 'funny')",1.0449883,0.9675563,0.94476867,1.0326183,0.06820001,0.072575174,0.677783,0.6576563,0.0201267
44,-0.6525366,-1.0064522,"('prejudiced', 'unprejudiced')",0.7236966,0.71634364,-0.66752833,-0.8558947,-1.8869427,-2.1416876,-0.6208278,-0.8219227,0.2010949
1,-0.63983107,-0.3865089,"('unfriendly', 'friendly')",-0.71938574,-0.7791009,-0.4336426,-0.51248497,1.4218159,1.3947328,-0.0927609,-0.0708405,-0.0219204
36,-0.61340773,-0.55353945,"('hostile', 'amicable')",1.8267927,1.6815853,-0.73238176,-1.1421951,0.798433,0.5066984,0.3198591,0.1231373,0.1967218
64,-0.60142136,-0.79979,"('shy', 'confident')",-0.59391224,-0.6990844,-0.8119805,-0.8425606,-6.619906,-6.7228837,-2.156805,-2.2660797,0.1092747
59,0.5950084,0.63542914,"('foolish', 'wise')",0.17046744,0.19164798,0.06983931,0.069945276,1.1310163,1.106142,0.4915828,0.5007911,-0.0092083
56,0.58902556,0.41357785,"('impractical', 'practical')",-0.30634314,-0.40474677,1.3042661,1.3267982,-0.46456155,-0.5768009,0.2805967,0.1897071,0.0908896
83,-0.5702178,-0.5808757,"('powerless', 'powerful')",0.31353474,0.16220334,-1.1748388,-1.25108,-1.3690037,-1.3773737,-0.7001314,-0.7617815,0.0616501
23,0.54791737,0.59256846,"('insincere', 'sincere')",-0.5125294,-0.6668016,1.077687,1.0636955,6.1168222,6.073317,1.8074744,1.7656949,0.0417795
37,-0.5312562,-0.62146246,"('fake', 'genuine')",-1.3970379,-1.3626915,-0.3504558,-0.25875795,0.38934788,0.31961802,-0.4723505,-0.4808235,0.008473
20,-0.50903964,-0.40975174,"('rough', 'thoughtful')",0.0042220447,-0.05076737,-0.025867768,-0.1632312,0.055420637,0.17884259,-0.1188162,-0.1112269,-0.0075893
18,0.5028434,0.6283121,"('disagreeable', 'welcoming')",0.076235205,0.008616637,-0.4410905,-0.5030499,-0.3870822,-0.4009713,-0.0622735,-0.0667731,0.0044996
38,0.50220793,0.40634802,"('untruthful', 'truthful')",-0.24250694,-0.31282,0.064683154,-0.009676181,0.92359316,0.806687,0.3119943,0.2226347,0.0893596
52,-0.49182642,-0.6379463,"('irrational', 'rational')",-0.12657604,-0.17504223,-0.40872085,-0.6297589,1.1231921,1.0229244,0.0240172,-0.1049557,0.1289729
46,-0.4918,-0.2831245,"('uncompetitive', 'competitive')",-0.9729785,-1.1269224,0.022165438,0.084283024,-0.29066756,-0.2524178,-0.4333201,-0.3945454,-0.0387747
41,0.4804891,0.6687761,"('unforgiving', 'forgiving')",0.3278905,0.27194697,0.27345198,0.3508311,0.45961002,0.5462166,0.3853604,0.4594427,-0.0740823
50,-0.47207808,-0.346729,"('clumsy', 'skillful')",0.1132322,0.0517141,0.14123824,-0.018597387,0.6471923,0.5983813,0.1073962,0.0711922,0.036204
14,0.4610282,0.5037051,"('antisocial', 'social')",0.088742316,0.057771314,1.4881816,1.5113951,-0.6767419,-0.48937634,0.3403025,0.3958738,-0.0555713
71,0.42864493,0.33561483,"('diffident', 'self-confident')",0.2618384,0.16495863,-0.19474515,-0.4213895,-0.35153884,-0.40648916,0.0360498,-0.0818263,0.1178761
42,0.41811997,0.38653973,"('unreliable', 'reliable')",0.42201656,0.31254026,-0.35296714,-0.40679353,-3.9420106,-3.8618457,-0.8637103,-0.8923898,0.0286795
34,-0.40868095,-0.5175701,"('mean', 'honorable')",0.34664682,0.2503007,0.5974766,0.40310457,5.1361904,5.0112834,1.4179082,1.2867796,0.1311286
48,-0.3927315,-0.16367796,"('unintelligent', 'intelligent')",-1.9803729,-2.0270135,-0.38598755,-0.2468629,0.5468158,0.5906482,-0.553069,-0.4617265,-0.0913425
57,-0.38553742,-0.17333984,"('unimaginative', 'imaginative')",-1.0096413,-1.0904428,0.28347448,0.55289966,-2.9692855,-2.8807518,-1.0202475,-0.8979087,-0.1223388
82,-0.37795222,-0.27726454,"('poor', 'rich')",-0.72643256,-0.74002236,2.1072214,1.9472164,6.746469,6.696939,1.9373264,1.9067171,0.0306093
24,-0.35368282,-0.24241993,"('dishonest', 'honest')",-1.7523339,-1.8270673,-0.8028178,-0.6250708,1.1773859,1.1971558,-0.4328621,-0.3743505,-0.0585116
72,0.34755415,0.44017878,"('unambitious', 'ambitious')",-0.7779456,-0.7703957,0.7457027,0.87242943,0.76760864,0.87384075,0.27073,0.3540133,-0.0832833
25,-0.3465269,-0.7436311,"('egoistic', 'altruistic')",0.78634113,0.63934255,-0.040539853,-0.60346746,1.1422179,0.89510435,0.3853731,0.0468371,0.338536
13,-0.34425607,-0.4869011,"('impolite', 'polite')",-0.2291005,-0.29611176,-0.40348622,-0.126945,-0.35578486,-0.2862167,-0.3331569,-0.2990437,-0.0341132
35,-0.3437783,-0.53968346,"('corrupt', 'incorrupt')",1.5151849,1.5696818,-1.8430882,-2.1650968,-0.36660835,-0.6115577,-0.2595725,-0.436664,0.1770915
11,0.34201387,0.19980747,"('unhelpful', 'helpful')",-1.1256908,-1.2004688,1.043005,0.9599207,1.7062023,1.6303617,0.4913826,0.3974053,0.0939773
55,-0.33862692,-0.21541898,"('incompetent', 'clever')",-2.2491035,-2.3748894,0.9677414,1.1122508,0.18489276,0.2497949,-0.3587741,-0.3070657,-0.0517084
32,0.33280706,0.21185876,"('unkind', 'kind')",0.091042936,0.08705288,1.4930739,1.3946905,1.0896716,1.0587054,0.7516489,0.6880769,0.063572
63,0.33149827,0.5999783,"('unperceptive', 'insightful')",-0.6816157,-0.75987077,0.43948802,0.59774584,0.8889659,1.0358741,0.2445841,0.3684319,-0.1238478
10,-0.3310459,-0.153743,"('unsympathetic', 'sympathetic')",-2.4727125,-2.4593315,0.4223975,0.5512922,0.09529304,0.20308383,-0.571517,-0.4646746,-0.1068424
70,0.32446474,0.4519191,"('lethargic', 'energetic')",-0.9985366,-1.0014253,1.4050995,1.4335041,0.8234985,0.8706872,0.3886315,0.4386713,-0.0500398
58,-0.3164142,0.10668797,"('undiscriminating', 'discriminating')",0.54950094,0.61486787,-0.34456772,-0.13080597,-0.09214231,0.108498916,-0.0509058,0.1748122,-0.225718
88,-0.30814365,-0.09097698,"('low', 'eminent')",-1.017841,-1.0047649,0.070626296,0.050909244,-0.4803817,-0.61024845,-0.433935,-0.4137703,-0.0201647
77,-0.30516064,-0.4052101,"('unmotivated', 'motivated')",0.188668,-0.050508343,-0.7178351,-0.80487895,-0.78675485,-0.7391168,-0.4052706,-0.4999286,0.094658
6,-0.30418485,-0.48639673,"('distant', 'open')",0.39057052,0.3518417,-1.1331578,-1.4954555,0.2995239,0.1285762,-0.1868121,-0.3753586,0.1885465
65,0.30093762,0.060814947,"('insecure', 'secure')",-0.55753654,-0.6745161,1.2449813,1.095828,0.023287557,0.10513778,0.2529175,0.1468162,0.1061013
5,-0.28888568,-0.30511388,"('distant', 'outgoing')",0.76761305,0.7551895,-1.1962157,-1.4155668,-0.59806114,-0.6316779,-0.3288874,-0.3992923,0.0704049
9,0.27079877,0.27489445,"('unaffectionate', 'caring')",-0.41355172,-0.46564704,0.022243816,0.099679515,1.4363463,1.4429917,0.3289593,0.3379797,-0.0090204
3,-0.269432,-0.3562869,"('repellent', 'pleasant')",-0.100263745,-0.14320129,1.1453732,1.0363111,1.4647641,1.2063862,0.5601104,0.4358023,0.1243081
21,0.25937927,0.31522554,"('immoral', 'moral')",-0.99971586,-1.1534016,1.5569563,1.4240633,-0.05127824,-0.06758237,0.1913354,0.1295762,0.0617592
85,-0.25719357,-0.23935358,"('insignificant', 'prestigious')",0.4676431,0.43033287,-0.55984455,-0.8893608,0.06712936,0.021365214,-0.0705664,-0.1692541,0.0986877
86,0.25362563,0.9874923,"('uninfluential', 'influential')",-2.2017422,-2.1489704,0.09288445,0.39615557,0.6325309,0.78845954,-0.3056753,0.0057843,-0.3114596
75,-0.22615191,-0.37346074,"('meek', 'impulsive')",1.050412,1.0818852,-0.50607944,-0.6979043,-0.38427526,-0.41537428,-0.0165236,-0.1012135,0.0846899
0,-0.21744418,-0.04581876,"('unsociable', 'sociable')",-0.6021393,-0.6503033,0.89495146,1.102976,-0.39828563,-0.28719214,-0.0807294,0.0299154,-0.1106448
87,0.208794,0.3113032,"('unsuccessful', 'successful')",0.7596957,0.8423547,2.2005718,2.386976,0.9921263,1.1492589,1.0402969,1.1724732,-0.1321763
28,-0.2076454,0.07813149,"('disloyal', 'loyal')",-1.4595088,-1.5732546,0.65802234,0.72641164,1.731012,1.714696,0.18047,0.2364961,-0.0560261
81,0.20418958,0.063650034,"('submissive', 'aggressive')",-0.9648521,-1.0337769,0.9897234,0.9882031,-0.43248838,-0.3203255,-0.0508569,-0.0755623,0.0247054
22,-0.1968251,0.04488432,"('untrustworthy', 'trustworthy')",-0.9606287,-1.0137683,0.6712149,0.83545005,-0.7966102,-0.75791216,-0.3207123,-0.2228365,-0.0978758
78,-0.19555433,0.12998588,"('nonresilient', 'resilient')",-0.20773648,-0.2829983,0.04382586,-0.025509879,-0.24287102,-0.15346147,-0.150584,-0.0829959,-0.0675881
30,-0.19487853,-0.09665885,"('intolerant', 'tolerant')",-0.62630606,-0.6061503,-0.09133232,0.08679395,0.22228384,0.2217659,-0.1725583,-0.0985623,-0.073996
27,0.17948155,0.23277956,"('hardhearted', 'softhearted')",-0.43417597,-0.339694,-0.619073,-0.5966657,1.0551155,1.1473677,0.045337,0.1109469,-0.0656099
51,0.17728144,0.5225352,"('uneducated', 'educated')",-1.6591121,-1.5468284,1.9113346,2.2346213,0.1170001,0.27340138,0.136626,0.3709324,-0.2343064
62,0.14995007,0.30742297,"('incompetent', 'brilliant')",-0.67381746,-0.7825803,1.6399341,1.8040426,0.677861,0.7173942,0.4484819,0.5115699,-0.063088
54,-0.14716442,-0.2235768,"('incapable', 'capable')",0.21886069,0.15821634,0.8521769,0.74817,1.7788496,1.6400993,0.6756807,0.5807272,0.0949535
8,0.13219258,0.32205057,"('unaffectionate', 'affectionate')",-1.0272001,-1.0186763,-0.33698794,-0.2739649,0.654309,0.6874748,-0.1444216,-0.070779,-0.0736426
69,0.12881583,0.16154158,"('lazy', 'industrious')",2.5714574,2.5878413,-0.95735663,-1.1063347,-1.0720885,-1.1453156,0.167707,0.1244332,0.0432738
66,-0.08364436,-0.25726953,"('inactive', 'active')",0.9246825,0.9550366,-0.0010066666,-0.15840423,0.5608873,0.6193251,0.3502297,0.289672,0.0605577
33,0.0809962,-0.0017550662,"('wrong', 'right')",1.1068,1.0925465,0.24166703,0.14680068,-0.15364584,-0.23741943,0.3189543,0.2500432,0.0689111
4,-0.05109655,0.42666572,"('disliked', 'liked')",0.3305357,0.3767844,-0.31696942,0.11877243,-6.6779814,-6.5087223,-1.6788779,-1.3966249,-0.282253
60,0.01861196,0.05106003,"('inefficient', 'efficient')",-0.92826724,-1.0379657,0.7469356,0.77637917,-0.37551135,-0.37041152,-0.1345578,-0.1452345,0.0106767
67,-0.013138272,-0.57210666,"('doubtful', 'determined')",0.7414131,0.78336686,0.12202085,0.030967936,-0.99277675,-1.0743687,-0.0356203,-0.2080351,0.1724148
