,gilead_male,gilead_female,tuple,sciences_male,sciences_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1489494,-1.8749956,"('unfriendly', 'friendly')",-0.8982346,-0.7664165,0.66764086,0.7206427,-0.793181,-0.6402564,-0.1529246
38,-1.6514981,-1.6906974,"('untruthful', 'truthful')",-0.37811133,-0.51723117,0.029925404,-0.1364308,-0.6665614,-0.7814531,0.1148917
10,-1.6289836,-1.8272704,"('unsympathetic', 'sympathetic')",-0.71956134,-0.6064598,0.19597661,0.13906392,-0.7175228,-0.7648888,0.047366
19,-1.5608954,-1.3356161,"('inhospitable', 'hospitable')",-1.2924328,-1.1602525,-0.5703074,-0.47434038,-1.1412118,-0.9900697,-0.1511421
86,-1.5127659,-1.4706246,"('uninfluential', 'influential')",-0.10679567,0.022470474,0.024162075,0.037775505,-0.5317998,-0.4701262,-0.0616736
32,-1.4710665,-1.5161159,"('unkind', 'kind')",0.16123798,0.307454,0.44153118,0.63954693,-0.2894324,-0.189705,-0.0997274
9,-1.3475672,-1.3475668,"('unaffectionate', 'caring')",0.07215793,-0.050400853,0.4355462,0.3016372,-0.2799544,-0.3654435,0.0854891
53,-1.282001,-1.095107,"('uncreative', 'creative')",-0.3795312,-0.37053105,0.5772765,0.57153416,-0.3614186,-0.2980346,-0.063384
43,-1.2745606,-1.357997,"('irresponsible', 'responsible')",-0.67194605,-0.6718794,-0.1381898,-0.043628514,-0.6948988,-0.6911682,-0.0037306
5,-1.2674557,-1.0207975,"('distant', 'outgoing')",-1.2122989,-1.2138873,-0.56830466,-0.6598371,-1.0160197,-0.9648407,-0.051179
31,-1.2647198,-0.9166409,"('evil', 'good')",-0.86687464,-0.698758,-1.4759833,-1.3196746,-1.2025259,-0.9783578,-0.2241681
69,1.1865163,1.4600122,"('lazy', 'industrious')",0.7557733,0.8693122,-0.56416976,-0.3914355,0.4593733,0.645963,-0.1865897
0,-1.1319591,-1.191603,"('unsociable', 'sociable')",-0.016340889,0.15288374,-0.40449566,-0.26686165,-0.5175985,-0.4351936,-0.0824049
11,-1.105104,-1.243498,"('unhelpful', 'helpful')",0.4552456,0.2813349,2.1771944,1.928005,0.509112,0.3219473,0.1871647
13,-1.0877079,-1.1918913,"('impolite', 'polite')",-0.8669075,-0.7631193,0.17837402,0.22371611,-0.5920804,-0.5770982,-0.0149822
63,-1.0722824,-1.1284237,"('unperceptive', 'insightful')",0.2702934,0.19892293,1.3996024,1.0228258,0.1992045,0.0311084,0.1680961
23,-1.0587351,-1.2535329,"('insincere', 'sincere')",-0.434984,-0.561261,5.354143,5.1271486,1.286808,1.1041183,0.1826897
84,1.0403852,0.908459,"('inferior', 'superior')",0.82658875,0.8384913,1.0411679,0.98078156,0.9693806,0.909244,0.0601366
