,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
85,-3.0584884,-3.6053116,"('insignificant', 'prestigious')",-1.6593053,-1.6393886,0.17643331,0.016423758,-1.5137868,-1.7427589,0.2289721
35,-2.8949199,-3.2031004,"('corrupt', 'incorrupt')",-1.8783374,-1.7705448,-0.35260984,-0.39693624,-1.7086223,-1.7901939,0.0815716
36,-2.8904202,-3.2859802,"('hostile', 'amicable')",-2.1024513,-2.064942,0.05477362,-0.0037800055,-1.6460325,-1.7849007,0.1388682
60,2.7472372,3.1466691,"('inefficient', 'efficient')",2.698829,2.4080405,-0.007997984,0.004610738,1.8126893,1.8531067,-0.0404174
31,-2.6856337,-3.1556053,"('evil', 'good')",-1.5671734,-1.5290052,-0.8937221,-1.0071661,-1.7155097,-1.8972588,0.1817491
76,2.3874154,2.8289292,"('anxious', 'daring')",1.6674545,1.7209646,0.44648692,0.56071436,1.5004522,1.703536,-0.2030838
13,2.373229,2.774128,"('impolite', 'polite')",1.7462016,1.658163,-0.12358253,-0.10485227,1.3319493,1.4424796,-0.1105303
62,2.3498838,2.8393686,"('incompetent', 'brilliant')",2.1435993,2.018662,-0.0031568818,0.084707916,1.4967755,1.6475794,-0.1508039
56,2.255798,2.6347082,"('impractical', 'practical')",2.1263223,2.1629539,-0.37313765,-0.20760168,1.3363276,1.5300201,-0.1936925
7,2.192792,2.4237077,"('insensitive', 'sensitive')",1.7267277,1.6952915,1.0116991,1.0473906,1.6437395,1.72213,-0.0783905
6,-2.1184418,-2.4354274,"('distant', 'open')",-1.499561,-1.5075781,0.31490958,0.32605436,-1.1010311,-1.2056504,0.1046193
69,-2.0783484,-2.6017163,"('lazy', 'industrious')",-0.18029518,-0.17530906,-0.5293031,-0.605137,-0.9293156,-1.1273874,0.1980718
19,-2.0308695,-2.3808043,"('inhospitable', 'hospitable')",-1.3166335,-1.2730697,-0.09215,-0.09925768,-1.146551,-1.2510439,0.1044929
55,2.019766,2.6863737,"('incompetent', 'clever')",0.8782848,0.81349444,-0.11520405,-0.1712949,0.9276156,1.1095244,-0.1819088
81,1.9741715,2.533753,"('submissive', 'aggressive')",1.4935437,1.3565778,-0.7339043,-0.65931344,0.9112703,1.0770058,-0.1657355
30,1.9349749,2.2099195,"('intolerant', 'tolerant')",2.2448933,2.2492244,0.8731196,0.9240574,1.6843294,1.7944004,-0.110071
46,1.9257091,2.3244188,"('uncompetitive', 'competitive')",1.1715454,0.999443,-0.8568018,-0.86098546,0.7468176,0.8209588,-0.0741412
5,-1.8488396,-2.2029185,"('distant', 'outgoing')",-0.5193982,-0.53670233,-0.2681912,-0.23767641,-0.8788097,-0.9924324,0.1136227
79,-1.8449688,-2.0225334,"('wavering', 'unwavering')",-0.8709435,-0.75980836,0.17564006,0.28403646,-0.8467574,-0.8327684,-0.013989
21,1.8279324,2.4964962,"('immoral', 'moral')",1.536729,1.534643,-0.68697757,-0.5430732,0.8925612,1.1626887,-0.2701275
43,1.7392194,2.1217346,"('irresponsible', 'responsible')",1.4548508,1.5107358,0.47096387,0.5702399,1.2216781,1.4009034,-0.1792253
39,1.6469123,1.5021334,"('exploitative', 'cooperative')",2.4054475,2.233187,0.9185259,0.93475837,1.6569618,1.5566929,0.1002689
14,1.6371543,2.039396,"('antisocial', 'social')",2.0641782,2.0456483,-0.62639797,-0.46315712,1.0249782,1.2072957,-0.1823175
4,-1.6103543,-1.8114341,"('disliked', 'liked')",-0.8446193,-0.77040946,-7.040796,-7.2033663,-3.1652565,-3.2617366,0.0964801
