,paramount_male,paramount_female,tuple,global_male,global_female,average_male,average_female,male-female
9,1.7345037,1.3452145,"('unaffectionate', 'caring')",1.8223497,1.7136254,1.7784266,1.5294199,0.2490067
64,-1.6387806,-1.2077272,"('shy', 'confident')",-6.389571,-6.6395473,-4.0141759,-3.9236374,-0.0905385
26,1.5507497,1.4038347,"('hardhearted', 'benevolent')",1.1289945,1.4123946,1.3398721,1.4081147,-0.0682426
15,1.5316662,1.4079293,"('boring', 'funny')",0.3731332,0.4450881,0.9523997,0.9265087,0.025891
12,1.5098982,1.381014,"('unsupportive', 'supportive')",-0.9044598,-1.039912,0.3027192,0.170551,0.1321682
68,-1.4958165,-1.3007576,"('dependent', 'independent')",-0.7406977,-0.71047133,-1.118257,-1.0056145,-0.1126425
44,-1.4192214,-1.2314563,"('prejudiced', 'unprejudiced')",-1.4577378,-1.4222577,-1.4384797,-1.326857,-0.1116227
29,-1.3873456,-1.4878759,"('unfair', 'fair')",-0.48169574,-0.48130575,-0.9345207,-0.9845908,0.0500701
53,1.358431,0.98865587,"('uncreative', 'creative')",0.50503314,0.43820858,0.9317321,0.7134322,0.2182999
72,1.2976838,1.2943528,"('unambitious', 'ambitious')",0.12044047,-0.04878816,0.7090622,0.6227823,0.0862799
81,-1.1804664,-0.57468873,"('submissive', 'aggressive')",-0.39857915,-0.2914759,-0.7895228,-0.4330823,-0.3564405
45,-1.1627606,-1.0095012,"('incompetent', 'competent')",0.063115,0.0059941523,-0.5498228,-0.5017535,-0.0480693
8,1.1145592,0.68420696,"('unaffectionate', 'affectionate')",1.0200069,0.9825112,1.067283,0.8333591,0.2339239
1,1.0925168,0.6492954,"('unfriendly', 'friendly')",1.8719639,1.9801557,1.4822403,1.3147255,0.1675148
51,-1.0773033,-0.6575939,"('uneducated', 'educated')",0.68118906,0.66619146,-0.1980571,0.0042988,-0.2023559
16,-1.0248213,-1.093449,"('unpopular', 'popular')",-0.1438329,0.05331932,-0.5843271,-0.5200648,-0.0642623
27,1.0127896,0.71206707,"('hardhearted', 'softhearted')",1.296708,1.159571,1.1547488,0.935819,0.2189298
85,0.892323,0.8184014,"('insignificant', 'prestigious')",-0.45624998,0.050414264,0.2180365,0.4344078,-0.2163713
4,-0.84589726,-1.0116315,"('disliked', 'liked')",-7.5584164,-7.636603,-4.202157,-4.3241172,0.1219602
71,0.8295205,0.9386375,"('diffident', 'self-confident')",0.97952884,1.0892001,0.9045247,1.0139189,-0.1093942
3,-0.81263304,-0.6009667,"('repellent', 'pleasant')",0.33704627,0.31578252,-0.2377934,-0.1425921,-0.0952013
73,0.79972726,0.5598576,"('helpless', 'self-reliant')",-3.855667,-3.8763664,-1.52797,-1.6582544,0.1302844
56,0.7748437,0.8343109,"('impractical', 'practical')",0.47434813,0.30077815,0.6245959,0.5675445,0.0570514
2,0.7357072,1.0254169,"('unlikable', 'likable')",0.65591794,0.5867774,0.6958126,0.8060971,-0.1102845
25,0.727045,0.5145972,"('egoistic', 'altruistic')",1.0353104,0.99830174,0.8811777,0.7564495,0.1247282
60,-0.71862525,-0.01102704,"('inefficient', 'efficient')",0.6126166,0.4928591,-0.0530043,0.240916,-0.2939203
62,0.7134237,0.835505,"('incompetent', 'brilliant')",0.9062456,0.61212033,0.8098347,0.7238127,0.086022
23,0.6393715,0.9858605,"('insincere', 'sincere')",7.2817206,7.4220605,3.960546,4.2039604,-0.2434144
31,-0.6074889,-1.174727,"('evil', 'good')",-1.5454097,-1.3751867,-1.0764493,-1.2749568,0.1985075
54,0.60450566,0.48856455,"('incapable', 'capable')",1.3498425,1.3023157,0.9771741,0.8954401,0.081734
50,-0.6033436,-0.521131,"('clumsy', 'skillful')",0.28894958,0.3757849,-0.157197,-0.072673,-0.084524
59,0.5993783,0.44676787,"('foolish', 'wise')",0.56778026,0.6500042,0.5835793,0.548386,0.0351933
67,-0.5715099,-0.18655498,"('doubtful', 'determined')",-0.08746158,0.0063714134,-0.3294857,-0.0900918,-0.2393939
48,0.5675039,0.62112945,"('unintelligent', 'intelligent')",0.14262208,0.20812544,0.355063,0.4146274,-0.0595644
86,0.5078926,0.66210234,"('uninfluential', 'influential')",0.0037471168,-0.0856021,0.2558199,0.2882501,-0.0324302
22,-0.48737836,-0.19169763,"('untrustworthy', 'trustworthy')",-0.61160815,-0.7034716,-0.5494933,-0.4475846,-0.1019087
55,-0.4842808,-0.087001756,"('incompetent', 'clever')",0.2022054,0.18515566,-0.1410377,0.049077,-0.1901147
76,-0.47147533,-0.05397966,"('anxious', 'daring')",0.26574528,0.2520702,-0.102865,0.0990453,-0.2019103
34,0.47025776,0.58436936,"('mean', 'honorable')",5.7809973,5.9132657,3.1256275,3.2488174,-0.1231899
28,0.45594302,0.502163,"('disloyal', 'loyal')",0.93468595,0.9811521,0.6953145,0.7416576,-0.0463431
39,-0.4532736,-0.05475443,"('exploitative', 'cooperative')",0.057581812,0.14002557,-0.1978459,0.0426356,-0.2404815
33,0.44845587,0.1900082,"('wrong', 'right')",0.1824021,0.19035885,0.315429,0.1901835,0.1252455
75,-0.42829686,-0.75742936,"('meek', 'impulsive')",-0.8579784,-1.0418795,-0.6431376,-0.8996544,0.2565168
7,0.41791874,0.8106669,"('insensitive', 'sensitive')",1.0239353,1.0953952,0.720927,0.9530311,-0.2321041
83,0.40997297,0.64305884,"('powerless', 'powerful')",-0.52824074,-0.5032996,-0.0591339,0.0698796,-0.1290135
41,0.3974884,0.5187122,"('unforgiving', 'forgiving')",0.25116745,0.38424066,0.3243279,0.4514765,-0.1271486
87,0.39427128,0.5272337,"('unsuccessful', 'successful')",0.9748464,0.98539925,0.6845589,0.7563165,-0.0717576
88,0.38885254,1.0141735,"('low', 'eminent')",0.23056185,0.58707935,0.3097072,0.8006264,-0.4909192
24,0.38051617,0.5786597,"('dishonest', 'honest')",1.3052838,1.3003755,0.8429,0.9395176,-0.0966176
