,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.5303078,-2.5224495,"('unsympathetic', 'sympathetic')",-0.48003542,-0.4957441,-1.5051715,-1.5090969,0.0039254
45,-2.2934651,-2.0964344,"('incompetent', 'competent')",-0.5325621,-0.30945227,-1.4130136,-1.2029433,-0.2100703
86,-2.1884065,-2.231331,"('uninfluential', 'influential')",-0.6394736,-0.44723603,-1.4139401,-1.3392836,-0.0746565
0,-2.060617,-2.313314,"('unsociable', 'sociable')",-0.2510347,-0.26880842,-1.1558259,-1.2910612,0.1352353
55,-2.022793,-1.7835478,"('incompetent', 'clever')",0.17258678,0.29539472,-0.9251031,-0.7440765,-0.1810266
13,-1.9799747,-1.8810455,"('impolite', 'polite')",-1.1612812,-0.96549964,-1.5706279,-1.4232726,-0.1473553
70,-1.7189742,-1.2057518,"('lethargic', 'energetic')",-0.3266117,-0.0071065463,-1.0227929,-0.6064292,-0.4163637
57,-1.6994331,-1.8377028,"('unimaginative', 'imaginative')",-2.95373,-3.008137,-2.3265815,-2.4229198,0.0963383
46,-1.6552736,-1.4876553,"('uncompetitive', 'competitive')",-1.0562774,-0.8461573,-1.3557755,-1.1669064,-0.1888691
51,-1.6343884,-1.2894503,"('uneducated', 'educated')",0.4111522,0.6360772,-0.6116181,-0.3266865,-0.2849316
69,1.56862,1.6250947,"('lazy', 'industrious')",-0.5119069,-0.56736726,0.5283566,0.5288637,-0.0005071
14,-1.5243373,-1.2936512,"('antisocial', 'social')",-0.2841427,-0.24790868,-0.90424,-0.77078,-0.13346
56,-1.5228194,-1.3442494,"('impractical', 'practical')",-0.73088044,-0.48100123,-1.1268499,-0.9126253,-0.2142246
22,-1.458994,-1.3166933,"('untrustworthy', 'trustworthy')",-1.1208383,-1.045355,-1.2899162,-1.1810241,-0.1088921
65,-1.4126734,-1.205608,"('insecure', 'secure')",-0.38582897,-0.3615907,-0.8992512,-0.7835994,-0.1156518
85,1.3632704,0.8783229,"('insignificant', 'prestigious')",0.48301387,0.2828958,0.9231421,0.5806093,0.3425328
60,-1.3145454,-1.0067556,"('inefficient', 'efficient')",-0.29961935,0.16437314,-0.8070824,-0.4211912,-0.3858912
75,1.2871068,1.3382808,"('meek', 'impulsive')",-0.6842779,-0.75535274,0.3014144,0.291464,0.0099504
7,-1.2832539,-0.9830569,"('insensitive', 'sensitive')",0.29251012,0.50136507,-0.4953719,-0.2408459,-0.254526
43,-1.2736759,-1.1860478,"('irresponsible', 'responsible')",0.05701749,0.26720005,-0.6083292,-0.4594239,-0.1489053
73,1.2515198,1.1391222,"('helpless', 'self-reliant')",-2.946808,-2.9568062,-0.8476442,-0.908842,0.0611978
11,-1.2061514,-1.1166573,"('unhelpful', 'helpful')",1.1482381,1.5572734,-0.0289567,0.2203081,-0.2492648
35,1.2052224,0.9189734,"('corrupt', 'incorrupt')",-0.15152141,-0.41987237,0.5268505,0.2495505,0.2773
30,-1.2047013,-0.97788334,"('intolerant', 'tolerant')",0.68691516,0.7717995,-0.2588931,-0.1030419,-0.1558512
21,-1.1999968,-1.0957793,"('immoral', 'moral')",-0.62287515,-0.4959528,-0.911436,-0.7958661,-0.1155699
32,-1.1806365,-1.1510538,"('unkind', 'kind')",0.6875711,0.8436188,-0.2465327,-0.1537175,-0.0928152
12,-1.1597968,-0.96671146,"('unsupportive', 'supportive')",-2.118031,-1.8985914,-1.6389139,-1.4326514,-0.2062625
63,-1.1548022,-0.90424985,"('unperceptive', 'insightful')",0.18061784,0.5498266,-0.4870922,-0.1772116,-0.3098806
28,-1.1422296,-1.5147775,"('disloyal', 'loyal')",0.86663693,0.85613054,-0.1377963,-0.3293235,0.1915272
23,-1.1260091,-1.0236697,"('insincere', 'sincere')",5.3829966,5.663492,2.1284938,2.3199112,-0.1914174
53,-1.0959675,-1.3153758,"('uncreative', 'creative')",0.57112104,0.45849708,-0.2624232,-0.4284394,0.1660162
82,-1.0286571,-0.7875536,"('poor', 'rich')",5.6449237,5.8206406,2.3081334,2.5165434,-0.20841
36,0.95748174,0.51902354,"('hostile', 'amicable')",0.14213407,-0.26210558,0.5498079,0.128459,0.4213489
77,-0.9382633,-0.6703867,"('unmotivated', 'motivated')",-1.4365048,-1.2949979,-1.1873841,-0.9826923,-0.2046918
38,-0.9124387,-0.9356376,"('untruthful', 'truthful')",-0.6272068,-0.3695555,-0.7698227,-0.6525965,-0.1172262
42,-0.91088915,-0.4598103,"('unreliable', 'reliable')",-3.3822215,-3.1142488,-2.1465554,-1.7870295,-0.3595259
3,-0.9069502,-0.7688528,"('repellent', 'pleasant')",0.6869035,0.70779586,-0.1100233,-0.0305285,-0.0794948
62,-0.8940659,-0.44556466,"('incompetent', 'brilliant')",0.056597006,0.4814118,-0.4187345,0.0179236,-0.4366581
2,0.8757512,1.0423067,"('unlikable', 'likable')",0.6950425,0.8914942,0.7853968,0.9669005,-0.1815037
52,0.8239817,0.21962863,"('irrational', 'rational')",0.5044204,0.18868816,0.664201,0.2041584,0.4600426
81,-0.80682576,-0.45873362,"('submissive', 'aggressive')",-0.8822457,-0.6752604,-0.8445357,-0.5669971,-0.2775386
