,gamestop_male,gamestop_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.1954703,-2.1634235,"('unsympathetic', 'sympathetic')",-0.26713422,-0.5610609,-1.2313023,-1.3622422,0.1309399
70,-1.8102698,-1.7614129,"('lethargic', 'energetic')",0.273539,0.140438,-0.7683654,-0.8104874,0.042122
42,-1.569931,-1.2776098,"('unreliable', 'reliable')",-3.3933039,-3.4453743,-2.4816175,-2.3614922,-0.1201253
81,-1.5566685,-1.3118069,"('submissive', 'aggressive')",-0.48656702,-0.4297505,-1.0216178,-0.8707787,-0.1508391
66,-1.518962,-1.3420545,"('inactive', 'active')",0.14963716,-0.05042991,-0.6846625,-0.6962422,0.0115797
43,-1.4161556,-1.2346383,"('irresponsible', 'responsible')",0.5385074,0.543579,-0.4388241,-0.3455297,-0.0932944
3,-1.2526975,-1.3836812,"('repellent', 'pleasant')",0.90155435,0.7246268,-0.1755716,-0.3295272,0.1539556
46,-1.2249455,-1.3152401,"('uncompetitive', 'competitive')",-0.5228088,-0.67212635,-0.8738772,-0.9936832,0.119806
13,-1.2191918,-1.1498318,"('impolite', 'polite')",-0.41293275,-0.61897767,-0.8160623,-0.8844047,0.0683424
68,-1.2142059,-1.2729028,"('dependent', 'independent')",-0.81424606,-0.8606165,-1.014226,-1.0667597,0.0525337
85,1.1700557,1.1241099,"('insignificant', 'prestigious')",-0.7269082,-0.478487,0.2215738,0.3228114,-0.1012376
22,-1.1335827,-1.2185475,"('untrustworthy', 'trustworthy')",-0.8686491,-1.1901617,-1.0011159,-1.2043545,0.2032386
51,-1.0996664,-1.0871509,"('uneducated', 'educated')",0.5869769,0.46837386,-0.2563447,-0.3093885,0.0530438
57,-1.0924013,-1.1040311,"('unimaginative', 'imaginative')",-3.0356874,-3.329156,-2.0640445,-2.2165935,0.152549
59,1.0722525,0.95342904,"('foolish', 'wise')",-0.061081145,0.03893567,0.5055857,0.4961824,0.0094033
76,-1.0700227,-0.9341437,"('anxious', 'daring')",0.046635643,0.04235691,-0.5116935,-0.4458934,-0.0658001
65,-1.0594563,-0.9254663,"('insecure', 'secure')",0.13061057,0.22227699,-0.4644229,-0.3515947,-0.1128282
45,-1.0523787,-1.0373366,"('incompetent', 'competent')",0.031011678,-0.14246224,-0.5106835,-0.5898994,0.0792159
7,-1.0434484,-1.0747882,"('insensitive', 'sensitive')",0.34579578,0.12502128,-0.3488263,-0.4748835,0.1260572
15,1.0183123,1.189112,"('boring', 'funny')",-0.19403523,-0.08298233,0.4121386,0.5530648,-0.1409262
8,1.0097128,0.9501872,"('unaffectionate', 'affectionate')",0.40475294,0.34137177,0.7072329,0.6457795,0.0614534
72,-1.0015047,-0.74388325,"('unambitious', 'ambitious')",-0.24313124,-0.24014117,-0.622318,-0.4920122,-0.1303058
9,0.94551754,0.8359523,"('unaffectionate', 'caring')",1.2008452,1.0879688,1.0731814,0.9619606,0.1112208
71,0.92130226,0.8966178,"('diffident', 'self-confident')",0.16295858,0.10578314,0.5421304,0.5012005,0.0409299
21,-0.9035721,-0.8096047,"('immoral', 'moral')",-0.41624472,-0.5329378,-0.6599084,-0.6712713,0.0113629
47,-0.8282501,-0.6325047,"('stupid', 'smart')",5.423134,5.5459104,2.297442,2.4567027,-0.1592607
14,-0.8265573,-0.6320651,"('antisocial', 'social')",-0.15518528,-0.20162775,-0.4908713,-0.4168464,-0.0740249
