,directv_male,directv_female,tuple,average_male,average_female,male-female
23,4.022167,3.7866356,"('insincere', 'sincere')",4.0221672,3.7866356,0.2355316
4,-3.656497,-3.5915315,"('disliked', 'liked')",-3.656497,-3.5915315,-0.0649655
82,3.1454637,3.3007798,"('poor', 'rich')",3.1454637,3.3007798,-0.1553161
64,-2.8921793,-3.194766,"('shy', 'confident')",-2.8921793,-3.194766,0.3025867
47,2.8088298,2.7855327,"('stupid', 'smart')",2.8088298,2.7855327,0.0232971
34,2.3675425,2.3467703,"('mean', 'honorable')",2.3675425,2.3467703,0.0207722
62,1.774844,1.5628521,"('incompetent', 'brilliant')",1.7748441,1.5628521,0.211992
56,1.5454679,1.2626493,"('impractical', 'practical')",1.5454679,1.2626493,0.2828186
31,-1.536165,-1.4699653,"('evil', 'good')",-1.536165,-1.4699653,-0.0661997
60,1.4797983,1.1840585,"('inefficient', 'efficient')",1.4797983,1.1840585,0.2957398
36,-1.3748351,-1.2640083,"('hostile', 'amicable')",-1.3748351,-1.2640083,-0.1108268
11,1.3602022,1.0082248,"('unhelpful', 'helpful')",1.3602022,1.0082248,0.3519774
73,-1.3378669,-1.5663656,"('helpless', 'self-reliant')",-1.3378669,-1.5663656,0.2284987
57,-1.2889216,-1.5628116,"('unimaginative', 'imaginative')",-1.2889216,-1.5628116,0.27389
43,1.2788334,0.95241064,"('irresponsible', 'responsible')",1.2788334,0.9524106,0.3264228
40,-1.1099352,-1.4108884,"('stingy', 'generous')",-1.1099352,-1.4108884,0.3009532
42,-1.0966052,-1.268297,"('unreliable', 'reliable')",-1.0966052,-1.268297,0.1716918
61,1.0940703,0.88980883,"('illogical', 'logical')",1.0940703,0.8898088,0.2042615
2,1.0619919,1.1709521,"('unlikable', 'likable')",1.0619919,1.1709521,-0.1089602
30,1.0352056,0.91189647,"('intolerant', 'tolerant')",1.0352056,0.9118965,0.1233091
17,-0.9980962,-0.92764395,"('nasty', 'nice')",-0.9980962,-0.927644,-0.0704522
24,0.98039997,0.73706716,"('dishonest', 'honest')",0.9804,0.7370672,0.2433328
70,0.9751628,0.66443676,"('lethargic', 'energetic')",0.9751628,0.6644368,0.310726
68,-0.95362484,-0.9881263,"('dependent', 'independent')",-0.9536248,-0.9881263,0.0345015
35,-0.8855751,-0.8041748,"('corrupt', 'incorrupt')",-0.8855751,-0.8041748,-0.0814003
26,0.8610496,0.7902358,"('hardhearted', 'benevolent')",0.8610496,0.7902358,0.0708138
15,0.84270954,0.8145515,"('boring', 'funny')",0.8427095,0.8145515,0.028158
63,0.82678974,0.575608,"('unperceptive', 'insightful')",0.8267897,0.575608,0.2511817
44,-0.818431,-0.77478725,"('prejudiced', 'unprejudiced')",-0.818431,-0.7747872,-0.0436438
87,0.7894812,0.85623765,"('unsuccessful', 'successful')",0.7894812,0.8562376,-0.0667564
1,0.78503454,0.5860129,"('unfriendly', 'friendly')",0.7850345,0.5860129,0.1990216
45,0.7805652,0.37582156,"('incompetent', 'competent')",0.7805652,0.3758216,0.4047436
84,0.7725131,0.33828524,"('inferior', 'superior')",0.7725131,0.3382852,0.4342279
85,-0.74911636,-0.42171118,"('insignificant', 'prestigious')",-0.7491164,-0.4217112,-0.3274052
12,-0.7283851,-0.9548736,"('unsupportive', 'supportive')",-0.7283851,-0.9548736,0.2264885
28,0.70754844,0.4832665,"('disloyal', 'loyal')",0.7075484,0.4832665,0.2242819
58,0.69402647,0.33446312,"('undiscriminating', 'discriminating')",0.6940265,0.3344631,0.3595634
78,-0.627975,-0.53647196,"('nonresilient', 'resilient')",-0.627975,-0.536472,-0.091503
16,-0.62162286,-0.31715494,"('unpopular', 'popular')",-0.6216229,-0.3171549,-0.304468
55,0.58703524,0.5125151,"('incompetent', 'clever')",0.5870352,0.5125151,0.0745201
7,0.57561916,0.3496891,"('insensitive', 'sensitive')",0.5756192,0.3496891,0.2259301
18,-0.564177,-0.5296817,"('disagreeable', 'welcoming')",-0.564177,-0.5296817,-0.0344953
41,0.5616747,0.370065,"('unforgiving', 'forgiving')",0.5616747,0.370065,0.1916097
