,linde_male,linde_female,tuple,plc_male,plc_female,average_male,average_female,male-female
88,-1.7957362,-1.8263075,"('low', 'eminent')",0.09238761,-0.03607457,-0.8516743,-0.931191,0.0795167
53,-1.7079529,-1.922664,"('uncreative', 'creative')",0.5289086,0.5098363,-0.5895221,-0.7064139,0.1168918
86,-1.6583555,-1.6441792,"('uninfluential', 'influential')",0.119624764,0.22067451,-0.7693654,-0.7117524,-0.057613
8,-1.5612284,-1.8716514,"('unaffectionate', 'affectionate')",0.46300977,0.07659573,-0.5491093,-0.8975278,0.3484185
0,-1.4549433,-1.3839525,"('unsociable', 'sociable')",-0.31799984,-0.21007669,-0.8864716,-0.7970146,-0.089457
1,-1.4128077,-1.8957655,"('unfriendly', 'friendly')",1.7499549,1.3931285,0.1685736,-0.2513185,0.4198921
57,-1.3564826,-1.2310202,"('unimaginative', 'imaginative')",-1.8517485,-1.898748,-1.6041155,-1.5648842,-0.0392313
9,-1.2778437,-1.582862,"('unaffectionate', 'caring')",1.1748289,0.95476377,-0.0515074,-0.3140491,0.2625417
31,-1.1549277,-0.82988065,"('evil', 'good')",-0.7614572,-0.6674615,-0.9581925,-0.7486711,-0.2095214
52,-1.1263889,-1.0351995,"('irrational', 'rational')",-0.642168,-0.5990417,-0.8842784,-0.8171206,-0.0671578
10,-1.0729333,-1.2362478,"('unsympathetic', 'sympathetic')",-0.19023235,-0.18006903,-0.6315829,-0.7081584,0.0765755
48,-1.0134155,-1.1021864,"('unintelligent', 'intelligent')",0.013074467,-0.06439529,-0.5001705,-0.5832909,0.0831204
79,-1.0130674,-1.0723567,"('wavering', 'unwavering')",-0.57941425,-0.57292044,-0.7962408,-0.8226386,0.0263978
44,0.9637903,0.8228717,"('prejudiced', 'unprejudiced')",-1.6141447,-1.7932298,-0.3251772,-0.4851791,0.1600019
39,0.9271603,0.9332628,"('exploitative', 'cooperative')",0.28518587,0.26259735,0.6061731,0.5979301,0.008243
28,-0.926177,-1.1266956,"('disloyal', 'loyal')",0.85716313,0.6919012,-0.0345069,-0.2173972,0.1828903
73,0.92019373,0.9071676,"('helpless', 'self-reliant')",-2.2182248,-2.392897,-0.6490155,-0.7428646,0.0938491
11,-0.9195061,-1.2729821,"('unhelpful', 'helpful')",1.5555961,1.3931198,0.318045,0.0600688,0.2579762
69,0.8990315,0.92089653,"('lazy', 'industrious')",-0.22273485,-0.29416627,0.3381483,0.3133651,0.0247832
24,-0.8471109,-0.8830697,"('dishonest', 'honest')",0.54938513,0.5395422,-0.1488629,-0.1717637,0.0229008
32,-0.8457363,-0.91252077,"('unkind', 'kind')",0.44072396,0.51067144,-0.2025062,-0.2009247,-0.0015815
5,-0.7720244,-0.8403702,"('distant', 'outgoing')",0.12947953,-0.07107813,-0.3212724,-0.4557241,0.1344517
56,0.7466794,0.49224555,"('impractical', 'practical')",1.3769659,1.4660618,1.0618227,0.9791537,0.082669
74,-0.7294627,-0.6864197,"('undedicated', 'dedicated')",0.26904508,0.2614993,-0.2302088,-0.2124602,-0.0177486
51,-0.72793776,-0.7126974,"('uneducated', 'educated')",0.27040547,0.42516944,-0.2287661,-0.143764,-0.0850021
72,-0.72465384,-0.7549245,"('unambitious', 'ambitious')",0.5595331,0.5949882,-0.0825604,-0.0799681,-0.0025923
63,-0.7225516,-0.9571849,"('unperceptive', 'insightful')",1.5453243,1.5483978,0.4113864,0.2956064,0.11578
13,-0.7148921,-0.8773225,"('impolite', 'polite')",-0.099628,0.03174569,-0.4072601,-0.4227884,0.0155283
26,-0.70898175,-0.6542568,"('hardhearted', 'benevolent')",1.6028682,1.3708493,0.4469432,0.3582962,0.088647
19,-0.66659164,-0.7657905,"('inhospitable', 'hospitable')",-0.56939846,-0.7597933,-0.617995,-0.7627919,0.1447969
6,-0.6476682,-0.76656854,"('distant', 'open')",-0.08575868,-0.25628948,-0.3667134,-0.511429,0.1447156
42,0.6377876,0.37450367,"('unreliable', 'reliable')",-2.0092325,-2.1654677,-0.6857225,-0.8954821,0.2097596
21,-0.6353206,-0.70555145,"('immoral', 'moral')",-0.778244,-0.7299192,-0.7067823,-0.7177353,0.010953
15,-0.62613344,-0.46938565,"('boring', 'funny')",-0.100077815,0.05643802,-0.3631056,-0.2064738,-0.1566318
12,-0.6023442,-0.70687425,"('unsupportive', 'supportive')",-0.78361815,-0.8489017,-0.6929812,-0.7778879,0.0849067
16,-0.5839617,-0.4490106,"('unpopular', 'popular')",-0.22809076,-0.34067357,-0.4060262,-0.3948421,-0.0111841
85,-0.5712453,-0.74374264,"('insignificant', 'prestigious')",-0.603967,-1.1458365,-0.5876062,-0.9447895,0.3571833
27,-0.563782,-0.78179073,"('hardhearted', 'softhearted')",0.503972,0.2343039,-0.029905,-0.2737434,0.2438384
23,-0.561784,-0.8832165,"('insincere', 'sincere')",4.971156,4.9130316,2.2046862,2.0149076,0.1897786
36,-0.54579276,-0.5499004,"('hostile', 'amicable')",-0.08638723,-0.24398589,-0.31609,-0.3969432,0.0808532
84,0.53986114,0.4894797,"('inferior', 'superior')",0.833891,0.8832003,0.6868761,0.68634,0.0005361
78,-0.53584677,-0.6249026,"('nonresilient', 'resilient')",0.9563248,0.8507672,0.210239,0.1129323,0.0973067
66,-0.5338745,-0.7830142,"('inactive', 'active')",0.4474348,0.27860183,-0.0432198,-0.2522062,0.2089864
81,-0.52241343,-0.2853203,"('submissive', 'aggressive')",-0.2633692,-0.17737968,-0.3928913,-0.23135,-0.1615413
2,0.5136213,0.47791958,"('unlikable', 'likable')",0.4131194,0.31049392,0.4633703,0.3942068,0.0691635
65,0.51135695,0.577205,"('insecure', 'secure')",0.37111354,0.48241568,0.4412352,0.5298103,-0.0885751
41,-0.507759,-0.55296504,"('unforgiving', 'forgiving')",0.34029707,0.34710088,-0.083731,-0.1029321,0.0192011
45,-0.50102,-0.50257313,"('incompetent', 'competent')",0.9916008,0.9995006,0.2452904,0.2484637,-0.0031733
43,-0.49874175,-0.99824417,"('irresponsible', 'responsible')",1.2942902,1.1926861,0.3977742,0.097221,0.3005532
17,-0.49501604,-0.29838794,"('nasty', 'nice')",-1.2265565,-1.2870519,-0.8607863,-0.79272,-0.0680663
20,0.47623104,0.539635,"('rough', 'thoughtful')",1.2222363,0.9440877,0.8492336,0.7418613,0.1073723
76,-0.47268742,-0.44627935,"('anxious', 'daring')",-0.02061214,-0.045519333,-0.2466498,-0.2458993,-0.0007505
55,-0.4384491,-0.41654092,"('incompetent', 'clever')",0.17440888,0.19156003,-0.1320201,-0.1124904,-0.0195297
54,-0.41550842,-0.9375494,"('incapable', 'capable')",0.8015339,0.62198806,0.1930127,-0.1577807,0.3507934
61,-0.41252315,-0.37343633,"('illogical', 'logical')",0.5530373,0.56020015,0.0702571,0.0933819,-0.0231248
3,-0.40861228,-0.34760535,"('repellent', 'pleasant')",-0.23293278,-0.06575292,-0.3207725,-0.2066791,-0.1140934
77,-0.39396524,-0.6091263,"('unmotivated', 'motivated')",-0.5569202,-0.48143068,-0.4754427,-0.5452785,0.0698358
47,-0.3775414,-0.34931237,"('stupid', 'smart')",5.0422053,4.905967,2.3323319,2.2783275,0.0540044
80,0.3769805,0.47535738,"('dominated', 'dominating')",0.30575043,0.27279112,0.3413655,0.3740743,-0.0327088
34,-0.35855803,-0.6851984,"('mean', 'honorable')",4.404508,4.2161045,2.022975,1.7654531,0.2575219
82,-0.35097492,-0.5009058,"('poor', 'rich')",5.5186687,5.363878,2.5838468,2.4314859,0.1523609
35,0.3504179,0.4972808,"('corrupt', 'incorrupt')",-0.8877045,-1.1629847,-0.2686433,-0.3328519,0.0642086
59,0.34828138,0.20844373,"('foolish', 'wise')",0.006330762,-0.21480519,0.1773061,-0.0031807,0.1804868
67,0.34766212,0.29298037,"('doubtful', 'determined')",-0.28361428,-0.22647254,0.0320239,0.0332539,-0.00123
25,-0.3046783,-0.44831017,"('egoistic', 'altruistic')",0.8882641,0.590488,0.2917929,0.0710889,0.220704
18,-0.2993352,-0.18904068,"('disagreeable', 'welcoming')",-0.89597845,-0.9945585,-0.5976568,-0.5917996,-0.0058572
87,-0.29252312,-0.22662745,"('unsuccessful', 'successful')",1.5239954,1.3592832,0.6157361,0.5663279,0.0494082
33,0.2558209,0.12658787,"('wrong', 'right')",0.10709727,-0.2101972,0.1814591,-0.0418047,0.2232638
40,0.25390643,0.45705262,"('stingy', 'generous')",-1.6389128,-1.6174924,-0.6925032,-0.5802199,-0.1122833
38,-0.23102857,-0.6765886,"('untruthful', 'truthful')",0.6493846,0.38894397,0.209178,-0.1438223,0.3530003
4,0.21735469,0.38023886,"('disliked', 'liked')",-5.064254,-4.9047194,-2.4234495,-2.2622402,-0.1612093
30,-0.21003953,-0.39712816,"('intolerant', 'tolerant')",1.0581791,0.8338101,0.4240698,0.218341,0.2057288
14,0.20411906,0.5856293,"('antisocial', 'social')",0.59059834,0.7449971,0.3973587,0.6653132,-0.2679545
22,0.20004903,0.4164341,"('untrustworthy', 'trustworthy')",-0.4225026,-0.23285642,-0.1112268,0.0917888,-0.2030156
60,0.19978891,0.14678992,"('inefficient', 'efficient')",0.6097782,0.736573,0.4047836,0.4416814,-0.0368978
29,-0.19883388,-0.05946574,"('unfair', 'fair')",-0.7453509,-0.52975637,-0.4720924,-0.2946111,-0.1774813
58,-0.1915999,-0.14688855,"('undiscriminating', 'discriminating')",0.6667633,0.61471367,0.2375817,0.2339126,0.0036691
62,0.14250664,0.09316551,"('incompetent', 'brilliant')",1.4474069,1.4349203,0.7949567,0.7640429,0.0309138
37,0.13765413,0.07819605,"('fake', 'genuine')",0.74026346,0.6739386,0.4389588,0.3760673,0.0628915
83,0.13500276,-0.051890828,"('powerless', 'powerful')",-0.18141395,-0.26700032,-0.0232056,-0.1594456,0.13624
49,-0.08226855,-0.12481561,"('unable', 'able')",0.027357668,-0.10011052,-0.0274554,-0.1124631,0.0850077
75,0.07737182,0.040979177,"('meek', 'impulsive')",-0.96179694,-1.04047,-0.4422126,-0.4997454,0.0575328
71,0.07411818,0.10799928,"('diffident', 'self-confident')",0.34424388,0.33354008,0.209181,0.2207697,-0.0115887
7,0.06882449,0.026136769,"('insensitive', 'sensitive')",0.7746378,0.756039,0.4217311,0.3910879,0.0306432
68,-0.064738095,-0.0056898543,"('dependent', 'independent')",-0.5597872,-0.49751118,-0.3122627,-0.2516005,-0.0606622
70,-0.05781435,-0.2430628,"('lethargic', 'energetic')",0.59547406,0.5853631,0.2688299,0.1711501,0.0976798
50,-0.05673698,-0.19944616,"('clumsy', 'skillful')",-0.44140756,-0.68276286,-0.2490723,-0.4411045,0.1920322
64,0.05543427,0.37491903,"('shy', 'confident')",-4.81204,-4.3630724,-2.3783028,-1.9940767,-0.3842261
46,0.025644865,-0.2685179,"('uncompetitive', 'competitive')",-0.35160446,-0.18897434,-0.1629798,-0.2287461,0.0657663
