,sherwin_male,sherwin_female,tuple,williams_male,williams_female,co_male,co_female,average_male,average_female,male-female
81,-2.7757306,-2.8298974,"('submissive', 'aggressive')",-0.57357585,-0.8318083,-0.74139917,-0.5488673,-1.3635686,-1.4035244,0.0399558
28,-2.5483296,-2.6580918,"('disloyal', 'loyal')",-1.4385539,-1.7466323,0.35785928,0.23902954,-1.2096748,-1.3885649,0.1788901
0,-2.506858,-2.6694465,"('unsociable', 'sociable')",-0.64861673,-1.175569,-0.25697237,-0.36095,-1.1374824,-1.4019885,0.2645061
60,-2.4919991,-2.453095,"('inefficient', 'efficient')",-1.4365538,-1.5676712,0.14696616,0.41965744,-1.260529,-1.2003696,-0.0601594
69,2.4053235,2.4132595,"('lazy', 'industrious')",2.3978746,2.3265579,-0.62262094,-0.89162254,1.3935256,1.2827317,0.1107939
46,-2.397592,-2.4252977,"('uncompetitive', 'competitive')",-1.1362096,-1.4350977,-1.2176899,-1.2224965,-1.5838305,-1.6942973,0.1104668
10,-2.3773465,-2.504612,"('unsympathetic', 'sympathetic')",-0.6872878,-0.9890881,0.05145002,-0.016627222,-1.0043948,-1.1701091,0.1657143
14,-2.3681297,-2.5202196,"('antisocial', 'social')",-0.6110113,-0.8670279,-0.9862969,-1.0328965,-1.3218126,-1.4733814,0.1515688
55,-2.3429227,-2.453767,"('incompetent', 'clever')",-1.0137548,-1.2769567,0.017948896,0.0022509824,-1.1129096,-1.2428243,0.1299147
85,2.3091738,2.2215946,"('insignificant', 'prestigious')",2.5269506,2.421994,-0.6631023,-0.87700087,1.3910074,1.2555292,0.1354782
48,-2.1760213,-2.1765766,"('unintelligent', 'intelligent')",-0.85530746,-0.8863522,0.025859524,0.07048655,-1.001823,-0.9974807,-0.0043423
65,-2.1316943,-2.1908665,"('insecure', 'secure')",-1.7328271,-1.8899127,0.07398477,0.13824502,-1.2635122,-1.314178,0.0506658
35,2.0925074,2.0973403,"('corrupt', 'incorrupt')",0.91139024,1.1148032,-0.8085784,-0.8388662,0.7317731,0.7910924,-0.0593193
33,2.080151,2.045989,"('wrong', 'right')",1.6898288,1.6036605,-0.05020683,-0.12721021,1.2399244,1.1741465,0.0657779
77,-1.9705739,-1.9708059,"('unmotivated', 'motivated')",-0.6261433,-0.90435445,-0.8464562,-0.8973263,-1.1477245,-1.2574955,0.109771
21,-1.845806,-1.8904686,"('immoral', 'moral')",0.22746092,0.19601977,-0.5701236,-0.4879313,-0.7294896,-0.7274601,-0.0020295
62,-1.7305721,-1.4577193,"('incompetent', 'brilliant')",-0.5864687,-0.4653114,0.16264173,0.48757225,-0.7181331,-0.4784861,-0.239647
43,-1.7234114,-1.7168026,"('irresponsible', 'responsible')",-1.1390208,-1.134999,0.60285115,0.71839225,-0.7531937,-0.7111365,-0.0420572
45,-1.5974512,-1.5760156,"('incompetent', 'competent')",-0.63107234,-0.71588343,-0.741036,-0.75488305,-0.9898531,-1.015594,0.0257409
13,-1.5532895,-1.6433312,"('impolite', 'polite')",-1.1974545,-1.2795678,0.046140622,0.036714993,-0.9015344,-0.9620613,0.0605269
30,-1.5499794,-1.5067528,"('intolerant', 'tolerant')",-0.7070794,-0.85372126,0.27133244,0.33704543,-0.6619088,-0.6744762,0.0125674
5,1.5301542,1.68251,"('distant', 'outgoing')",1.4412016,1.7589897,-0.28780496,-0.1738964,0.8945169,1.0892011,-0.1946842
82,-1.5260338,-1.535274,"('poor', 'rich')",-3.009654,-2.8724701,4.489704,4.469009,-0.0153279,0.0204215,-0.0357494
86,-1.4918445,-1.6419466,"('uninfluential', 'influential')",0.29257634,-0.026611563,-0.38186947,-0.6422713,-0.5270459,-0.7702765,0.2432306
31,1.4694802,1.6526512,"('evil', 'good')",1.1876599,1.3082079,-0.90284103,-0.9781313,0.5847663,0.6609093,-0.076143
36,1.4646688,1.267992,"('hostile', 'amicable')",1.6202161,1.5398748,-0.35504156,-0.6083888,0.9099478,0.7331594,0.1767884
57,-1.433491,-1.1659586,"('unimaginative', 'imaginative')",0.66882443,0.56287116,-3.062466,-2.9177115,-1.2757108,-1.1735996,-0.1021112
70,-1.4323908,-1.5211203,"('lethargic', 'energetic')",0.10231294,-0.05149071,0.4764873,0.3893131,-0.2845302,-0.3944326,0.1099024
71,1.3610071,1.2232077,"('diffident', 'self-confident')",1.9818162,1.7777034,0.8080795,0.70054984,1.3836342,1.2338204,0.1498138
56,-1.3337581,-1.3165766,"('impractical', 'practical')",0.14024466,0.17866534,0.17125541,0.4054588,-0.3407527,-0.2441508,-0.0966019
3,-1.2982031,-1.277957,"('repellent', 'pleasant')",-0.24206634,-0.38747066,0.25740424,0.15811841,-0.4276218,-0.5024364,0.0748146
11,-1.2860662,-1.4228448,"('unhelpful', 'helpful')",-0.6131741,-0.70181525,2.1620784,2.2084405,0.0876127,0.0279268,0.0596859
80,-1.2820803,-1.3419319,"('dominated', 'dominating')",-1.2970316,-1.351169,-0.5562874,-0.6021411,-1.0451331,-1.098414,0.0532809
6,1.273942,1.3298153,"('distant', 'open')",1.5126436,1.8072422,-0.038801983,-0.004865594,0.9159279,1.0440639,-0.128136
23,-1.2437745,-1.3217568,"('insincere', 'sincere')",-1.0502124,-1.2095948,5.302892,5.236438,1.0029685,0.9016954,0.1012731
47,-1.1956716,-1.2637876,"('stupid', 'smart')",0.3905995,0.20109066,4.7836576,4.607499,1.3261952,1.1816007,0.1445945
63,-1.1925801,-1.2993773,"('unperceptive', 'insightful')",0.38889557,0.13966362,0.4354015,0.4172738,-0.122761,-0.24748,0.124719
66,1.184133,0.9914799,"('inactive', 'active')",0.73302317,0.35087052,0.6030972,0.17789257,0.8400845,0.5067476,0.3333369
79,1.1486821,1.1042981,"('wavering', 'unwavering')",1.0162042,1.1511748,-0.38334674,-0.4212316,0.5938466,0.6114138,-0.0175672
76,-1.1300979,-1.0648496,"('anxious', 'daring')",-0.839626,-0.9482581,-0.032791466,0.15554845,-0.6675051,-0.6191864,-0.0483187
41,-1.0589049,-1.0437199,"('unforgiving', 'forgiving')",0.6658276,0.58062094,0.094290316,0.018818168,-0.0995957,-0.1480936,0.0484979
19,1.0579643,1.1463846,"('inhospitable', 'hospitable')",0.9737288,0.9992899,-0.19436447,-0.16601884,0.6124429,0.6598852,-0.0474423
75,1.050087,1.0894448,"('meek', 'impulsive')",0.36644983,0.55384386,-0.57128656,-0.5184139,0.2817501,0.3749582,-0.0932081
7,-1.0456536,-1.2066765,"('insensitive', 'sensitive')",-0.004747674,-0.2615171,0.35059512,0.15818113,-0.2332687,-0.4366708,0.2034021
59,1.0401539,0.93951315,"('foolish', 'wise')",1.5240065,1.4649366,0.21931161,0.07035581,0.927824,0.8249352,0.1028888
15,0.9857266,1.1011177,"('boring', 'funny')",1.1650659,1.2895437,0.8117891,1.0630971,0.9875272,1.1512529,-0.1637257
22,-0.96519244,-1.0004448,"('untrustworthy', 'trustworthy')",-0.22855031,-0.29591292,-0.31957307,-0.31432617,-0.5044386,-0.5368946,0.032456
72,-0.91083676,-0.80709594,"('unambitious', 'ambitious')",0.11929925,0.14436024,0.014874788,0.20258139,-0.2588876,-0.1533848,-0.1055028
32,-0.8439843,-1.039676,"('unkind', 'kind')",0.033917725,-0.20699218,1.0228496,0.98049,0.0709277,-0.088726,0.1596537
16,0.7968487,0.6306001,"('unpopular', 'popular')",0.6303899,0.43639272,-0.12749079,-0.5394139,0.4332493,0.1758596,0.2573897
