,williams_male,williams_female,tuple,cos_male,cos_female,average_male,average_female,male-female
81,2.3651795,2.423743,"('submissive', 'aggressive')",-0.24058193,0.03077121,1.0622988,1.2272571,-0.1649583
74,2.3361938,2.2992916,"('undedicated', 'dedicated')",0.7970284,0.65996915,1.5666111,1.4796304,0.0869807
21,2.219981,1.7054424,"('immoral', 'moral')",-0.295189,-0.40322536,0.962396,0.6511085,0.3112875
56,2.2143295,2.5314894,"('impractical', 'practical')",0.8876116,1.1652408,1.5509706,1.8483651,-0.2973945
12,1.9257259,2.0293446,"('unsupportive', 'supportive')",-0.73267835,-0.78635424,0.5965238,0.6214951,-0.0249713
46,1.9208235,1.9325186,"('uncompetitive', 'competitive')",0.14786583,-0.0019308496,1.0343447,0.9652939,0.0690508
70,1.8747165,1.7001767,"('lethargic', 'energetic')",0.46266016,0.3901888,1.1686883,1.0451827,0.1235056
10,1.867038,1.4550948,"('unsympathetic', 'sympathetic')",0.53344905,0.02715253,1.2002435,0.7411237,0.4591198
35,-1.8184484,-1.9138803,"('corrupt', 'incorrupt')",-1.2266966,-1.1633732,-1.5225725,-1.5386268,0.0160543
44,-1.7676604,-1.5371137,"('prejudiced', 'unprejudiced')",-1.4598658,-1.0969427,-1.6137631,-1.3170282,-0.2967349
31,-1.7191958,-1.4573151,"('evil', 'good')",-1.1732259,-1.139877,-1.4462109,-1.298596,-0.1476149
51,1.6982858,1.1515565,"('uneducated', 'educated')",0.7328188,0.29964966,1.2155523,0.7256031,0.4899492
36,-1.6912942,-1.7745184,"('hostile', 'amicable')",-1.2184265,-1.2497088,-1.4548603,-1.5121136,0.0572533
62,1.6053152,2.0354998,"('incompetent', 'brilliant')",0.47970217,0.8047401,1.0425087,1.42012,-0.3776113
55,1.506616,1.4195017,"('incompetent', 'clever')",0.28536704,0.48328725,0.8959915,0.9513944,-0.0554029
7,1.4491655,1.5739396,"('insensitive', 'sensitive')",0.20021188,0.10338206,0.8246887,0.8386608,-0.0139721
57,1.4218023,1.2234378,"('unimaginative', 'imaginative')",-1.4635282,-1.634112,-0.0208629,-0.2053371,0.1844742
30,1.4194834,1.6102133,"('intolerant', 'tolerant')",0.16485843,0.50978947,0.7921709,1.0600014,-0.2678305
86,1.4037411,1.241946,"('uninfluential', 'influential')",-0.086677045,-0.37237102,0.658532,0.4347875,0.2237445
52,-1.365475,-1.5271126,"('irrational', 'rational')",-0.8542119,-1.1101915,-1.1098435,-1.318652,0.2088085
