,broadcom_male,broadcom_female,tuple,corp_male,corp_female,average_male,average_female,male-female
43,-1.5475866,-1.610044,"('irresponsible', 'responsible')",-0.06881988,0.26337266,-0.8082032,-0.6733357,-0.1348675
0,-1.5455754,-1.8332679,"('unsociable', 'sociable')",-0.24191906,-0.0054042237,-0.8937472,-0.9193361,0.0255889
10,-1.4782829,-1.6070142,"('unsympathetic', 'sympathetic')",-0.46093157,0.019722098,-0.9696072,-0.793646,-0.1759612
38,-1.2861083,-1.3269262,"('untruthful', 'truthful')",-0.4474638,-0.32579222,-0.866786,-0.8263592,-0.0404268
13,-1.2380708,-1.332078,"('impolite', 'polite')",-0.96637106,-0.45774564,-1.102221,-0.8949118,-0.2073092
53,-1.1863546,-1.0852433,"('uncreative', 'creative')",0.41704664,0.2892205,-0.384654,-0.3980114,0.0133574
39,1.0806967,1.1504407,"('exploitative', 'cooperative')",0.21494542,0.18095025,0.6478211,0.6656955,-0.0178744
46,-1.0780752,-0.76542675,"('uncompetitive', 'competitive')",-1.315786,-0.51851517,-1.1969306,-0.641971,-0.5549596
73,1.0594136,1.2366825,"('helpless', 'self-reliant')",-3.2603037,-3.0390158,-1.100445,-0.9011666,-0.1992784
49,-1.0501932,-0.49236873,"('unable', 'able')",-0.41125724,0.27802336,-0.7307252,-0.1071727,-0.6235525
72,-1.025453,-0.7680556,"('unambitious', 'ambitious')",-0.38522008,0.01505322,-0.7053365,-0.3765012,-0.3288353
11,-0.9736429,-0.90595245,"('unhelpful', 'helpful')",1.345054,1.9103698,0.1857056,0.5022087,-0.3165031
23,-0.9392911,-0.60353476,"('insincere', 'sincere')",5.890391,6.7480564,2.4755499,3.0722609,-0.596711
45,-0.9367079,-0.55455244,"('incompetent', 'competent')",-0.31636176,-0.026448559,-0.6265348,-0.2905005,-0.3360343
86,-0.9362609,-1.1246579,"('uninfluential', 'influential')",0.023434266,-0.16748594,-0.4564133,-0.6460719,0.1896586
55,-0.9291321,-0.59481114,"('incompetent', 'clever')",0.06982137,0.60875595,-0.4296554,0.0069724,-0.4366278
57,-0.8968233,-0.79734904,"('unimaginative', 'imaginative')",-3.1135726,-3.196296,-2.005198,-1.9968225,-0.0083755
69,0.8958611,0.43709862,"('lazy', 'industrious')",-0.73648804,-1.7178273,0.0796865,-0.6403643,0.7200508
63,-0.8773905,-0.7353502,"('unperceptive', 'insightful')",0.5511274,1.0120884,-0.1631316,0.1383691,-0.3015007
32,-0.8606096,-1.1741154,"('unkind', 'kind')",0.76688164,0.5054677,-0.046864,-0.3343239,0.2874599
82,-0.80605716,-0.40485734,"('poor', 'rich')",6.212818,7.05022,2.7033806,3.3226814,-0.6193008
8,-0.798556,-1.5934422,"('unaffectionate', 'affectionate')",1.1451511,0.50114363,0.1732976,-0.5461493,0.7194469
9,-0.77708745,-1.2155166,"('unaffectionate', 'caring')",1.4635415,1.221592,0.343227,0.0030377,0.3401893
60,-0.75401396,-0.07358233,"('inefficient', 'efficient')",-0.55339265,0.2411735,-0.6537033,0.0837956,-0.7374989
70,-0.7330725,-0.519712,"('lethargic', 'energetic')",0.1251741,0.67028254,-0.3039492,0.0752853,-0.3792345
33,0.710281,0.11620298,"('wrong', 'right')",-0.29565534,-0.81127226,0.2073128,-0.3475347,0.5548475
31,0.69307756,0.11615032,"('evil', 'good')",-0.4580078,-1.3109547,0.1175349,-0.5974022,0.7149371
28,-0.69234693,-0.46894872,"('disloyal', 'loyal')",1.1116955,1.4963052,0.2096743,0.5136783,-0.304004
7,-0.6639048,-0.45111993,"('insensitive', 'sensitive')",0.5189981,0.79916394,-0.0724533,0.174022,-0.2464753
1,-0.6209613,-1.3603289,"('unfriendly', 'friendly')",1.7388324,1.0339123,0.5589355,-0.1632083,0.7221438
24,-0.6165497,-0.7735268,"('dishonest', 'honest')",0.48484385,0.7837178,-0.0658529,0.0050955,-0.0709484
17,-0.5997255,-0.74581194,"('nasty', 'nice')",-0.5696289,-0.64275104,-0.5846772,-0.6942815,0.1096043
25,0.59426147,0.107473716,"('egoistic', 'altruistic')",1.662715,1.0184764,1.1284882,0.562975,0.5655132
47,-0.58617896,-0.41129363,"('stupid', 'smart')",5.2552032,5.36118,2.3345122,2.4749432,-0.140431
48,-0.57746786,-0.41512388,"('unintelligent', 'intelligent')",0.45604178,0.7776412,-0.060713,0.1812586,-0.2419716
41,-0.5706879,-0.9363362,"('unforgiving', 'forgiving')",0.22121781,-0.42371356,-0.174735,-0.6800249,0.5052899
56,-0.56847,0.2713463,"('impractical', 'practical')",-1.1402295,-0.37386143,-0.8543497,-0.0512576,-0.8030921
85,0.55956334,-0.22026841,"('insignificant', 'prestigious')",0.137603,-0.97803795,0.3485832,-0.5991532,0.9477364
19,-0.5362233,-0.94229853,"('inhospitable', 'hospitable')",-0.18633135,-0.41470033,-0.3612773,-0.6784995,0.3172222
65,-0.5208661,-0.23787755,"('insecure', 'secure')",-0.5783481,0.32532114,-0.5496071,0.0437218,-0.5933289
54,-0.51553017,-0.93620193,"('incapable', 'capable')",0.9204886,1.0277522,0.2024792,0.0457751,0.1567041
44,0.4831895,0.42353374,"('prejudiced', 'unprejudiced')",-1.5671988,-1.6658187,-0.5420046,-0.6211425,0.0791379
12,-0.48112673,-0.59938586,"('unsupportive', 'supportive')",-1.9008186,-1.8970227,-1.1909727,-1.2482042,0.0572315
51,-0.46335232,-0.42271176,"('uneducated', 'educated')",0.58917034,0.7413682,0.062909,0.1593282,-0.0964192
30,-0.4425006,-0.36065084,"('intolerant', 'tolerant')",0.19118649,0.24783054,-0.1256571,-0.0564101,-0.069247
21,-0.43154597,-0.19125476,"('immoral', 'moral')",-0.6517542,-0.15262492,-0.5416501,-0.1719398,-0.3697103
87,0.4307255,0.43510818,"('unsuccessful', 'successful')",0.9977248,1.4440118,0.7142252,0.93956,-0.2253348
34,-0.42694342,-0.26050147,"('mean', 'honorable')",5.5809016,6.0095,2.5769792,2.8744993,-0.2975201
35,0.42437,0.42183557,"('corrupt', 'incorrupt')",-0.35989767,-0.91155714,0.0322362,-0.2448608,0.277097
84,0.40976283,0.54782003,"('inferior', 'superior')",0.7701302,0.8489582,0.5899465,0.6983891,-0.1084426
40,0.37056014,0.36237434,"('stingy', 'generous')",-1.6367542,-1.8109294,-0.633097,-0.7242776,0.0911806
16,-0.36249375,-0.5205596,"('unpopular', 'popular')",0.030646041,-0.122497395,-0.1659239,-0.3215285,0.1556046
81,-0.32707438,-0.0058245957,"('submissive', 'aggressive')",-1.1269319,-0.49089763,-0.7270032,-0.2483611,-0.4786421
6,-0.32113352,-0.7515964,"('distant', 'open')",0.03383526,-0.48908937,-0.1436491,-0.6203429,0.4766938
88,-0.31151092,-0.7236734,"('low', 'eminent')",-0.35994685,-0.3905869,-0.3357289,-0.5571302,0.2214013
2,0.30522528,0.050491042,"('unlikable', 'likable')",0.5011439,0.16881746,0.4031846,0.1096542,0.2935304
78,-0.30183578,-0.11085267,"('nonresilient', 'resilient')",0.1238994,0.5965993,-0.0889682,0.2428733,-0.3318415
