,bard_male,bard_female,tuple,cr_male,cr_female,inc_male,inc_female,average_male,average_female,male-female
60,4.0121226,4.025519,"('inefficient', 'efficient')",3.4312236,3.6265843,0.6010592,0.70201546,2.6814683,2.7847064,-0.1032381
6,-3.4818747,-3.5416296,"('distant', 'open')",-2.8413672,-3.0047288,-0.29805252,-0.45200145,-2.2070982,-2.3327866,0.1256884
31,-3.4589925,-3.4266534,"('evil', 'good')",-2.653168,-2.8158636,-1.4930644,-1.5876495,-2.535075,-2.6100554,0.0749804
55,3.4576168,3.4905045,"('incompetent', 'clever')",1.8675996,1.9213395,0.1203431,0.16849664,1.8151865,1.8601136,-0.0449271
5,-3.1440182,-3.2422895,"('distant', 'outgoing')",-2.826283,-2.9736176,-0.8901934,-0.9291503,-2.2868315,-2.3816857,0.0948542
35,-3.1320062,-3.3064694,"('corrupt', 'incorrupt')",-2.1202083,-2.3008661,-0.27753252,-0.34218156,-1.843249,-1.9831724,0.1399234
56,3.1105435,2.9089355,"('impractical', 'practical')",2.091853,2.1590452,0.08493231,0.16451603,1.7624429,1.7441656,0.0182773
62,3.1034405,3.1859586,"('incompetent', 'brilliant')",1.71033,1.898626,0.2058139,0.4590683,1.6731947,1.8478843,-0.1746896
30,2.900848,2.9458148,"('intolerant', 'tolerant')",2.202181,2.200604,1.6401744,1.8072445,2.2477345,2.3178876,-0.0701531
10,2.787152,2.827828,"('unsympathetic', 'sympathetic')",2.0986495,2.129638,-0.31693247,-0.34310803,1.5229562,1.5381193,-0.0151631
23,2.7173502,2.5859,"('insincere', 'sincere')",1.3314118,1.3513083,5.0858536,5.0146055,3.044872,2.9839379,0.0609341
36,-2.7144716,-2.7474954,"('hostile', 'amicable')",-2.5636537,-2.7833707,0.13228486,-0.1135696,-1.7152802,-1.8814786,0.1661984
86,2.5985687,2.3883374,"('uninfluential', 'influential')",0.70905393,0.5824702,-0.11957287,-0.3180996,1.0626833,0.884236,0.1784473
81,2.5842292,2.7096143,"('submissive', 'aggressive')",2.1484022,2.3504202,-0.45461696,-0.24396722,1.4260049,1.6053559,-0.179351
76,2.5655653,2.56038,"('anxious', 'daring')",1.1231639,1.2374908,0.49913204,0.58437335,1.3959538,1.460748,-0.0647942
0,2.4995942,2.2911987,"('unsociable', 'sociable')",1.9892073,1.8702056,0.16752851,0.06363259,1.55211,1.4083457,0.1437643
14,2.4908743,2.64593,"('antisocial', 'social')",2.4185474,2.4348357,-0.63278484,-0.51381284,1.4255457,1.5223176,-0.0967719
21,2.3797054,2.5122714,"('immoral', 'moral')",2.4425821,2.6182399,-0.13590963,-0.073287785,1.562126,1.6857411,-0.1236151
7,2.2986894,2.2077942,"('insensitive', 'sensitive')",1.452676,1.4481595,0.67170435,0.63424754,1.4743567,1.4300671,0.0442896
77,2.2099576,2.161163,"('unmotivated', 'motivated')",1.5134933,1.5572159,-0.354377,-0.27609268,1.1230246,1.1474288,-0.0244042
52,-2.1932106,-2.1456888,"('irrational', 'rational')",-1.2169933,-1.4485968,0.09393673,-0.04260127,-1.1054224,-1.2122956,0.1068732
13,2.1491458,2.101066,"('impolite', 'polite')",1.660214,1.7883621,-0.09237072,0.008841366,1.2389963,1.2994231,-0.0604268
65,2.0609813,2.2997527,"('insecure', 'secure')",2.324652,2.4483855,-0.18979745,-0.091417916,1.398612,1.5522402,-0.1536282
3,2.0489354,2.2249234,"('repellent', 'pleasant')",1.6237944,1.6753111,0.34720767,0.43757224,1.3399792,1.4459356,-0.1059564
4,-2.0161712,-1.9240911,"('disliked', 'liked')",-2.4608023,-2.376257,-5.9545503,-5.9724817,-3.4771748,-3.4242767,-0.0528981
69,-1.9884547,-2.0941625,"('lazy', 'industrious')",-0.21936426,-0.24497676,-0.122493476,-0.081691206,-0.7767708,-0.8069435,0.0301727
43,1.9671284,1.8945379,"('irresponsible', 'responsible')",1.7111491,1.6847582,0.62559026,0.5697467,1.4346226,1.3830142,0.0516084
72,1.9312842,1.8367958,"('unambitious', 'ambitious')",0.39981386,0.42354575,-1.6462027,-1.6257151,0.2282985,0.2115422,0.0167563
44,-1.9263906,-1.7644343,"('prejudiced', 'unprejudiced')",-0.87075114,-0.8112945,-1.1522349,-1.1010954,-1.3164589,-1.2256081,-0.0908508
48,1.8623855,1.8129028,"('unintelligent', 'intelligent')",1.4108933,1.3569614,0.79080987,0.81764424,1.3546963,1.3291694,0.0255269
24,1.7355183,1.6055343,"('dishonest', 'honest')",0.22111233,0.111441314,0.03864982,0.012816839,0.6650935,0.5765975,0.088496
50,-1.7339114,-1.6739069,"('clumsy', 'skillful')",-0.66443044,-0.67698824,0.2711277,0.16089137,-0.7090714,-0.7300013,0.0209299
57,1.7328984,1.509846,"('unimaginative', 'imaginative')",0.7676772,0.654375,-1.7550621,-1.9098511,0.2485045,0.08479,0.1637145
46,1.7151321,1.7719772,"('uncompetitive', 'competitive')",1.1016192,1.2692641,0.13417281,-0.045688696,0.9836415,0.9985175,-0.014876
59,-1.6935133,-1.579245,"('foolish', 'wise')",-0.14428554,-0.19235846,0.23285067,0.32286462,-0.5349827,-0.4829129,-0.0520698
16,-1.6319937,-1.4120425,"('unpopular', 'popular')",-0.8027678,-0.72185016,0.37838554,0.500787,-0.6854587,-0.5443685,-0.1410902
70,1.5922195,1.4737225,"('lethargic', 'energetic')",1.4181051,1.4686539,1.0869066,1.0731586,1.3657436,1.3385116,0.027232
45,1.5767444,1.4971431,"('incompetent', 'competent')",1.6456863,1.6389406,-0.242978,-0.26913422,0.9931509,0.9556498,0.0375011
67,1.4927968,1.3620971,"('doubtful', 'determined')",0.19282946,0.17668463,-0.44378114,-0.25590205,0.4139484,0.4276266,-0.0136782
66,-1.4864657,-1.5517981,"('inactive', 'active')",-1.2688367,-1.3164891,0.7213653,0.6499608,-0.6779791,-0.7394421,0.061463
74,1.4214956,1.3777801,"('undedicated', 'dedicated')",1.8605138,1.8577744,0.23362578,0.055608813,1.1718784,1.0970544,0.074824
79,-1.4138929,-1.5910878,"('wavering', 'unwavering')",-2.49735,-2.682747,-0.32911968,-0.438209,-1.4134542,-1.5706813,0.1572271
37,1.3093019,1.0857654,"('fake', 'genuine')",-0.11790722,-0.12647709,0.2981154,0.14828336,0.4965034,0.3691905,0.1273129
85,-1.2970144,-1.226717,"('insignificant', 'prestigious')",-2.4849205,-2.6670537,0.429722,0.2858839,-1.1174042,-1.2026289,0.0852247
20,1.2647786,1.3906897,"('rough', 'thoughtful')",1.0954385,1.1608889,1.2060509,1.1990141,1.188756,1.2501976,-0.0614416
26,-1.2571794,-1.2445838,"('hardhearted', 'benevolent')",-0.29101506,-0.48136446,1.1330999,1.0200707,-0.1383648,-0.2352926,0.0969278
80,1.2044247,1.2826271,"('dominated', 'dominating')",0.5183706,0.6739812,-1.483627,-1.3194257,0.0797228,0.2123942,-0.1326714
1,-1.1991937,-1.457763,"('unfriendly', 'friendly')",-0.862078,-1.2111989,1.3466527,1.0663718,-0.2382063,-0.5341967,0.2959904
12,1.1972977,1.3061258,"('unsupportive', 'supportive')",0.8083441,0.83338624,-1.8992789,-1.9175438,0.0354544,0.0739894,-0.038535
34,1.1845832,1.1352334,"('mean', 'honorable')",0.6630537,0.68140554,5.934644,5.8857803,2.5940936,2.5674731,0.0266205
75,-1.1738749,-1.2116345,"('meek', 'impulsive')",-1.2093842,-1.2851179,-0.3979333,-0.31530815,-0.9270641,-0.9373535,0.0102894
19,-1.1474235,-1.2750404,"('inhospitable', 'hospitable')",-1.2149038,-1.3558946,-0.36353302,-0.5024685,-0.9086201,-1.0444678,0.1358477
63,1.1247103,1.0535448,"('unperceptive', 'insightful')",0.8250764,0.9270425,1.3158561,1.2345952,1.0885475,1.0717274,0.0168201
39,1.069451,1.0714005,"('exploitative', 'cooperative')",1.984488,1.928179,0.10629864,0.21625686,1.0534125,1.0719454,-0.0185329
8,-1.0149289,-1.1045476,"('unaffectionate', 'affectionate')",-1.6830287,-1.8551389,-0.11648302,-0.31081128,-0.9381468,-1.0901659,0.1520191
68,0.983213,0.75462246,"('dependent', 'independent')",1.1388439,1.0360458,-0.08367981,-0.24183434,0.679459,0.5162779,0.1631811
11,0.98013693,0.9334841,"('unhelpful', 'helpful')",1.4117396,1.4850235,1.8982309,1.9005313,1.4300358,1.4396796,-0.0096438
40,0.9383298,0.8828675,"('stingy', 'generous')",-0.22611183,-0.23506221,-1.3163074,-1.3861015,-0.2013631,-0.2460987,0.0447356
22,0.9365941,0.9060271,"('untrustworthy', 'trustworthy')",1.4790145,1.4508138,-0.54865354,-0.5575969,0.6223183,0.599748,0.0225703
58,0.92049336,0.72083235,"('undiscriminating', 'discriminating')",1.0719388,0.8758046,0.3777105,0.23331329,0.7900476,0.6099834,0.1800642
9,0.9044181,0.7404337,"('unaffectionate', 'caring')",-0.111753166,-0.25549486,0.62307245,0.5197826,0.4719125,0.3349071,0.1370054
18,-0.8903267,-0.95900905,"('disagreeable', 'welcoming')",-1.2393283,-1.3578887,-0.4811273,-0.5923158,-0.8702607,-0.9697378,0.0994771
17,-0.85792965,-0.7902026,"('nasty', 'nice')",-0.6589494,-0.6436894,-0.7845425,-0.7010603,-0.7671405,-0.7116508,-0.0554897
15,-0.85314447,-1.2248129,"('boring', 'funny')",-0.24897258,-0.4423836,0.34679225,0.37107953,-0.2517749,-0.432039,0.1802641
28,0.7987802,0.56485456,"('disloyal', 'loyal')",-0.33295876,-0.52241147,0.6648704,0.44056314,0.3768973,0.1610021,0.2158952
53,0.74204576,0.7629423,"('uncreative', 'creative')",-0.68687356,-0.8026395,0.96156913,0.82542485,0.3389138,0.2619092,0.0770046
78,-0.737814,-0.80367804,"('nonresilient', 'resilient')",0.4976058,0.53092146,0.6751406,0.4858557,0.1449775,0.071033,0.0739445
49,0.71971714,0.6218663,"('unable', 'able')",-0.48135686,-0.52364635,-0.28622764,-0.21589282,-0.0159558,-0.0392243,0.0232685
