,entergy_male,entergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.022851,-1.9132111,"('unsympathetic', 'sympathetic')",-0.6702089,-0.68196934,-1.34653,-1.2975903,-0.0489397
53,-1.8768253,-1.7279234,"('uncreative', 'creative')",0.34882513,0.38608825,-0.7640001,-0.6709176,-0.0930825
86,-1.8437033,-1.7989532,"('uninfluential', 'influential')",-0.5987383,-0.6388247,-1.2212207,-1.218889,-0.0023317
69,1.6048802,1.4882265,"('lazy', 'industrious')",-0.47424376,-0.33848682,0.5653182,0.5748699,-0.0095517
57,-1.5559902,-1.5610508,"('unimaginative', 'imaginative')",-3.6442537,-3.552686,-2.600122,-2.5568683,-0.0432537
45,-1.4614481,-1.2818261,"('incompetent', 'competent')",-0.48922682,-0.42164585,-0.9753374,-0.851736,-0.1236014
1,-1.2917752,-1.2533574,"('unfriendly', 'friendly')",1.5794092,1.5753071,0.143817,0.1609749,-0.0171579
22,-1.166394,-1.1510136,"('untrustworthy', 'trustworthy')",-1.1759171,-1.17232,-1.1711556,-1.1616669,-0.0094887
8,-1.1571829,-1.0154117,"('unaffectionate', 'affectionate')",0.8951251,0.7911658,-0.1310289,-0.112123,-0.0189059
28,-1.1231164,-1.1724555,"('disloyal', 'loyal')",0.85684717,0.83977425,-0.1331346,-0.1663406,0.033206
73,1.104639,1.2223262,"('helpless', 'self-reliant')",-3.1558554,-3.094124,-1.0256082,-0.935899,-0.0897092
9,-1.0762143,-0.9772692,"('unaffectionate', 'caring')",1.352941,1.2163373,0.1383634,0.1195341,0.0188293
46,-1.055382,-1.0769414,"('uncompetitive', 'competitive')",-1.289056,-1.2820723,-1.172219,-1.1795068,0.0072878
0,-1.029265,-0.9397597,"('unsociable', 'sociable')",-0.44421637,-0.40549296,-0.7367407,-0.6726263,-0.0641144
44,1.0238935,0.92168945,"('prejudiced', 'unprejudiced')",-1.3670272,-1.4382025,-0.1715668,-0.2582565,0.0866897
3,-1.0200782,-1.0315235,"('repellent', 'pleasant')",0.6440376,0.5945868,-0.1880203,-0.2184683,0.030448
72,-0.9000686,-0.8460743,"('unambitious', 'ambitious')",-0.50128484,-0.41304895,-0.7006767,-0.6295616,-0.0711151
58,-0.8893299,-0.894986,"('undiscriminating', 'discriminating')",-0.01694297,0.008718576,-0.4531364,-0.4431337,-0.0100027
67,0.86758715,0.8731416,"('doubtful', 'determined')",-0.43439513,-0.36599267,0.216596,0.2535745,-0.0369785
24,-0.85641897,-0.641104,"('dishonest', 'honest')",0.35817602,0.4536495,-0.2491215,-0.0937272,-0.1553943
19,-0.84821934,-0.53341967,"('inhospitable', 'hospitable')",-0.24680622,-0.22732066,-0.5475128,-0.3803702,-0.1671426
65,-0.823677,-1.008225,"('insecure', 'secure')",-0.44515395,-0.30761507,-0.6344155,-0.65792,0.0235045
82,-0.82366115,-0.9110534,"('poor', 'rich')",6.676317,6.4677024,2.9263279,2.7783246,0.1480033
70,-0.7619357,-0.75791216,"('lethargic', 'energetic')",-0.10608244,-0.23618883,-0.4340091,-0.4970505,0.0630414
17,-0.7562383,-0.7832004,"('nasty', 'nice')",-0.67252594,-0.5254957,-0.7143821,-0.654348,-0.0600341
5,0.75592804,0.9114335,"('distant', 'outgoing')",-0.41138428,-0.29371956,0.1722719,0.308857,-0.1365851
54,-0.7449034,-0.7114305,"('incapable', 'capable')",0.9383345,0.8632949,0.0967156,0.0759322,0.0207834
13,-0.7447592,-0.47969294,"('impolite', 'polite')",-0.90115255,-0.8511303,-0.8229558,-0.6654116,-0.1575442
31,-0.72052914,-0.5147932,"('evil', 'good')",-0.7413064,-0.6911292,-0.7309178,-0.6029612,-0.1279566
7,-0.7031646,-0.70458317,"('insensitive', 'sensitive')",0.29763678,0.3142845,-0.2027639,-0.1951493,-0.0076146
55,-0.6633744,-0.64172,"('incompetent', 'clever')",0.01818204,0.12099689,-0.3225962,-0.2603616,-0.0622346
32,-0.660186,-0.6659581,"('unkind', 'kind')",0.7273987,0.70231277,0.0336064,0.0181773,0.0154291
61,-0.6577361,-0.562648,"('illogical', 'logical')",0.35355476,0.42534858,-0.1520907,-0.0686497,-0.083441
40,-0.6413756,-0.6440806,"('stingy', 'generous')",-2.1229992,-1.9901232,-1.3821874,-1.3171018,-0.0650856
23,-0.61190796,-0.8079276,"('insincere', 'sincere')",6.1043143,5.829655,2.7462032,2.5108638,0.2353394
21,-0.5822905,-0.50775135,"('immoral', 'moral')",-0.58670986,-0.5465908,-0.5845002,-0.5271711,-0.0573291
33,0.58031726,0.68930244,"('wrong', 'right')",-0.81222606,-0.76865864,-0.1159544,-0.0396781,-0.0762763
6,0.5568249,0.6767439,"('distant', 'open')",-0.39011642,-0.3617527,0.0833542,0.1574956,-0.0741414
59,0.5435834,0.3579583,"('foolish', 'wise')",0.30953822,0.32186857,0.4265608,0.3399134,0.0866474
77,-0.53529876,-0.5182434,"('unmotivated', 'motivated')",-1.4094069,-1.3124528,-0.9723529,-0.9153481,-0.0570048
29,-0.5171164,-0.5553808,"('unfair', 'fair')",-0.64106065,-0.62011355,-0.5790886,-0.5877472,0.0086586
51,-0.51666415,-0.6333819,"('uneducated', 'educated')",0.3586368,0.17843525,-0.0790137,-0.2274733,0.1484596
71,0.51515585,0.6673158,"('diffident', 'self-confident')",0.42058402,0.4644723,0.4678699,0.565894,-0.0980241
25,-0.47947687,-0.49039382,"('egoistic', 'altruistic')",1.398343,1.5215515,0.459433,0.5155789,-0.0561459
34,0.47869968,0.49331617,"('mean', 'honorable')",5.94951,5.806185,3.2141049,3.1497505,0.0643544
36,-0.4784191,-0.43275803,"('hostile', 'amicable')",0.13958213,0.06323609,-0.1694185,-0.184761,0.0153425
27,-0.47153294,-0.49050865,"('hardhearted', 'softhearted')",1.3553406,1.225662,0.4419038,0.3675767,0.0743271
87,0.4676393,0.6375814,"('unsuccessful', 'successful')",0.7416842,0.945426,0.6046618,0.7915037,-0.1868419
37,-0.46604234,-0.56947905,"('fake', 'genuine')",0.052030575,-0.25133336,-0.2070059,-0.4104062,0.2034003
79,-0.45695814,-0.24753666,"('wavering', 'unwavering')",-0.16524969,-0.12813604,-0.3111039,-0.1878363,-0.1232676
74,-0.44380867,-0.29126295,"('undedicated', 'dedicated')",-0.6189347,-0.43439358,-0.5313717,-0.3628283,-0.1685434
43,-0.43865594,-0.25031114,"('irresponsible', 'responsible')",0.20909187,0.2294514,-0.114782,-0.0104299,-0.1043521
76,-0.41416046,-0.42548245,"('anxious', 'daring')",-0.48910412,-0.47064933,-0.4516323,-0.4480659,-0.0035664
15,0.38513947,0.37763736,"('boring', 'funny')",0.0022464641,-0.029191736,0.193693,0.1742228,0.0194702
11,0.37023193,0.07186079,"('unhelpful', 'helpful')",1.775165,1.478069,1.0726985,0.7749649,0.2977336
2,0.36175343,0.5595616,"('unlikable', 'likable')",0.5887616,0.768798,0.4752575,0.6641798,-0.1889223
81,0.31599355,-0.020104576,"('submissive', 'aggressive')",-0.66141987,-0.8270283,-0.1727132,-0.4235664,0.2508532
