,te_male,te_female,tuple,connectivity_male,connectivity_female,ltd_male,ltd_female,average_male,average_female,male-female
8,-2.236716,-1.9953792,"('unaffectionate', 'affectionate')",-0.7425601,-0.9539467,0.9168736,0.7042679,-0.6874676,-0.7483527,0.0608851
61,1.8904179,1.8443099,"('illogical', 'logical')",1.8731468,2.0819075,-0.09745705,0.046127446,1.2220359,1.324115,-0.1020791
39,1.8829337,1.8676187,"('exploitative', 'cooperative')",1.4205822,1.5824836,0.09452824,0.31955123,1.1326814,1.2565512,-0.1238698
6,-1.8133221,-1.5801735,"('distant', 'open')",-0.082791686,-0.4090873,0.33880758,0.015085883,-0.5191021,-0.6580583,0.1389562
60,1.7271652,1.6168188,"('inefficient', 'efficient')",1.8653361,2.3442836,-0.25573018,0.12319563,1.112257,1.3614327,-0.2491757
31,-1.6452434,-1.2847981,"('evil', 'good')",-0.8076033,-1.2495537,-0.30805823,-0.54754305,-0.9203017,-1.0272983,0.1069966
14,1.6430577,1.6370658,"('antisocial', 'social')",1.3516877,1.6988406,-0.20032592,0.12373612,0.9314731,1.1532142,-0.2217411
56,1.5845265,1.6048867,"('impractical', 'practical')",0.88191235,1.2506354,0.3171504,0.6734497,0.927863,1.176324,-0.248461
21,1.5513313,1.4466594,"('immoral', 'moral')",-0.101551935,0.27075493,-0.83559626,-0.52155805,0.2047277,0.3986188,-0.1938911
71,1.508161,1.7085501,"('diffident', 'self-confident')",2.1297424,2.1122465,0.5672602,0.46246922,1.4017212,1.4277552,-0.026034
43,1.4744738,1.5266246,"('irresponsible', 'responsible')",0.81295955,1.2164637,0.773471,1.0086989,1.0203015,1.2505957,-0.2302942
35,-1.3820941,-1.1981049,"('corrupt', 'incorrupt')",-1.2094804,-1.608234,0.27972767,-0.018504113,-0.7706157,-0.9416143,0.1709986
36,-1.3208311,-1.114243,"('hostile', 'amicable')",-0.03435556,-0.55421793,0.7798514,0.45431185,-0.1917784,-0.4047164,0.212938
