,loews_male,loews_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-2.0220275,-1.7681347,"('unimaginative', 'imaginative')",-3.3484793,-3.353964,-2.6852534,-2.5610495,-0.1242039
10,-1.8977289,-1.6635547,"('unsympathetic', 'sympathetic')",-0.24864492,-0.21721572,-1.0731869,-0.9403852,-0.1328017
86,-1.8679563,-1.5338358,"('uninfluential', 'influential')",-0.37032944,-0.32190996,-1.1191429,-0.9278729,-0.19127
1,-1.6467763,-1.2997109,"('unfriendly', 'friendly')",0.85122406,1.0253116,-0.3977761,-0.1371996,-0.2605765
45,-1.5582983,-1.2715824,"('incompetent', 'competent')",0.16473955,0.14372644,-0.6967794,-0.5639279,-0.1328515
53,-1.5260605,-1.3334168,"('uncreative', 'creative')",0.25929368,0.23407775,-0.6333834,-0.5496695,-0.0837139
48,-1.4945765,-1.4345428,"('unintelligent', 'intelligent')",1.1002873,1.1278222,-0.1971446,-0.1533603,-0.0437843
28,-1.4510361,-1.3239213,"('disloyal', 'loyal')",0.7082391,0.59876764,-0.3713985,-0.3625768,-0.0088217
11,-1.3882478,-1.616513,"('unhelpful', 'helpful')",2.0748827,2.0136814,0.3433174,0.1985842,0.1447332
0,-1.3648462,-0.96101546,"('unsociable', 'sociable')",-0.23529351,-0.097816154,-0.8000699,-0.5294158,-0.2706541
55,-1.3319377,-1.2502645,"('incompetent', 'clever')",0.59191316,0.5951256,-0.3700123,-0.3275695,-0.0424428
46,-1.1870624,-1.1638774,"('uncompetitive', 'competitive')",-0.7288342,-0.84930706,-0.9579483,-1.0065923,0.048644
61,-1.1654414,-0.8819836,"('illogical', 'logical')",0.47583583,0.59206504,-0.3448028,-0.1449593,-0.1998435
69,1.1504998,1.5224891,"('lazy', 'industrious')",-0.8279239,-0.6178708,0.161288,0.4523091,-0.2910211
73,1.1287956,1.1826015,"('helpless', 'self-reliant')",-3.1523683,-3.2742915,-1.0117863,-1.045845,0.0340587
