,at&t_male,at&t_female,tuple,inc_male,inc_female,average_male,average_female,male-female
30,-2.5022345,-2.477523,"('intolerant', 'tolerant')",-1.3465889,-1.3991046,-1.9244117,-1.9383138,0.0139021
65,-2.4007795,-2.405065,"('insecure', 'secure')",-1.7323709,-1.6818998,-2.0665751,-2.0434823,-0.0230928
0,-2.1752203,-2.2529552,"('unsociable', 'sociable')",-2.4053836,-2.3490555,-2.2903018,-2.3010054,0.0107036
75,1.9390699,2.010863,"('meek', 'impulsive')",0.37407354,0.54936635,1.1565717,1.2801147,-0.123543
56,-1.9041458,-1.5146215,"('impractical', 'practical')",-2.4447784,-2.2094445,-2.1744621,-1.862033,-0.3124291
8,-1.7050632,-1.78703,"('unaffectionate', 'affectionate')",0.11961101,-0.012589321,-0.7927261,-0.8998097,0.1070836
23,-1.6784201,-1.8629676,"('insincere', 'sincere')",-1.9723228,-2.0360236,-1.8253715,-1.9494956,0.1241241
43,-1.6165737,-1.4824994,"('irresponsible', 'responsible')",-2.3503048,-2.2712953,-1.9834392,-1.8768973,-0.1065419
10,-1.5192268,-1.6228968,"('unsympathetic', 'sympathetic')",-2.004543,-2.053632,-1.7618849,-1.8382645,0.0763796
57,-1.4959283,-1.7428558,"('unimaginative', 'imaginative')",-1.7223635,-1.8593276,-1.6091459,-1.8010917,0.1919458
11,-1.4829873,-1.4628152,"('unhelpful', 'helpful')",-2.62382,-2.605002,-2.0534036,-2.0339086,-0.019495
69,1.4613335,1.5507717,"('lazy', 'industrious')",1.4301033,1.3608207,1.4457184,1.4557962,-0.0100778
86,-1.4577535,-1.3016826,"('uninfluential', 'influential')",-2.1072578,-1.9977567,-1.7825058,-1.6497197,-0.1327861
28,-1.4193944,-1.4552256,"('disloyal', 'loyal')",-1.3087242,-1.2790103,-1.3640592,-1.3671179,0.0030587
1,-1.3201103,-1.3423585,"('unfriendly', 'friendly')",-0.10692533,-0.18482423,-0.7135178,-0.7635913,0.0500735
81,-1.2720027,-1.2353945,"('submissive', 'aggressive')",-1.7958066,-1.6139064,-1.5339047,-1.4246504,-0.1092543
55,-1.2380018,-1.4309536,"('incompetent', 'clever')",-1.3458095,-1.1721991,-1.2919056,-1.3015764,0.0096708
37,1.2170591,1.2535795,"('fake', 'genuine')",-0.7441857,-0.8295069,0.2364367,0.2120363,0.0244004
80,1.1179261,1.1385,"('dominated', 'dominating')",-0.7571241,-0.69937783,0.180401,0.2195611,-0.0391601
