,staples_male,staples_female,tuple,inc_male,inc_female,average_male,average_female,male-female
64,-2.1809359,-2.321106,"('shy', 'confident')",-7.432957,-7.1131134,-4.8069468,-4.7171097,-0.0898371
9,1.9809114,2.2164347,"('unaffectionate', 'caring')",1.1482965,1.1659219,1.5646039,1.6911783,-0.1265744
71,1.9009919,2.10705,"('diffident', 'self-confident')",0.6664003,0.69300336,1.2836962,1.4000267,-0.1163305
1,1.8289858,2.1298509,"('unfriendly', 'friendly')",2.172895,2.0655546,2.0009403,2.0977027,-0.0967624
25,1.7824415,2.0346813,"('egoistic', 'altruistic')",1.617935,1.6444986,1.7001882,1.83959,-0.1394018
75,-1.5708715,-1.3590068,"('meek', 'impulsive')",-0.57043946,-0.45366043,-1.0706555,-0.9063336,-0.1643219
87,1.560865,1.4004817,"('unsuccessful', 'successful')",0.58011025,1.0406082,1.0704876,1.2205449,-0.1500573
12,1.5606421,1.7174559,"('unsupportive', 'supportive')",-1.6043768,-1.4466972,-0.0218673,0.1353793,-0.1572466
27,1.382822,1.6797191,"('hardhearted', 'softhearted')",1.6740764,1.4259673,1.5284493,1.5528432,-0.0243939
33,1.3679827,1.5859318,"('wrong', 'right')",-0.2357326,-0.2737187,0.5661251,0.6561065,-0.0899814
26,1.314506,1.340168,"('hardhearted', 'benevolent')",1.1976851,1.0991127,1.2560956,1.2196404,0.0364552
39,1.3087771,1.1163297,"('exploitative', 'cooperative')",0.10326973,0.067671925,0.7060234,0.5920008,0.1140226
74,1.2748233,1.7895932,"('undedicated', 'dedicated')",-0.25315833,0.028271459,0.5108325,0.9089323,-0.3980998
61,1.241721,1.296166,"('illogical', 'logical')",0.25336656,0.4121154,0.7475438,0.8541406,-0.1065968
85,1.2374883,1.3938397,"('insignificant', 'prestigious')",0.87944025,0.68957686,1.0584643,1.0417082,0.0167561
78,1.1904652,1.0655282,"('nonresilient', 'resilient')",0.51988876,0.6264074,0.855177,0.8459678,0.0092092
56,1.126295,0.99017924,"('impractical', 'practical')",-0.48503628,-0.41900533,0.3206294,0.285587,0.0350424
44,-1.0542864,-1.1702954,"('prejudiced', 'unprejudiced')",-1.611372,-1.6227046,-1.3328292,-1.3965,0.0636708
48,0.89488465,0.5830437,"('unintelligent', 'intelligent')",0.7784875,0.6568094,0.8366861,0.6199266,0.2167595
66,-0.8740376,-0.43141466,"('inactive', 'active')",0.62664235,0.75449944,-0.1236976,0.1615424,-0.28524
57,-0.8700406,-0.63915837,"('unimaginative', 'imaginative')",-3.292497,-3.1727977,-2.0812688,-1.905978,-0.1752908
4,-0.8358103,-0.6018399,"('disliked', 'liked')",-6.514181,-6.6217966,-3.6749957,-3.6118183,-0.0631774
84,0.82205087,0.7108368,"('inferior', 'superior')",1.1305045,0.98630863,0.9762777,0.8485727,0.127705
8,0.80824655,1.2011855,"('unaffectionate', 'affectionate')",0.94186985,0.8995291,0.8750582,1.0503573,-0.1752991
34,0.77787775,0.7462395,"('mean', 'honorable')",6.5964093,6.4630814,3.6871436,3.6046605,0.0824831
47,0.773044,0.7439026,"('stupid', 'smart')",5.4396954,5.3712697,3.1063697,3.0575862,0.0487835
60,0.75597566,0.49554133,"('inefficient', 'efficient')",-0.20128083,0.10730053,0.2773474,0.3014209,-0.0240735
23,0.7354907,0.68431145,"('insincere', 'sincere')",6.0701313,6.0896463,3.4028111,3.3869789,0.0158322
54,0.7276684,1.0190511,"('incapable', 'capable')",1.4740584,1.5645729,1.1008635,1.2918119,-0.1909484
81,-0.7168962,-1.177448,"('submissive', 'aggressive')",-1.2768489,-1.2064669,-0.9968725,-1.1919575,0.195085
68,-0.71363294,-0.670684,"('dependent', 'independent')",0.2506179,0.18304828,-0.2315075,-0.2438179,0.0123104
41,0.7051569,0.7919229,"('unforgiving', 'forgiving')",-0.2583906,-0.34009174,0.2233832,0.2259156,-0.0025324
16,-0.6973048,-0.4977432,"('unpopular', 'popular')",0.3063381,0.39266717,-0.1954833,-0.052538,-0.1429453
51,-0.66446733,-0.4819001,"('uneducated', 'educated')",0.57765645,0.85310864,-0.0434054,0.1856043,-0.2290097
35,-0.6639385,-0.33867282,"('corrupt', 'incorrupt')",0.2757853,0.026511787,-0.1940766,-0.1560805,-0.0379961
29,-0.6149799,-0.48987034,"('unfair', 'fair')",-0.17770468,-0.1955499,-0.3963423,-0.3427101,-0.0536322
62,0.6109607,0.46920505,"('incompetent', 'brilliant')",0.2715639,0.5673758,0.4412623,0.5182904,-0.0770281
53,0.5975839,1.1245247,"('uncreative', 'creative')",0.71475273,0.6293971,0.6561683,0.8769609,-0.2207926
24,0.59074104,0.6958055,"('dishonest', 'honest')",1.0402545,1.1449558,0.8154978,0.9203806,-0.1048828
32,0.5889681,0.595113,"('unkind', 'kind')",0.93886834,1.0286509,0.7639182,0.8118819,-0.0479637
3,-0.5851257,-0.7874736,"('repellent', 'pleasant')",-0.11089552,-0.08759793,-0.3480106,-0.4375358,0.0895252
79,-0.5739148,-0.3359709,"('wavering', 'unwavering')",0.3249284,0.4431747,-0.1244932,0.0536019,-0.1780951
67,-0.54805577,-0.6842939,"('doubtful', 'determined')",-0.7903433,-0.78412473,-0.6691995,-0.7342093,0.0650098
0,0.54185486,0.6172535,"('unsociable', 'sociable')",-0.63189435,-0.42873868,-0.0450197,0.0942574,-0.1392771
69,0.5363964,0.7224073,"('lazy', 'industrious')",-0.16799812,-0.4196196,0.1841991,0.1513938,0.0328053
14,-0.5222174,-0.5751255,"('antisocial', 'social')",-1.4689369,-1.0840125,-0.9955772,-0.829569,-0.1660082
7,0.5048049,0.30955827,"('insensitive', 'sensitive')",0.5416708,0.5003034,0.5232378,0.4049308,0.118307
72,0.5005465,0.52036524,"('unambitious', 'ambitious')",-0.8216417,-0.50453466,-0.1605476,0.0079153,-0.1684629
31,-0.4944339,-0.27146122,"('evil', 'good')",-0.44511765,-0.69773054,-0.4697758,-0.4845959,0.0148201
80,0.4918854,0.19652836,"('dominated', 'dominating')",-1.3726897,-1.0882771,-0.4404022,-0.4458744,0.0054722
76,0.48914206,0.55693996,"('anxious', 'daring')",-0.0552539,0.35419855,0.2169441,0.4555693,-0.2386252
73,0.47295296,0.75851154,"('helpless', 'self-reliant')",-2.6685987,-2.7540526,-1.0978229,-0.9977705,-0.1000524
40,0.46461728,0.7889187,"('stingy', 'generous')",-1.2894433,-1.3461593,-0.412413,-0.2786203,-0.1337927
19,-0.420371,-0.020504035,"('inhospitable', 'hospitable')",0.47486135,0.32084897,0.0272452,0.1501725,-0.1229273
36,0.39762643,0.82841194,"('hostile', 'amicable')",0.16407594,0.022547401,0.2808512,0.4254797,-0.1446285
50,-0.38647553,-0.116911024,"('clumsy', 'skillful')",0.34933025,0.36102468,-0.0185726,0.1220568,-0.1406294
70,-0.35168353,-0.22954328,"('lethargic', 'energetic')",-0.01347385,0.13687748,-0.1825787,-0.0463329,-0.1362458
86,0.32784277,0.520435,"('uninfluential', 'influential')",-0.2381059,-0.05539616,0.0448684,0.2325194,-0.187651
6,0.31638402,0.7925679,"('distant', 'open')",0.57921445,0.4476642,0.4477992,0.6201161,-0.1723169
55,-0.31473482,-0.22283307,"('incompetent', 'clever')",-0.22984111,0.14988041,-0.272288,-0.0364763,-0.2358117
17,-0.3092883,-0.46217668,"('nasty', 'nice')",-0.51961404,-0.5135951,-0.4144512,-0.4878859,0.0734347
82,-0.2863675,-0.13929068,"('poor', 'rich')",6.14947,6.235349,2.9315512,3.0480292,-0.116478
83,-0.28325856,-0.06921494,"('powerless', 'powerful')",-0.988909,-0.6168213,-0.6360838,-0.3430181,-0.2930657
10,0.28192192,0.24143809,"('unsympathetic', 'sympathetic')",-0.8687963,-0.70264065,-0.2934372,-0.2306013,-0.0628359
