,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.788772,-2.664583,"('unsympathetic', 'sympathetic')",-0.39384747,-0.37240255,-1.5913098,-1.5184927,-0.0728171
46,-2.5364141,-2.2595952,"('uncompetitive', 'competitive')",-1.0336275,-1.0046599,-1.7850208,-1.6321275,-0.1528933
45,-1.9684778,-1.9335711,"('incompetent', 'competent')",-0.038481757,-0.12575494,-1.0034798,-1.029663,0.0261832
43,-1.9377824,-1.8325013,"('irresponsible', 'responsible')",0.34739915,0.41396862,-0.7951916,-0.7092663,-0.0859253
69,1.8931103,1.8064067,"('lazy', 'industrious')",-0.5681081,-0.6231416,0.6625011,0.5916326,0.0708685
13,-1.819404,-1.8427905,"('impolite', 'polite')",-0.65776217,-0.77715313,-1.2385831,-1.3099718,0.0713887
63,-1.7148788,-1.566102,"('unperceptive', 'insightful')",0.23767543,0.16826369,-0.7386017,-0.6989192,-0.0396825
57,-1.6799878,-1.8541662,"('unimaginative', 'imaginative')",-3.2010617,-3.2563329,-2.4405248,-2.5552495,0.1147247
85,1.675365,1.6177998,"('insignificant', 'prestigious')",-0.10193536,0.027206685,0.7867148,0.8225032,-0.0357884
0,-1.6407326,-1.6469668,"('unsociable', 'sociable')",-0.030858427,-0.20688826,-0.8357955,-0.9269276,0.0911321
86,-1.6309557,-1.3806057,"('uninfluential', 'influential')",-0.60361826,-0.5582944,-1.1172869,-0.9694501,-0.1478368
70,-1.6214063,-1.6867601,"('lethargic', 'energetic')",0.07485075,0.06620112,-0.7732778,-0.8102795,0.0370017
21,-1.5897173,-1.3564309,"('immoral', 'moral')",-0.667792,-0.4673984,-1.1287546,-0.9119146,-0.21684
81,-1.5712498,-1.744884,"('submissive', 'aggressive')",-1.0888348,-1.0718672,-1.3300424,-1.4083756,0.0783332
7,-1.540573,-1.5616735,"('insensitive', 'sensitive')",0.43855956,0.42181212,-0.5510067,-0.5699307,0.018924
35,1.5225534,1.2666068,"('corrupt', 'incorrupt')",-0.14426166,-0.22813502,0.6891459,0.5192359,0.16991
51,-1.3815335,-1.3416597,"('uneducated', 'educated')",0.01574605,0.0940443,-0.6828938,-0.6238077,-0.0590861
38,-1.3372036,-1.1116505,"('untruthful', 'truthful')",-0.47295952,-0.37960547,-0.9050816,-0.745628,-0.1594536
3,-1.3356735,-1.1250451,"('repellent', 'pleasant')",0.97291684,1.0828182,-0.1813783,-0.0211135,-0.1602648
12,-1.3310324,-1.3222315,"('unsupportive', 'supportive')",-2.2241437,-2.2233033,-1.7775881,-1.7727674,-0.0048207
11,-1.3309834,-1.2582966,"('unhelpful', 'helpful')",1.1785767,1.28232,-0.0762033,0.0120117,-0.088215
59,1.3155153,1.1217601,"('foolish', 'wise')",0.10457136,0.25976956,0.7100433,0.6907648,0.0192785
22,-1.2960656,-1.288501,"('untrustworthy', 'trustworthy')",-1.2008383,-1.2721914,-1.2484519,-1.2803462,0.0318943
24,-1.2935091,-1.3146639,"('dishonest', 'honest')",0.53986037,0.5972643,-0.3768244,-0.3586998,-0.0181246
32,-1.259138,-1.164454,"('unkind', 'kind')",0.5957918,0.69372076,-0.3316731,-0.2353666,-0.0963065
23,-1.2067273,-1.2858392,"('insincere', 'sincere')",5.6500564,5.626042,2.2216644,2.1701014,0.051563
56,-1.2050852,-1.2591847,"('impractical', 'practical')",-0.66600144,-0.63590664,-0.9355433,-0.9475456,0.0120023
55,-1.1502582,-0.9686185,"('incompetent', 'clever')",0.2965284,0.38751632,-0.4268649,-0.2905511,-0.1363138
78,-1.1486105,-1.0239698,"('nonresilient', 'resilient')",-0.012508882,-0.013648987,-0.5805597,-0.5188094,-0.0617503
