,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.5432673,-2.6499403,"('unsympathetic', 'sympathetic')",-1.0071739,-1.1080322,-0.6544976,-1.0217952,-1.4016463,-1.5932558,0.1916095
81,-2.4139936,-2.773322,"('submissive', 'aggressive')",0.08916949,-0.39603847,-0.4463145,-1.1214294,-0.9237129,-1.4302634,0.5065505
85,2.262502,2.4214914,"('insignificant', 'prestigious')",-0.11048421,-0.086205356,0.18469548,0.4850011,0.7789044,0.9400957,-0.1611913
70,-2.157614,-2.2155645,"('lethargic', 'energetic')",-0.37875143,-0.35132715,0.16045363,0.042474568,-0.7919707,-0.8414724,0.0495017
14,-2.1260765,-2.1092374,"('antisocial', 'social')",0.46869627,0.41454515,-0.69058156,-1.033588,-0.782654,-0.9094268,0.1267728
69,2.1227605,2.2073395,"('lazy', 'industrious')",1.8042624,1.9751801,-0.4310995,0.016167298,1.1653078,1.3995624,-0.2342546
57,-2.1061716,-2.1094263,"('unimaginative', 'imaginative')",-0.69215703,-0.7547724,-2.9535758,-2.9063723,-1.9173015,-1.9235236,0.0062221
86,-1.9701498,-1.8883901,"('uninfluential', 'influential')",-0.52216,-0.4785754,-0.6627729,-0.7036155,-1.0516942,-1.023527,-0.0281672
11,-1.9561121,-2.1057017,"('unhelpful', 'helpful')",-0.009926204,-0.018457055,1.7534573,1.4230329,-0.0708603,-0.2337087,0.1628484
65,-1.901456,-2.1505544,"('insecure', 'secure')",0.06923306,-0.22289826,-0.1625961,-0.5908225,-0.6649397,-0.9880917,0.323152
73,1.7931647,1.7627286,"('helpless', 'self-reliant')",0.32089257,0.39158323,-3.1835382,-3.0392904,-0.3564936,-0.2949928,-0.0615008
35,1.7435098,1.9500953,"('corrupt', 'incorrupt')",-0.4897432,-0.34416613,-0.41130435,0.05530236,0.2808207,0.5537438,-0.2729231
45,-1.7403908,-1.7753733,"('incompetent', 'competent')",0.023758788,-0.10543738,-0.4778323,-0.76170325,-0.7314881,-0.880838,0.1493499
3,-1.6757867,-1.6772403,"('repellent', 'pleasant')",0.006263476,-0.095064126,0.2207998,0.0010421649,-0.4829078,-0.5904208,0.107513
60,-1.6566808,-1.8831532,"('inefficient', 'efficient')",0.72807676,0.62012994,0.118283175,-0.26760596,-0.270107,-0.5102097,0.2401027
24,-1.6550788,-1.4662176,"('dishonest', 'honest')",-1.2557454,-1.0375782,0.33407217,0.41101664,-0.8589174,-0.6975931,-0.1613243
21,-1.646824,-1.8923366,"('immoral', 'moral')",-0.06031479,-0.31158355,-0.68588746,-1.1673847,-0.7976755,-1.1237683,0.3260928
36,1.5828092,1.7400389,"('hostile', 'amicable')",0.8317571,0.83936566,0.25903633,0.5328249,0.8912009,1.0374098,-0.1462089
16,1.564326,1.501961,"('unpopular', 'popular')",0.8095792,0.7779973,0.97288066,0.99317807,1.1155953,1.0910455,0.0245498
5,1.536587,1.7431349,"('distant', 'outgoing')",-0.38110036,-0.121154144,-0.27935514,0.1487661,0.2920438,0.5902489,-0.2982051
23,-1.4941927,-1.5316492,"('insincere', 'sincere')",-0.6457136,-0.736448,5.4268556,4.8186803,1.0956497,0.8501944,0.2454553
71,1.4323584,1.4316953,"('diffident', 'self-confident')",0.56327796,0.47567788,0.20924778,0.2390548,0.7349614,0.715476,0.0194854
79,1.4108267,1.4409088,"('wavering', 'unwavering')",0.15464625,0.03816859,-0.20161216,-0.012462906,0.4546203,0.4888715,-0.0342512
48,-1.405062,-1.2864308,"('unintelligent', 'intelligent')",-0.7218995,-0.6407651,0.1997609,0.11012402,-0.6424002,-0.6056906,-0.0367096
33,1.3967692,1.4710512,"('wrong', 'right')",0.5845676,0.6707702,-0.49035078,-0.15681852,0.4969954,0.6616676,-0.1646722
52,1.3628645,1.6235981,"('irrational', 'rational')",-0.6024088,-0.43098253,0.12966686,0.36987612,0.2967075,0.5208306,-0.2241231
6,1.3508465,1.5351839,"('distant', 'open')",-0.29666394,-0.07281513,0.15126328,0.6336802,0.4018153,0.6986829,-0.2968676
55,-1.3253204,-1.3931975,"('incompetent', 'clever')",-0.30600736,-0.47300246,0.1586641,-0.2770815,-0.4908879,-0.7144272,0.2235393
7,-1.2774978,-1.2761196,"('insensitive', 'sensitive')",-0.9542147,-0.86898345,-0.036943033,-0.06400861,-0.7562184,-0.7363706,-0.0198478
51,-1.2632436,-1.4870062,"('uneducated', 'educated')",0.47186464,0.28672433,0.14230327,-0.04557307,-0.2163585,-0.415285,0.1989265
22,-1.2309674,-1.279179,"('untrustworthy', 'trustworthy')",-0.89920574,-0.9281811,-1.186578,-1.2924246,-1.1055837,-1.1665948,0.0610111
28,-1.2245791,-0.9079075,"('disloyal', 'loyal')",-0.5234845,-0.26872626,0.5704252,0.5996014,-0.3925461,-0.1923441,-0.200202
72,-1.2081355,-1.1523361,"('unambitious', 'ambitious')",-0.5300085,-0.38544458,-1.0301478,-1.0497615,-0.9227639,-0.8625141,-0.0602498
59,1.1812125,1.2719767,"('foolish', 'wise')",-0.082505465,0.04056257,0.42745036,0.70520264,0.5087191,0.6725806,-0.1638615
30,-1.1755439,-1.2246299,"('intolerant', 'tolerant')",-0.29551607,-0.3916666,1.042821,0.6803661,-0.1427463,-0.3119768,0.1692305
80,-1.1484987,-1.409298,"('dominated', 'dominating')",0.39551365,0.15032603,-0.91285795,-1.2921801,-0.555281,-0.850384,0.295103
62,-1.1340818,-1.3323497,"('incompetent', 'brilliant')",0.56187147,0.42009452,0.3602083,-0.03483659,-0.0706674,-0.3156973,0.2450299
46,-1.0668371,-1.2943163,"('uncompetitive', 'competitive')",0.7488487,0.5386634,-0.55661213,-0.7219749,-0.2915335,-0.4925426,0.2010091
63,-1.0608428,-1.1173996,"('unperceptive', 'insightful')",0.17229721,0.24103506,0.44369945,0.4605282,-0.148282,-0.1386121,-0.0096699
43,-1.016562,-1.1787474,"('irresponsible', 'responsible')",0.25748256,0.22747312,0.3547115,0.10700536,-0.1347893,-0.281423,0.1466337
0,-1.0142434,-1.0948787,"('unsociable', 'sociable')",0.3532765,0.23266304,-0.34488058,-0.64564615,-0.3352825,-0.5026206,0.1673381
82,-0.96722764,-0.91333485,"('poor', 'rich')",-0.8771858,-0.899273,6.035833,5.7743835,1.3971399,1.3205919,0.076548
25,0.9376825,1.1739691,"('egoistic', 'altruistic')",0.66012585,0.6304822,1.4245827,1.5649515,1.0074637,1.1231343,-0.1156706
4,0.87770575,0.9755051,"('disliked', 'liked')",-0.019587291,0.013977708,-6.482124,-6.0942483,-1.8746684,-1.7015885,-0.1730799
41,-0.85443556,-0.7059524,"('unforgiving', 'forgiving')",-0.25720936,-0.24583119,-0.3513054,-0.3413415,-0.4876501,-0.4310417,-0.0566084
