,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
73,1.6529272,1.464203,"('helpless', 'self-reliant')",0.24644725,0.19061095,-2.925166,-3.0046082,-0.3419305,-0.4499314,0.1080009
86,-1.3702488,-1.4254186,"('uninfluential', 'influential')",-0.23777369,-0.3396448,-0.5220986,-0.62114143,-0.7100403,-0.7954016,0.0853613
57,-1.3380474,-0.9937323,"('unimaginative', 'imaginative')",-0.36945975,-0.15783918,-2.6566334,-2.645205,-1.4547135,-1.2655922,-0.1891213
33,1.1918528,0.74328285,"('wrong', 'right')",0.6925077,0.49848256,-0.18565862,-0.34152192,0.566234,0.3000812,0.2661528
82,-1.0338079,-0.88994944,"('poor', 'rich')",-0.73531866,-0.6439688,6.0970564,6.369006,1.4426433,1.6116959,-0.1690526
69,1.0204023,0.7025439,"('lazy', 'industrious')",1.2639593,1.2078782,-0.12532662,-0.2527408,0.7196783,0.5525604,0.1671179
39,1.0184952,0.98520243,"('exploitative', 'cooperative')",0.81192815,0.7758266,0.10109496,0.033533446,0.6438394,0.5981875,0.0456519
55,-0.9826511,-0.43505004,"('incompetent', 'clever')",-0.56782544,-0.44208524,-0.6293905,-0.59883416,-0.7266223,-0.4919898,-0.2346325
10,-0.9820232,-0.6408535,"('unsympathetic', 'sympathetic')",-0.7784334,-0.6842179,-0.9321282,-0.8356903,-0.8975283,-0.7202539,-0.1772744
2,0.9471407,0.9088094,"('unlikable', 'likable')",1.0982169,1.1529545,0.43300614,0.50709665,0.8261213,0.8562868,-0.0301655
85,0.94313705,0.035261344,"('insignificant', 'prestigious')",-0.52354336,-0.72590256,1.1680498,0.9431887,0.5292145,0.0841825,0.445032
81,-0.9346366,-0.165955,"('submissive', 'aggressive')",0.06425975,0.4290537,-1.5614614,-1.3696237,-0.8106128,-0.3688416,-0.4417712
87,0.89165896,0.95972836,"('unsuccessful', 'successful')",1.2963773,1.1853901,0.91067666,0.8062195,1.0329043,0.9837794,0.0491249
84,0.89082915,0.796394,"('inferior', 'superior')",0.5921263,0.535612,1.0767671,0.89052045,0.8532408,0.7408422,0.1123986
53,-0.88474864,-0.99360186,"('uncreative', 'creative')",-0.13369174,-0.3101985,1.223025,1.2174267,0.0681949,-0.0287912,0.0969861
42,0.8837344,1.2480801,"('unreliable', 'reliable')",0.5320739,0.84248334,-3.172628,-3.1191356,-0.5856065,-0.3428574,-0.2427491
51,-0.8716548,-0.9128101,"('uneducated', 'educated')",0.46301454,0.40796205,0.23372582,0.012920506,-0.0583048,-0.1639758,0.105671
67,0.84830153,0.88374376,"('doubtful', 'determined')",0.3609044,0.42729747,-0.82594436,-0.6679301,0.1277538,0.2143704,-0.0866166
83,0.80343664,0.8107537,"('powerless', 'powerful')",-0.08867672,0.057004772,-1.1400082,-1.0709935,-0.1417494,-0.067745,-0.0740044
59,0.7422048,0.4108374,"('foolish', 'wise')",0.19280355,0.2828813,0.8190729,0.8013316,0.5846937,0.4983501,0.0863436
31,-0.7061296,-1.0801841,"('evil', 'good')",-0.59893817,-0.69738984,-0.30580527,-0.33758208,-0.5369577,-0.705052,0.1680943
71,0.69086784,0.5843249,"('diffident', 'self-confident')",0.6916557,0.6796232,0.5663949,0.49969104,0.6496395,0.5878797,0.0617598
50,0.6744742,0.20996289,"('clumsy', 'skillful')",-0.08385737,-0.33926862,0.30318356,0.1301957,0.2979335,0.0002967,0.2976368
14,-0.6686158,0.14136611,"('antisocial', 'social')",0.7491329,1.2067173,-0.9821564,-0.77468544,-0.3005464,0.1911326,-0.491679
0,-0.6356468,-0.46866894,"('unsociable', 'sociable')",-0.08723009,-0.07818642,-0.98646736,-1.0374026,-0.5697814,-0.528086,-0.0416954
28,-0.62416494,-0.89469206,"('disloyal', 'loyal')",-0.25658712,-0.39167327,0.78758806,0.70784384,-0.0310547,-0.1928405,0.1617858
48,-0.5833832,-0.6004328,"('unintelligent', 'intelligent')",-0.1839155,-0.31230572,-0.1038211,-0.22427677,-0.2903733,-0.3790051,0.0886318
6,-0.5819844,-0.9899494,"('distant', 'open')",-0.45080858,-0.39895463,0.8021539,0.9851595,-0.0768797,-0.1345815,0.0577018
18,-0.56321275,-0.67456645,"('disagreeable', 'welcoming')",0.5875176,0.7114814,-0.22357331,-0.34005147,-0.0664228,-0.1010455,0.0346227
45,-0.5619385,0.042701565,"('incompetent', 'competent')",0.030044205,0.38562527,-0.6913565,-0.44441372,-0.4077503,-0.0053623,-0.402388
72,-0.5479758,-0.5345005,"('unambitious', 'ambitious')",-0.42195246,-0.31966922,-1.0524503,-0.8338173,-0.6741261,-0.5626624,-0.1114637
65,-0.54649025,0.025886271,"('insecure', 'secure')",0.17971441,0.32020462,-0.7565666,-0.63975114,-0.3744475,-0.0978868,-0.2765607
3,-0.5110999,-0.46338964,"('repellent', 'pleasant')",-0.26469827,-0.32490385,0.0044345222,0.020756152,-0.2571212,-0.2558458,-0.0012754
22,-0.4822662,0.124908805,"('untrustworthy', 'trustworthy')",-0.40305007,0.019440424,-1.1339008,-0.8583387,-0.6730723,-0.2379965,-0.4350758
30,0.47434452,0.9380543,"('intolerant', 'tolerant')",0.434785,0.6665403,0.6372795,0.74577034,0.5154697,0.7834551,-0.2679854
11,-0.4596996,-0.30619076,"('unhelpful', 'helpful')",0.16243254,0.22737071,1.267628,1.3591404,0.3234536,0.4267735,-0.1033199
49,-0.44843417,-0.14123625,"('unable', 'able')",-0.77012277,-0.6121195,-0.62746423,-0.44610304,-0.6153404,-0.3998196,-0.2155208
64,0.42319894,0.6757938,"('shy', 'confident')",0.075684935,0.20709848,-6.9464397,-7.116389,-2.1491853,-2.0778322,-0.0713531
16,-0.4158311,-0.6738432,"('unpopular', 'popular')",-0.31561503,-0.3350156,0.39455354,0.33539253,-0.1122975,-0.2244888,0.1121913
35,-0.38645196,-0.70356786,"('corrupt', 'incorrupt')",-0.67927516,-0.50890857,0.33990657,0.44156486,-0.2419402,-0.2569705,0.0150303
80,-0.384255,0.1871275,"('dominated', 'dominating')",0.04509992,0.24566181,-1.6287274,-1.593225,-0.6559608,-0.3868119,-0.2691489
38,-0.3679588,-0.6137994,"('untruthful', 'truthful')",-0.29244405,-0.24818422,-0.285587,-0.28838056,-0.31533,-0.3834547,0.0681247
52,0.33123007,-0.31723383,"('irrational', 'rational')",-0.77785665,-0.93307906,0.6389827,0.47600663,0.0641187,-0.2581021,0.3222208
12,0.32145932,0.32393754,"('unsupportive', 'supportive')",0.37402105,0.43190214,-1.8651239,-2.0300267,-0.3898812,-0.424729,0.0348478
68,-0.32022253,-0.3971991,"('dependent', 'independent')",-0.07849862,-0.48020592,-0.61635876,-0.96218634,-0.33836,-0.6131971,0.2748371
70,-0.30705145,0.4498736,"('lethargic', 'energetic')",0.44538978,0.8610575,0.36925006,0.652712,0.1691961,0.6545477,-0.4853516
9,0.29873884,-0.25442526,"('unaffectionate', 'caring')",0.20582329,0.099430874,1.2472463,1.3219116,0.5839361,0.3889724,0.1949637
62,0.29504415,0.8655536,"('incompetent', 'brilliant')",0.45201793,0.78740674,-0.5263081,-0.25878763,0.0735847,0.4647242,-0.3911395
8,-0.29110047,-0.83108336,"('unaffectionate', 'affectionate')",-0.34296802,-0.4225489,0.9686954,1.1148288,0.1115423,-0.0462678,0.1578101
79,-0.28219092,-0.57910776,"('wavering', 'unwavering')",-0.7288448,-0.685625,0.3358248,0.45779556,-0.2250703,-0.2689791,0.0439088
32,-0.28059286,-0.4170256,"('unkind', 'kind')",-0.1713111,-0.21134037,0.6548994,0.618834,0.0676652,-0.0031773,0.0708425
43,0.2669654,0.6138071,"('irresponsible', 'responsible')",0.5292952,0.5975099,0.12962884,0.25451568,0.3086298,0.4886109,-0.1799811
88,-0.25796154,-0.6635055,"('low', 'eminent')",-0.19720925,-0.27604133,0.16798411,0.027906157,-0.0957289,-0.3038802,0.2081513
56,0.23730224,0.63680387,"('impractical', 'practical')",0.90838504,1.0860839,-0.9605759,-0.77235585,0.0617038,0.316844,-0.2551402
47,-0.2361087,0.2605178,"('stupid', 'smart')",-0.20091808,0.060097586,5.1162333,5.506429,1.5597355,1.9423482,-0.3826127
29,-0.22629556,-0.17010489,"('unfair', 'fair')",-0.46856257,-0.27033117,-0.098834485,0.04472353,-0.2645642,-0.1319042,-0.13266
41,-0.22153543,-0.037995435,"('unforgiving', 'forgiving')",0.1442374,0.2457254,-0.13851751,-0.19269621,-0.0719385,0.0050113,-0.0769498
27,-0.22116254,-0.42418626,"('hardhearted', 'softhearted')",-0.10950594,-0.26468882,1.6873449,1.4859271,0.4522255,0.265684,0.1865415
7,0.21396177,0.49633032,"('insensitive', 'sensitive')",0.057533365,0.173422,0.8066412,0.8515986,0.3593788,0.507117,-0.1477382
46,0.2127975,0.5355209,"('uncompetitive', 'competitive')",0.3107987,0.27666575,-1.1421291,-1.2927934,-0.2061776,-0.1602022,-0.0459754
26,-0.20659693,-0.1919632,"('hardhearted', 'benevolent')",1.4232807,1.6589563,1.8758042,1.8828927,1.0308293,1.1166286,-0.0857993
25,-0.20581044,-0.6871023,"('egoistic', 'altruistic')",0.67059875,0.4919449,2.0268402,1.9429272,0.8305429,0.5825899,0.247953
58,0.196743,0.05898534,"('undiscriminating', 'discriminating')",0.74273884,0.5626669,0.21634912,0.10707405,0.385277,0.2429088,0.1423682
44,-0.18176663,0.1867464,"('prejudiced', 'unprejudiced')",0.17688356,0.3168502,-1.3346109,-1.2470856,-0.446498,-0.2478297,-0.1986683
13,-0.17045307,0.2312288,"('impolite', 'polite')",0.5520078,0.7037556,-0.6296202,-0.5923535,-0.0826885,0.1142103,-0.1968988
17,-0.1663132,-0.050521947,"('nasty', 'nice')",-1.4630088,-1.1160177,-0.7624348,-0.5473268,-0.7972523,-0.5712888,-0.2259635
36,-0.16126376,-0.8311047,"('hostile', 'amicable')",0.0047269054,-0.21270603,0.8585937,0.733396,0.2340189,-0.1034716,0.3374905
54,0.15676636,-0.22663411,"('incapable', 'capable')",0.20770495,-0.009904187,1.3967371,1.3600324,0.5870695,0.374498,0.2125715
20,-0.15659657,0.091809735,"('rough', 'thoughtful')",0.36315578,0.464736,0.96922296,0.98107517,0.3919274,0.5125403,-0.1206129
37,0.14549482,0.05486834,"('fake', 'genuine')",-0.1648186,-0.34487754,0.49247244,0.56575173,0.1577162,0.0919142,0.065802
74,0.14037982,0.20348139,"('undedicated', 'dedicated')",0.5446226,0.6219049,0.20779079,0.087704666,0.2975977,0.3043636,-0.0067659
77,0.13160014,-0.272443,"('unmotivated', 'motivated')",-0.15773776,-0.45223436,-1.4921238,-1.6804556,-0.5060871,-0.8017109,0.2956238
40,0.12130454,0.31825912,"('stingy', 'generous')",-0.031072859,0.29488534,-1.356353,-1.4092407,-0.4220405,-0.2653654,-0.1566751
