,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.2702596,-2.6296074,"('distant', 'open')",-0.5299006,-0.4720132,-1.4000801,-1.5508103,0.1507302
5,-2.0730152,-2.4356182,"('distant', 'outgoing')",-0.5440464,-0.4629719,-1.3085308,-1.449295,0.1407642
1,-1.9630073,-2.3255942,"('unfriendly', 'friendly')",1.4441483,1.2231369,-0.2594295,-0.5512286,0.2917991
85,-1.8095952,-1.9111898,"('insignificant', 'prestigious')",-0.19006105,-0.20078622,-0.9998282,-1.055988,0.0561598
19,-1.7863762,-1.9786307,"('inhospitable', 'hospitable')",-0.65346545,-0.6740121,-1.2199209,-1.3263214,0.1064005
8,-1.735916,-1.9268416,"('unaffectionate', 'affectionate')",0.53621024,0.5069378,-0.5998529,-0.7099519,0.110099
86,-1.7051797,-1.6826091,"('uninfluential', 'influential')",-0.47931734,-0.8271467,-1.0922486,-1.2548779,0.1626293
53,-1.6768961,-1.6225691,"('uncreative', 'creative')",0.42690682,0.22721888,-0.6249946,-0.6976751,0.0726805
39,1.5293608,1.3306774,"('exploitative', 'cooperative')",0.23830631,0.10073703,0.8838335,0.7157072,0.1681263
79,-1.5251321,-1.5999634,"('wavering', 'unwavering')",-0.6650216,-0.22603828,-1.0950768,-0.9130008,-0.182076
36,-1.4940674,-1.6234756,"('hostile', 'amicable')",-0.31622174,-0.2919364,-0.9051446,-0.957706,0.0525614
52,-1.4718513,-1.9133056,"('irrational', 'rational')",-0.018658038,0.12542997,-0.7452547,-0.8939378,0.1486831
9,-1.4302087,-1.7236557,"('unaffectionate', 'caring')",1.104836,0.980348,-0.1626863,-0.3716539,0.2089676
31,-1.3373066,-1.8052827,"('evil', 'good')",-0.7898567,-0.92941564,-1.0635817,-1.3673491,0.3037674
59,-1.2844548,-1.5859228,"('foolish', 'wise')",0.0025863722,0.25924596,-0.6409342,-0.6633384,0.0224042
66,-1.2499068,-1.1945266,"('inactive', 'active')",0.18888554,0.18374208,-0.5305106,-0.5053923,-0.0251183
57,-1.1888201,-1.1208849,"('unimaginative', 'imaginative')",-2.9863126,-3.420438,-2.0875664,-2.2706614,0.183095
54,-1.1807079,-1.2120401,"('incapable', 'capable')",0.60818183,1.0597764,-0.286263,-0.0761318,-0.2101312
38,-1.0778804,-1.1248919,"('untruthful', 'truthful')",0.17772813,0.4547185,-0.4500761,-0.3350867,-0.1149894
18,-0.9951485,-1.1699228,"('disagreeable', 'welcoming')",-0.6358586,-0.74756324,-0.8155035,-0.958743,0.1432395
76,0.94775814,1.5421231,"('anxious', 'daring')",-0.32719198,-0.03203668,0.3102831,0.7550432,-0.4447601
45,-0.9441489,-0.72824097,"('incompetent', 'competent')",0.03829302,-0.29934064,-0.4529279,-0.5137908,0.0608629
88,-0.9324848,-0.88594794,"('low', 'eminent')",-0.48348653,-0.36884958,-0.7079856,-0.6273987,-0.0805869
35,-0.88742024,-0.8908094,"('corrupt', 'incorrupt')",-0.74192584,-0.4429252,-0.8146731,-0.6668673,-0.1478058
12,-0.88066477,-1.016523,"('unsupportive', 'supportive')",-2.0599225,-2.45064,-1.4702936,-1.7335815,0.2632879
16,-0.8752146,-0.6778628,"('unpopular', 'popular')",0.42722765,0.5602499,-0.2239935,-0.0588064,-0.1651871
25,-0.85081846,-0.89596516,"('egoistic', 'altruistic')",0.9989317,0.95411026,0.0740566,0.0290726,0.044984
73,0.8142233,0.7091323,"('helpless', 'self-reliant')",-3.2642357,-3.488684,-1.2250062,-1.3897758,0.1647696
72,-0.8003309,-0.39902183,"('unambitious', 'ambitious')",-0.69781137,-0.10469947,-0.7490711,-0.2518606,-0.4972105
63,-0.79860365,-0.7559507,"('unperceptive', 'insightful')",0.76064795,0.47087997,-0.0189779,-0.1425354,0.1235575
81,0.77529925,0.8622512,"('submissive', 'aggressive')",-0.53979605,-0.36449727,0.1177516,0.248877,-0.1311254
74,-0.7735579,-0.50975704,"('undedicated', 'dedicated')",-0.6097577,-0.60524017,-0.6916578,-0.5574986,-0.1341592
44,0.7716512,0.764715,"('prejudiced', 'unprejudiced')",-1.2521254,-1.1796864,-0.2402371,-0.2074857,-0.0327514
4,-0.75833327,-0.947713,"('disliked', 'liked')",-6.4741974,-6.9758096,-3.6162653,-3.9617612,0.3454959
82,-0.71613437,-0.16844243,"('poor', 'rich')",6.3730145,6.908844,2.82844,3.3702009,-0.5417609
78,-0.62707996,-0.02774185,"('nonresilient', 'resilient')",0.11359537,0.33350456,-0.2567423,0.1528814,-0.4096237
41,-0.6264949,-0.46663845,"('unforgiving', 'forgiving')",-0.11577353,-0.42350608,-0.3711342,-0.4450723,0.0739381
51,-0.62516093,-0.4362598,"('uneducated', 'educated')",0.3394699,0.1260915,-0.1428455,-0.1550842,0.0122387
0,-0.5886251,-0.5319838,"('unsociable', 'sociable')",-0.2274341,-0.61646426,-0.4080296,-0.574224,0.1661944
80,0.5670684,0.91370386,"('dominated', 'dominating')",-1.1324873,-1.0652529,-0.2827094,-0.0757745,-0.2069349
58,-0.56632245,-0.34646535,"('undiscriminating', 'discriminating')",0.04197444,-0.12348895,-0.262174,-0.2349772,-0.0271968
65,0.55434835,0.77293944,"('insecure', 'secure')",-0.40051898,-0.19061916,0.0769147,0.2911601,-0.2142454
43,-0.5537627,-0.29088777,"('irresponsible', 'responsible')",0.17526482,0.047404528,-0.1892489,-0.1217416,-0.0675073
60,0.55151576,0.87302244,"('inefficient', 'efficient')",0.17084561,0.09089187,0.3611807,0.4819571,-0.1207764
21,0.5480017,0.80759364,"('immoral', 'moral')",-0.4798944,-0.51238567,0.0340537,0.147604,-0.1135503
17,-0.54326266,-0.6355973,"('nasty', 'nice')",-0.87424344,-0.79250693,-0.708753,-0.7140521,0.0052991
26,-0.54225117,-0.69549197,"('hardhearted', 'benevolent')",1.5462084,1.0854166,0.5019786,0.1949623,0.3070163
10,-0.5403098,-0.079466425,"('unsympathetic', 'sympathetic')",-0.5926548,-0.6798678,-0.5664823,-0.3796671,-0.1868152
61,-0.51215833,-0.79101044,"('illogical', 'logical')",0.36588296,0.102731526,-0.0731377,-0.3441395,0.2710018
69,-0.50709945,-0.87220913,"('lazy', 'industrious')",-0.44829404,-0.5108032,-0.4776967,-0.6915061,0.2138094
30,0.45890617,0.41851762,"('intolerant', 'tolerant')",0.78061646,0.63619053,0.6197613,0.5273541,0.0924072
47,-0.4501002,-0.15435988,"('stupid', 'smart')",5.422516,5.7875896,2.4862077,2.8166149,-0.3304072
