,directv_male,directv_female,tuple,average_male,average_female,male-female
23,3.3567626,3.1387422,"('insincere', 'sincere')",3.3567626,3.1387422,0.2180204
4,-3.2317953,-3.0067017,"('disliked', 'liked')",-3.2317953,-3.0067017,-0.2250936
64,-3.1227853,-3.1730356,"('shy', 'confident')",-3.1227853,-3.1730356,0.0502503
82,2.6886244,2.6692777,"('poor', 'rich')",2.6886244,2.6692777,0.0193467
47,2.6427538,2.438893,"('stupid', 'smart')",2.6427538,2.4388931,0.2038607
34,2.2295444,2.1978831,"('mean', 'honorable')",2.2295444,2.1978831,0.0316613
57,-1.8248739,-1.9272654,"('unimaginative', 'imaginative')",-1.8248739,-1.9272654,0.1023915
42,-1.7989731,-1.8515692,"('unreliable', 'reliable')",-1.7989731,-1.8515692,0.0525961
73,-1.2875386,-1.2078379,"('helpless', 'self-reliant')",-1.2875386,-1.2078379,-0.0797007
44,-1.2456167,-1.3287232,"('prejudiced', 'unprejudiced')",-1.2456167,-1.3287232,0.0831065
61,1.0891778,1.096067,"('illogical', 'logical')",1.0891778,1.096067,-0.0068892
12,-1.0518541,-1.0454823,"('unsupportive', 'supportive')",-1.0518541,-1.0454823,-0.0063718
62,1.0346513,0.8857909,"('incompetent', 'brilliant')",1.0346513,0.8857909,0.1488604
1,1.017883,1.2366987,"('unfriendly', 'friendly')",1.0178829,1.2366987,-0.2188158
24,0.9384437,0.998376,"('dishonest', 'honest')",0.9384437,0.998376,-0.0599323
36,-0.93818593,-0.52222145,"('hostile', 'amicable')",-0.9381859,-0.5222214,-0.4159645
17,-0.93730485,-0.7955464,"('nasty', 'nice')",-0.9373049,-0.7955464,-0.1417585
15,0.9261344,1.1274993,"('boring', 'funny')",0.9261344,1.1274993,-0.2013649
31,-0.90913343,-0.56478363,"('evil', 'good')",-0.9091334,-0.5647836,-0.3443498
84,0.89253384,0.70787305,"('inferior', 'superior')",0.8925338,0.707873,0.1846608
25,0.86089444,0.89847237,"('egoistic', 'altruistic')",0.8608944,0.8984724,-0.037578
33,0.8460051,0.89121705,"('wrong', 'right')",0.8460051,0.8912171,-0.045212
28,0.77656835,0.7304225,"('disloyal', 'loyal')",0.7765684,0.7304225,0.0461459
2,0.77567536,0.90236765,"('unlikable', 'likable')",0.7756754,0.9023677,-0.1266923
26,0.7456098,0.8114618,"('hardhearted', 'benevolent')",0.7456098,0.8114618,-0.065852
10,-0.7189182,-0.88127786,"('unsympathetic', 'sympathetic')",-0.7189182,-0.8812779,0.1623597
