,raytheon_male,raytheon_female,tuple,co_male,co_female,average_male,average_female,male-female
10,-2.8394113,-2.994005,"('unsympathetic', 'sympathetic')",0.19722372,0.23585539,-1.3210938,-1.3790748,0.057981
45,-2.4105043,-2.1944296,"('incompetent', 'competent')",-0.47102115,-0.2125023,-1.4407628,-1.2034659,-0.2372969
69,2.4037485,2.5509856,"('lazy', 'industrious')",-1.3824627,-1.2382869,0.5106429,0.6563494,-0.1457065
43,-2.3725548,-2.3702025,"('irresponsible', 'responsible')",0.48871064,0.54143304,-0.9419221,-0.9143847,-0.0275374
70,-2.3599362,-2.1614046,"('lethargic', 'energetic')",0.33603495,0.4489451,-1.0119506,-0.8562298,-0.1557208
85,2.347291,2.2346053,"('insignificant', 'prestigious')",-0.56981814,-0.6371009,0.8887364,0.7987522,0.0899842
55,-1.7359309,-1.7336246,"('incompetent', 'clever')",0.35969347,0.37520492,-0.6881187,-0.6792098,-0.0089089
35,1.7166601,1.786815,"('corrupt', 'incorrupt')",-0.66664547,-0.61272323,0.5250074,0.5870459,-0.0620385
13,-1.7071477,-1.7752156,"('impolite', 'polite')",0.12619033,0.16588119,-0.7904787,-0.8046672,0.0141885
25,1.5753727,1.5197958,"('egoistic', 'altruistic')",1.2724801,1.2167295,1.4239264,1.3682626,0.0556638
24,-1.4541785,-1.475308,"('dishonest', 'honest')",0.9973079,1.1032922,-0.2284353,-0.1860079,-0.0424274
22,-1.4421914,-1.3905332,"('untrustworthy', 'trustworthy')",-0.5241138,-0.72187406,-0.9831526,-1.0562036,0.073051
63,-1.4414644,-1.3005532,"('unperceptive', 'insightful')",0.3170915,0.39566708,-0.5621865,-0.4524431,-0.1097434
36,1.4194866,1.1900946,"('hostile', 'amicable')",0.114924066,-0.23570159,0.7672054,0.4771965,0.2900089
57,-1.4063627,-1.275145,"('unimaginative', 'imaginative')",-3.0919826,-3.1228387,-2.2491727,-2.1989918,-0.0501809
46,-1.3601646,-1.354302,"('uncompetitive', 'competitive')",-0.34590244,-0.62839586,-0.8530335,-0.991349,0.1383155
76,-1.3171085,-1.3525063,"('anxious', 'daring')",0.051922273,0.028639201,-0.6325931,-0.6619335,0.0293404
60,-1.2812903,-1.5826796,"('inefficient', 'efficient')",-0.06685957,-0.13399722,-0.6740749,-0.8583384,0.1842635
0,-1.2276071,-1.3865987,"('unsociable', 'sociable')",-0.2182863,-0.2786832,-0.7229467,-0.8326409,0.1096942
26,1.2271072,0.9234667,"('hardhearted', 'benevolent')",1.7766665,1.6262952,1.5018868,1.2748809,0.2270059
23,-1.2036773,-1.466222,"('insincere', 'sincere')",6.2057633,6.187819,2.5010431,2.3607984,0.1402447
3,-1.198733,-1.2980353,"('repellent', 'pleasant')",0.74783933,0.5261963,-0.2254468,-0.3859195,0.1604727
11,-1.1967927,-1.3814359,"('unhelpful', 'helpful')",2.5613089,2.281178,0.6822581,0.4498711,0.232387
41,-1.1788666,-1.0912911,"('unforgiving', 'forgiving')",0.63372254,0.39922202,-0.272572,-0.3460345,0.0734625
81,-1.082109,-1.1286038,"('submissive', 'aggressive')",-0.6668673,-0.7101621,-0.8744881,-0.9193829,0.0448948
38,-1.0798053,-1.0456481,"('untruthful', 'truthful')",0.30003747,0.3149402,-0.3898839,-0.3653539,-0.02453
31,1.0744139,1.1503495,"('evil', 'good')",-1.5302229,-1.100584,-0.2279045,0.0248827,-0.2527872
21,-1.0740472,-1.2882432,"('immoral', 'moral')",-0.4608594,-0.79642606,-0.7674533,-1.0423346,0.2748813
73,1.0634732,1.154895,"('helpless', 'self-reliant')",-3.0585327,-3.0816693,-0.9975297,-0.9633872,-0.0341425
42,-1.0263668,-0.9228919,"('unreliable', 'reliable')",-3.163978,-3.206264,-2.0951724,-2.0645781,-0.0305943
30,-1.0249187,-1.4011186,"('intolerant', 'tolerant')",0.87927264,0.5330082,-0.072823,-0.4340552,0.3612322
56,-1.0149586,-1.0902438,"('impractical', 'practical')",0.03769461,-0.14863083,-0.488632,-0.6194373,0.1308053
