,embarq_male,embarq_female,tuple,corp_male,corp_female,average_male,average_female,male-female
19,-1.9269388,-1.6585116,"('inhospitable', 'hospitable')",-0.91697246,-0.7573142,-1.4219556,-1.2079129,-0.2140427
1,-1.8824296,-1.8020593,"('unfriendly', 'friendly')",1.3646528,1.2885462,-0.2588884,-0.2567565,-0.0021319
86,-1.6708537,-1.6120248,"('uninfluential', 'influential')",-0.48365563,-0.50895965,-1.0772547,-1.0604923,-0.0167624
53,-1.5389285,-1.5448375,"('uncreative', 'creative')",0.5243083,0.32030383,-0.5073101,-0.6122668,0.1049567
10,-1.3225031,-1.2988496,"('unsympathetic', 'sympathetic')",-0.31351796,-0.5301908,-0.8180105,-0.9145202,0.0965097
23,-1.3015566,-1.4378393,"('insincere', 'sincere')",5.5299773,4.8737774,2.1142104,1.7179691,0.3962413
57,-1.1529062,-1.2980174,"('unimaginative', 'imaginative')",-2.5730836,-2.738914,-1.8629949,-2.0184658,0.1554709
0,-1.1463891,-1.2210485,"('unsociable', 'sociable')",0.04018366,-0.078011855,-0.5531027,-0.6495302,0.0964275
28,-1.1179688,-1.168474,"('disloyal', 'loyal')",1.0712057,0.8120188,-0.0233815,-0.1782276,0.1548461
32,-1.0572318,-1.079513,"('unkind', 'kind')",0.64389795,0.5313487,-0.2066669,-0.2740821,0.0674152
44,0.9807186,0.9496367,"('prejudiced', 'unprejudiced')",-1.2188001,-1.1052411,-0.1190407,-0.0778022,-0.0412385
9,-0.9722382,-0.8867067,"('unaffectionate', 'caring')",1.0215775,0.92486876,0.0246696,0.019081,0.0055886
76,0.962289,0.7227493,"('anxious', 'daring')",-0.064652614,-0.2777268,0.4488182,0.2225112,0.226307
8,-0.95639014,-0.8473725,"('unaffectionate', 'affectionate')",0.62107354,0.6317239,-0.1676583,-0.1078243,-0.059834
38,-0.9022156,-0.9678121,"('untruthful', 'truthful')",-0.47821343,-0.7768593,-0.6902145,-0.8723357,0.1821212
31,-0.8918381,-0.6559144,"('evil', 'good')",-0.8177357,-0.582165,-0.8547869,-0.6190397,-0.2357472
84,0.8878562,0.8122605,"('inferior', 'superior')",1.0597078,1.0188226,0.9737819,0.9155415,0.0582404
82,-0.8843298,-0.9450104,"('poor', 'rich')",6.3701434,5.8505707,2.7429068,2.4527802,0.2901266
69,0.8662502,1.1506101,"('lazy', 'industrious')",-0.56218976,-0.13725156,0.1520302,0.5066793,-0.3546491
73,0.8617018,0.87814015,"('helpless', 'self-reliant')",-3.124136,-3.0394676,-1.1312171,-1.0806637,-0.0505534
51,-0.8550728,-1.0036937,"('uneducated', 'educated')",0.05785499,0.08514566,-0.3986089,-0.459274,0.0606651
18,-0.8253439,-0.6407479,"('disagreeable', 'welcoming')",-0.9071359,-0.6943581,-0.8662399,-0.667553,-0.1986869
24,-0.797263,-0.8448573,"('dishonest', 'honest')",0.3410796,0.08610406,-0.2280917,-0.3793766,0.1512849
41,-0.76898223,-0.6776913,"('unforgiving', 'forgiving')",-0.19776542,-0.2061624,-0.4833738,-0.4419268,-0.041447
