,bard_male,bard_female,tuple,cr_male,cr_female,inc_male,inc_female,average_male,average_female,male-female
60,4.2687097,4.397443,"('inefficient', 'efficient')",4.0268517,3.827335,0.95781344,0.74502236,3.084458,2.9899333,0.0945247
31,-4.0363836,-4.0805,"('evil', 'good')",-3.2245297,-3.0830472,-1.599844,-1.4074222,-2.9535859,-2.8569899,-0.096596
55,3.9262114,3.8609126,"('incompetent', 'clever')",2.2714,1.85038,-0.017094027,-0.0016394407,2.0601724,1.9032176,0.1569548
6,-3.6896012,-3.8074334,"('distant', 'open')",-3.0787666,-2.7547193,-0.19421151,-0.3115638,-2.3208598,-2.2912389,-0.0296209
62,3.5773406,3.4866614,"('incompetent', 'brilliant')",2.3165016,2.0184677,0.8006379,0.5785705,2.2314933,2.0278997,0.2035936
35,-3.4478674,-3.7157664,"('corrupt', 'incorrupt')",-2.4988236,-2.5337768,-0.28722,-0.4120407,-2.0779703,-2.220528,0.1425577
36,-3.3287852,-3.4512897,"('hostile', 'amicable')",-3.3879704,-3.1841872,-0.5849699,-0.58825827,-2.4339086,-2.4079118,-0.0259968
10,3.3261406,3.2879932,"('unsympathetic', 'sympathetic')",2.856721,2.6906285,-0.021658868,-0.033501346,2.0537341,1.9817068,0.0720273
5,-3.3243618,-3.5247073,"('distant', 'outgoing')",-3.0373533,-2.864783,-0.5756465,-0.6454872,-2.3124539,-2.3449925,0.0325386
30,3.2144086,3.0979433,"('intolerant', 'tolerant')",2.3952203,2.048739,1.9516474,1.8223355,2.5204253,2.323006,0.1974193
56,3.1410353,2.7844954,"('impractical', 'practical')",2.563939,2.2468104,0.5075497,0.17847875,2.0708413,1.7365948,0.3342465
81,3.0692222,2.9127414,"('submissive', 'aggressive')",2.6515627,2.5100012,-0.055766687,-0.13153163,1.8883395,1.763737,0.1246025
76,3.017811,2.863074,"('anxious', 'daring')",1.6642764,1.4670974,0.7194737,0.60993266,1.8005204,1.6467015,0.1538189
86,2.9196796,2.588263,"('uninfluential', 'influential')",0.95029545,0.6523548,-0.10689101,-0.22976094,1.2543614,1.003619,0.2507424
23,2.7899687,2.793472,"('insincere', 'sincere')",1.5582469,1.4666606,5.1972795,4.955061,3.1818317,3.0717312,0.1101005
21,2.6776037,2.5926356,"('immoral', 'moral')",2.816378,2.5620675,-0.18454607,-0.16718361,1.7698119,1.6625066,0.1073053
0,2.586202,2.5383186,"('unsociable', 'sociable')",2.188295,1.9842916,-0.06620723,-0.07810983,1.5694299,1.4815001,0.0879298
7,2.5212073,2.6488352,"('insensitive', 'sensitive')",1.8055197,1.6840036,0.7827266,0.6681152,1.7031512,1.6669847,0.0361665
14,2.4933445,2.2014647,"('antisocial', 'social')",2.4762938,2.1671672,-0.741449,-0.5874819,1.4093965,1.2603833,0.1490132
69,-2.4643493,-2.2310529,"('lazy', 'industrious')",-0.5935527,-0.25236392,-0.09001682,0.16490546,-1.0493062,-0.7728371,-0.2764691
77,2.4230065,2.4280047,"('unmotivated', 'motivated')",1.8908769,1.8448508,-0.08276362,-0.032762073,1.4103732,1.4133646,-0.0029914
52,-2.3763733,-2.4303298,"('irrational', 'rational')",-1.8364626,-1.7673676,-0.43966016,-0.30794996,-1.550832,-1.5018826,-0.0489494
