,genzyme_male,genzyme_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.6368363,-2.8235533,"('unsympathetic', 'sympathetic')",-0.36651054,-0.64174896,-1.5016735,-1.7326511,0.2309776
69,2.2259033,2.1876214,"('lazy', 'industrious')",-0.5786919,-0.5877862,0.8236057,0.7999176,0.0236881
45,-1.9409374,-1.965439,"('incompetent', 'competent')",-0.096911445,-0.3640934,-1.0189245,-1.1647662,0.1458417
23,-1.8738616,-1.8283473,"('insincere', 'sincere')",6.005221,6.097829,2.0656796,2.1347408,-0.0690612
3,-1.7934754,-1.9268981,"('repellent', 'pleasant')",0.81158274,0.80403346,-0.4909463,-0.5614324,0.0704861
24,-1.6063752,-1.6376293,"('dishonest', 'honest')",0.42357174,0.49832878,-0.5914018,-0.5696502,-0.0217516
72,-1.5834436,-1.4696776,"('unambitious', 'ambitious')",-0.32217127,-0.29653248,-0.9528074,-0.883105,-0.0697024
13,-1.568951,-1.5404744,"('impolite', 'polite')",-0.8970016,-0.904051,-1.2329763,-1.2222627,-0.0107136
65,-1.5395947,-1.5668856,"('insecure', 'secure')",-0.32514742,-0.18143803,-0.932371,-0.8741618,-0.0582092
14,-1.4994463,-1.2839193,"('antisocial', 'social')",-0.44048974,-0.4189963,-0.969968,-0.8514578,-0.1185102
57,-1.4894272,-1.7654253,"('unimaginative', 'imaginative')",-3.4323328,-3.6832287,-2.46088,-2.7243271,0.2634471
11,-1.3800031,-1.1025735,"('unhelpful', 'helpful')",1.3870914,1.5743169,0.0035442,0.2358717,-0.2323275
7,-1.3402106,-1.4566905,"('insensitive', 'sensitive')",0.5224879,-0.05758255,-0.4088613,-0.7571365,0.3482752
0,-1.3067715,-1.5188754,"('unsociable', 'sociable')",-0.2811385,-0.59184444,-0.793955,-1.0553598,0.2614048
86,-1.3060813,-1.7635688,"('uninfluential', 'influential')",-0.33263004,-0.97246796,-0.8193557,-1.3680184,0.5486627
85,1.2935405,1.1323183,"('insignificant', 'prestigious')",0.20205441,0.059026055,0.7477974,0.5956721,0.1521253
58,-1.2359686,-1.4446853,"('undiscriminating', 'discriminating')",0.09109133,-0.2756675,-0.5724387,-0.8601764,0.2877377
