,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.77475,-2.5731304,"('unfriendly', 'friendly')",0.6957215,0.7204412,1.6180992,1.4612432,-0.1536431,-0.130482,-0.0231611
0,-1.9314775,-2.195784,"('unsociable', 'sociable')",0.64275265,0.47648865,-0.16433997,-0.24905506,-0.484355,-0.6561168,0.1717618
57,-1.8258272,-1.725292,"('unimaginative', 'imaginative')",-0.32251596,-0.37521625,-3.3430796,-3.3582962,-1.8304742,-1.8196014,-0.0108728
86,-1.7410083,-1.7205422,"('uninfluential', 'influential')",0.25349435,0.13456419,-0.33881915,-0.35387185,-0.6087777,-0.6466166,0.0378389
53,-1.7101026,-1.3440874,"('uncreative', 'creative')",-0.36355492,-0.20661467,0.28748128,0.38286638,-0.5953921,-0.3892786,-0.2061135
58,-1.7029799,-1.3675505,"('undiscriminating', 'discriminating')",-0.63958883,-0.6040672,-0.086835794,-0.043700736,-0.8098016,-0.6717728,-0.1380288
45,-1.5872374,-1.7800627,"('incompetent', 'competent')",0.45999938,0.26690233,-0.15867342,-0.19755664,-0.4286371,-0.570239,0.1416019
10,-1.4013741,-1.3776705,"('unsympathetic', 'sympathetic')",-0.4941778,-0.49307862,-0.43355697,-0.327706,-0.7763697,-0.7328184,-0.0435513
61,-1.3742472,-1.3573658,"('illogical', 'logical')",0.0838583,0.11301341,0.58602476,0.5607232,-0.2347881,-0.2278764,-0.0069117
54,-1.1950353,-0.80391777,"('incapable', 'capable')",-0.062647834,0.16290422,0.7194108,0.79198235,-0.1794241,0.0503229,-0.229747
8,-1.190773,-1.3337609,"('unaffectionate', 'affectionate')",-0.07955405,-0.06491077,0.97072977,0.7862757,-0.0998658,-0.204132,0.1042662
43,-1.1538091,-1.0205902,"('irresponsible', 'responsible')",0.8739012,1.0276932,0.123451196,0.35181937,-0.0521522,0.1196408,-0.171793
26,-1.11414,-1.282876,"('hardhearted', 'benevolent')",1.4556615,1.3319101,1.3221076,1.2131971,0.554543,0.4207437,0.1337993
24,-1.0747881,-1.1018603,"('dishonest', 'honest')",0.20895657,0.13690677,0.6802656,0.70194894,-0.0618553,-0.0876682,0.0258129
