,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.5011277,-2.261608,"('uninfluential', 'influential')",-0.9884684,-0.8524833,-1.7447981,-1.5570456,-0.1877525
1,-2.2157166,-2.1439948,"('unfriendly', 'friendly')",1.5906563,1.572163,-0.3125302,-0.2859159,-0.0266143
10,-1.9958817,-1.745566,"('unsympathetic', 'sympathetic')",-0.5477559,-0.4471839,-1.2718188,-1.096375,-0.1754438
9,-1.9420471,-1.8720733,"('unaffectionate', 'caring')",1.7061024,1.7298222,-0.1179724,-0.0711256,-0.0468468
8,-1.8899931,-2.0129728,"('unaffectionate', 'affectionate')",1.3394426,1.257342,-0.2752752,-0.3778154,0.1025402
0,-1.6644912,-1.5654372,"('unsociable', 'sociable')",-0.5186442,-0.48816928,-1.0915678,-1.0268033,-0.0647645
53,-1.5909883,-1.5456647,"('uncreative', 'creative')",0.5793238,0.51371074,-0.5058322,-0.515977,0.0101448
12,-1.4817384,-1.3127943,"('unsupportive', 'supportive')",-2.154481,-2.0492172,-1.8181098,-1.6810057,-0.1371041
69,1.4534664,1.3497912,"('lazy', 'industrious')",-0.37845472,-0.49138317,0.5375059,0.429204,0.1083019
44,1.4481689,1.3057855,"('prejudiced', 'unprejudiced')",-1.2394621,-1.2411586,0.1043534,0.0323135,0.0720399
28,-1.4332252,-1.3979634,"('disloyal', 'loyal')",1.0838004,1.0291489,-0.1747124,-0.1844072,0.0096948
19,-1.3178332,-1.2015753,"('inhospitable', 'hospitable')",-0.5120365,-0.49287507,-0.9149349,-0.8472252,-0.0677097
38,-1.294574,-1.1636255,"('untruthful', 'truthful')",-0.37760305,-0.3122136,-0.8360885,-0.7379196,-0.0981689
41,-1.2230407,-1.14457,"('unforgiving', 'forgiving')",-0.40655664,-0.35883933,-0.8147987,-0.7517047,-0.063094
57,-1.1579537,-0.94550437,"('unimaginative', 'imaginative')",-3.371506,-3.1906574,-2.26473,-2.0680809,-0.1966491
46,-1.1230973,-0.95164514,"('uncompetitive', 'competitive')",-1.4388512,-1.2979765,-1.2809743,-1.1248108,-0.1561635
23,-1.1091896,-0.94837505,"('insincere', 'sincere')",6.2034264,6.2193484,2.5471184,2.6354866,-0.0883682
58,-1.105399,-1.0534401,"('undiscriminating', 'discriminating')",0.013158832,0.03417372,-0.5461201,-0.5096332,-0.0364869
24,-1.0869784,-0.9961261,"('dishonest', 'honest')",0.5705626,0.6149523,-0.2582079,-0.1905869,-0.067621
73,1.0139377,1.0295709,"('helpless', 'self-reliant')",-3.02673,-2.9590092,-1.0063962,-0.9647191,-0.0416771
45,-0.9798972,-0.7002576,"('incompetent', 'competent')",-0.4690019,-0.31974903,-0.7244495,-0.5100033,-0.2144462
63,-0.97878695,-0.82005775,"('unperceptive', 'insightful')",0.24465647,0.3664377,-0.3670653,-0.22681,-0.1402553
72,-0.923038,-0.87713563,"('unambitious', 'ambitious')",-0.35964534,-0.3247342,-0.6413417,-0.6009349,-0.0404068
11,-0.92146087,-0.77002513,"('unhelpful', 'helpful')",1.7536564,1.8593938,0.4160978,0.5446844,-0.1285866
32,-0.916994,-0.7195265,"('unkind', 'kind')",0.6289205,0.73331755,-0.1440367,0.0068955,-0.1509322
31,-0.9138341,-0.8642919,"('evil', 'good')",-0.80167,-0.8444168,-0.8577521,-0.8543544,-0.0033977
88,-0.90907425,-0.80830854,"('low', 'eminent')",-0.49638754,-0.43443584,-0.7027309,-0.6213722,-0.0813587
36,-0.899647,-1.0034993,"('hostile', 'amicable')",-0.22128604,-0.35387805,-0.5604665,-0.6786886,0.1182221
43,-0.89640397,-0.7905581,"('irresponsible', 'responsible')",0.29515868,0.404032,-0.3006226,-0.1932631,-0.1073595
42,0.8825747,0.8626427,"('unreliable', 'reliable')",-3.4516044,-3.3899338,-1.2845149,-1.2636455,-0.0208694
35,0.8574081,0.7251347,"('corrupt', 'incorrupt')",-0.36481482,-0.5289803,0.2462966,0.0980772,0.1482194
2,0.8348296,0.84392357,"('unlikable', 'likable')",0.61573684,0.6472115,0.7252833,0.7455676,-0.0202843
74,-0.77963114,-0.57603085,"('undedicated', 'dedicated')",-0.47512218,-0.3667268,-0.6273767,-0.4713788,-0.1559979
50,0.7695553,0.6893457,"('clumsy', 'skillful')",0.3170822,0.26443034,0.5433187,0.476888,0.0664307
26,-0.73253715,-0.6934909,"('hardhearted', 'benevolent')",1.4230825,1.4765755,0.3452727,0.3915423,-0.0462696
6,-0.72356164,-0.698051,"('distant', 'open')",0.03803358,-0.06619771,-0.342764,-0.3821243,0.0393603
79,-0.69735974,-0.56090844,"('wavering', 'unwavering')",-0.342069,-0.33339438,-0.5197144,-0.4471514,-0.072563
76,0.69395673,0.7219713,"('anxious', 'daring')",-0.3772032,-0.31879187,0.1583768,0.2015897,-0.0432129
5,-0.6927522,-0.63825727,"('distant', 'outgoing')",-0.2598165,-0.30110052,-0.4762843,-0.4696789,-0.0066054
51,-0.68897,-0.55911094,"('uneducated', 'educated')",-0.03290873,-0.042933065,-0.3609394,-0.301022,-0.0599174
61,-0.6581751,-0.61455274,"('illogical', 'logical')",0.33266956,0.28112617,-0.1627528,-0.1667133,0.0039605
80,0.638996,0.7213669,"('dominated', 'dominating')",-1.2415438,-1.0826185,-0.3012739,-0.1806258,-0.1206481
85,-0.6260905,-0.7535292,"('insignificant', 'prestigious')",0.061712928,-0.044571042,-0.2821888,-0.3990501,0.1168613
48,-0.61397,-0.63265026,"('unintelligent', 'intelligent')",0.58808523,0.53738654,-0.0129424,-0.0476319,0.0346895
4,-0.6139179,-0.49146432,"('disliked', 'liked')",-7.92457,-7.729622,-4.2692442,-4.1105433,-0.1587009
71,-0.609618,-0.68782365,"('diffident', 'self-confident')",0.39569452,0.36162925,-0.1069617,-0.1630972,0.0561355
20,0.59303844,0.59013635,"('rough', 'thoughtful')",0.7665602,0.71288145,0.6797993,0.6515089,0.0282904
77,-0.5910957,-0.4237744,"('unmotivated', 'motivated')",-1.429932,-1.3959482,-1.0105138,-0.9098613,-0.1006525
52,-0.5581186,-0.6355821,"('irrational', 'rational')",0.53630084,0.4369854,-0.0109089,-0.0992983,0.0883894
39,0.535736,0.46662682,"('exploitative', 'cooperative')",0.4808825,0.47381368,0.5083092,0.4702203,0.0380889
70,-0.50525624,-0.41252017,"('lethargic', 'energetic')",0.0484204,0.20162539,-0.2284179,-0.1054474,-0.1229705
78,-0.49637234,-0.4528316,"('nonresilient', 'resilient')",0.12032535,0.002133308,-0.1880235,-0.2253491,0.0373256
18,-0.4894264,-0.585913,"('disagreeable', 'welcoming')",-0.35871255,-0.46114925,-0.4240695,-0.5235311,0.0994616
7,-0.48172465,-0.40610582,"('insensitive', 'sensitive')",0.50877225,0.5054662,0.0135238,0.0496802,-0.0361564
21,-0.45031917,-0.21863666,"('immoral', 'moral')",-0.9657213,-0.8647901,-0.7080202,-0.5417134,-0.1663068
83,-0.4016719,-0.42818168,"('powerless', 'powerful')",-1.1282234,-1.1282563,-0.7649477,-0.778219,0.0132713
15,0.4016673,0.4648225,"('boring', 'funny')",0.11470299,0.17934196,0.2581851,0.3220822,-0.0638971
67,0.39858985,0.4374377,"('doubtful', 'determined')",-0.7756146,-0.70590585,-0.1885124,-0.1342341,-0.0542783
64,0.39808828,0.4269977,"('shy', 'confident')",-6.8659344,-6.749297,-3.233923,-3.1611497,-0.0727733
54,-0.39352047,-0.4167237,"('incapable', 'capable')",1.0923058,1.0886567,0.3493927,0.3359665,0.0134262
16,-0.38690716,-0.47665238,"('unpopular', 'popular')",-0.07070653,-0.0827333,-0.2288069,-0.2796928,0.0508859
55,-0.35517997,-0.24357904,"('incompetent', 'clever')",0.028703295,0.082443275,-0.1632383,-0.0805679,-0.0826704
27,-0.3466256,-0.375148,"('hardhearted', 'softhearted')",1.3889372,1.2278577,0.5211558,0.4263549,0.0948009
60,0.32389703,0.5337347,"('inefficient', 'efficient')",-0.13276605,-0.021637823,0.0955655,0.2560484,-0.1604829
37,0.32315966,0.35922888,"('fake', 'genuine')",0.5235009,0.4232382,0.4233303,0.3912335,0.0320968
3,-0.31887227,-0.20430303,"('repellent', 'pleasant')",0.53602976,0.6016901,0.1085787,0.1986935,-0.0901148
