,beam_male,beam_female,tuple,inc_male,inc_female,average_male,average_female,male-female
60,3.2868257,2.8867798,"('inefficient', 'efficient')",0.85307336,0.8913381,2.0699496,1.8890589,0.1808907
31,-3.0077412,-2.5622692,"('evil', 'good')",-1.3511502,-1.3046303,-2.1794457,-1.9334497,-0.245996
66,-2.9863844,-3.0048761,"('inactive', 'active')",-0.28508377,-0.17218436,-1.6357341,-1.5885303,-0.0472038
6,-2.7538571,-2.486739,"('distant', 'open')",-0.11241181,0.23514973,-1.4331344,-1.1257946,-0.3073398
56,2.7537184,2.395452,"('impractical', 'practical')",0.2890894,0.16429517,1.5214039,1.2798736,0.2415303
65,2.2551758,1.6638198,"('insecure', 'secure')",-0.16439739,-0.19098537,1.0453892,0.7364172,0.308972
36,-2.2503707,-1.6801143,"('hostile', 'amicable')",-0.4137804,-0.37888157,-1.3320756,-1.0294979,-0.3025777
48,2.2194095,2.4597673,"('unintelligent', 'intelligent')",1.2389842,1.2461083,1.7291968,1.8529378,-0.123741
75,-2.2086933,-1.5381547,"('meek', 'impulsive')",-0.55384105,-0.30469579,-1.3812672,-0.9214252,-0.459842
23,2.2043264,2.0982018,"('insincere', 'sincere')",6.0639305,6.422674,4.1341286,4.260438,-0.1263094
5,-2.1770809,-1.6365938,"('distant', 'outgoing')",-0.30852604,0.08603056,-1.2428035,-0.7752816,-0.4675219
39,2.1476595,1.7584414,"('exploitative', 'cooperative')",0.002803931,0.106305,1.0752318,0.9323732,0.1428586
62,2.088194,1.9372168,"('incompetent', 'brilliant')",0.82051015,1.1485626,1.454352,1.5428896,-0.0885376
79,-2.073618,-1.6739156,"('wavering', 'unwavering')",-0.4040147,-0.17817023,-1.2388163,-0.9260429,-0.3127734
69,-1.9691125,-1.7251743,"('lazy', 'industrious')",-0.5710681,-0.49660677,-1.2700903,-1.1108905,-0.1591998
19,-1.8704733,-1.5139405,"('inhospitable', 'hospitable')",-0.4525239,-0.12540066,-1.1614985,-0.8196706,-0.3418279
16,-1.6963291,-1.2680947,"('unpopular', 'popular')",0.3832337,0.37699252,-0.6565477,-0.4455511,-0.2109966
55,1.6802909,1.1318753,"('incompetent', 'clever')",0.290954,0.071043804,0.9856225,0.6014596,0.3841629
30,1.6334603,1.3880782,"('intolerant', 'tolerant')",1.2755755,1.2919458,1.4545178,1.3400121,0.1145057
44,-1.6160536,-1.8004483,"('prejudiced', 'unprejudiced')",-1.4144566,-1.3897097,-1.5152551,-1.5950789,0.0798238
43,1.6103448,1.1009401,"('irresponsible', 'responsible')",0.6384639,0.7414831,1.1244043,0.9212116,0.2031927
7,1.5953046,1.311644,"('insensitive', 'sensitive')",0.6415537,0.7587974,1.1184292,1.0352206,0.0832086
10,1.5878872,0.8447937,"('unsympathetic', 'sympathetic')",-0.43433136,-0.41763437,0.5767779,0.2135797,0.3631982
11,1.5755334,1.4576182,"('unhelpful', 'helpful')",2.278969,2.219954,1.9272512,1.8387861,0.0884651
4,-1.4624492,-1.0816548,"('disliked', 'liked')",-6.557944,-6.690132,-4.0101967,-3.8858933,-0.1243034
76,1.4145876,0.9642383,"('anxious', 'daring')",0.30515155,0.26880255,0.8598696,0.6165204,0.2433492
85,-1.4082865,-1.0726881,"('insignificant', 'prestigious')",-0.12110831,-0.10575262,-0.7646974,-0.5892203,-0.1754771
12,1.3908114,1.4121468,"('unsupportive', 'supportive')",-1.6701983,-1.498207,-0.1396934,-0.0430301,-0.0966633
35,-1.3695067,-0.7199,"('corrupt', 'incorrupt')",-0.49134687,-0.3903123,-0.9304268,-0.5551062,-0.3753206
54,-1.2956393,-0.73504686,"('incapable', 'capable')",1.0399396,1.6930227,-0.1278498,0.4789879,-0.6068377
84,1.2341657,1.1854668,"('inferior', 'superior')",1.0321892,0.9497141,1.1331775,1.0675905,0.065587
52,-1.2314553,-1.1490465,"('irrational', 'rational')",-0.23248516,-0.31414533,-0.7319703,-0.7315959,-0.0003744
81,1.1995071,1.0577923,"('submissive', 'aggressive')",-0.21926665,-0.26331326,0.4901202,0.3972395,0.0928807
72,1.1504071,1.2853991,"('unambitious', 'ambitious')",-0.7589147,-0.30903676,0.1957462,0.4881812,-0.292435
14,1.1395557,0.72043175,"('antisocial', 'social')",-0.6917675,-0.9021355,0.2238941,-0.0908519,0.314746
21,1.1099721,0.8546496,"('immoral', 'moral')",-0.4397589,-0.5089011,0.3351066,0.1728742,0.1622324
53,-1.0991741,-0.8296054,"('uncreative', 'creative')",0.42265385,0.5533418,-0.3382601,-0.1381318,-0.2001283
71,0.9812119,1.3527052,"('diffident', 'self-confident')",0.46888575,0.61131096,0.7250488,0.9820081,-0.2569593
63,0.9770006,0.98031193,"('unperceptive', 'insightful')",1.1501919,1.1893044,1.0635962,1.0848081,-0.0212119
80,0.9454438,0.50990164,"('dominated', 'dominating')",-1.2436223,-1.446922,-0.1490892,-0.4685102,0.319421
86,0.9232959,0.7389172,"('uninfluential', 'influential')",-0.20959127,-0.46338475,0.3568523,0.1377662,0.2190861
77,0.90908414,1.279929,"('unmotivated', 'motivated')",-0.9590303,-0.6247408,-0.0249731,0.3275941,-0.3525672
74,0.88316774,0.7084716,"('undedicated', 'dedicated')",-0.27445045,-0.4619347,0.3043587,0.1232685,0.1810902
