,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
39,1.5508434,1.2381661,"('exploitative', 'cooperative')",-0.20863879,-0.14130187,0.6711023,0.5484321,0.1226702
69,1.532107,1.4422277,"('lazy', 'industrious')",-0.9559892,-1.0776799,0.2880589,0.1822739,0.105785
86,-1.2995996,-1.5994987,"('uninfluential', 'influential')",0.2855535,0.0326185,-0.5070231,-0.7834401,0.276417
82,-1.2426883,-1.0326715,"('poor', 'rich')",6.594253,6.5355406,2.6757824,2.7514346,-0.0756522
2,1.239085,1.6512406,"('unlikable', 'likable')",0.69837886,0.8803091,0.9687319,1.2657748,-0.2970429
10,-1.235538,-1.2251289,"('unsympathetic', 'sympathetic')",0.15059909,0.20259587,-0.5424694,-0.5112665,-0.0312029
73,1.1880946,1.2766546,"('helpless', 'self-reliant')",-3.2802064,-3.3685675,-1.0460559,-1.0459564,-9.95e-05
53,-1.1271533,-1.1538903,"('uncreative', 'creative')",1.2602451,1.0387958,0.0665459,-0.0575472,0.1240931
57,-1.01861,-1.159882,"('unimaginative', 'imaginative')",-2.3627064,-2.638842,-1.6906582,-1.8993621,0.2087039
83,0.9629299,1.2080833,"('powerless', 'powerful')",-0.69795525,-0.61369586,0.1324873,0.2971937,-0.1647064
42,0.9608997,1.3253305,"('unreliable', 'reliable')",-2.5518513,-2.5594938,-0.7954758,-0.6170816,-0.1783942
8,-0.95425516,-1.0147661,"('unaffectionate', 'affectionate')",0.3269583,0.24181542,-0.3136484,-0.3864753,0.0728269
67,0.9111364,1.1630259,"('doubtful', 'determined')",-0.5266036,-0.22539835,0.1922664,0.4688137,-0.2765473
26,0.8792433,0.89780676,"('hardhearted', 'benevolent')",1.1651183,1.0345471,1.0221808,0.9661769,0.0560039
13,-0.8712209,-1.0172466,"('impolite', 'polite')",0.014672212,-0.07139221,-0.4282743,-0.5443194,0.1160451
85,0.86067045,1.0216205,"('insignificant', 'prestigious')",-0.13667215,-0.14561903,0.3619992,0.4380007,-0.0760015
79,-0.7714733,-0.5173678,"('wavering', 'unwavering')",-0.02612063,-0.0028694374,-0.3987969,-0.2601186,-0.1386783
46,-0.75816834,-0.8173369,"('uncompetitive', 'competitive')",-0.37981054,-0.37739694,-0.5689895,-0.5973669,0.0283774
87,0.7537163,0.82917184,"('unsuccessful', 'successful')",0.77756804,0.6969982,0.7656422,0.763085,0.0025572
23,-0.73546195,-0.7545662,"('insincere', 'sincere')",6.2922106,6.2395153,2.7783742,2.7424746,0.0358996
19,-0.73121,-0.7212678,"('inhospitable', 'hospitable')",-0.07308893,0.01146175,-0.4021495,-0.354903,-0.0472465
51,-0.6795646,-0.75286245,"('uneducated', 'educated')",1.20525,1.2136376,0.2628427,0.2303876,0.0324551
44,0.65149057,0.84759194,"('prejudiced', 'unprejudiced')",-1.5652138,-1.3211143,-0.4568616,-0.2367612,-0.2201004
20,0.6470032,0.87584054,"('rough', 'thoughtful')",0.9516016,0.9115368,0.7993024,0.8936887,-0.0943863
62,0.63356894,0.7754243,"('incompetent', 'brilliant')",0.7977667,0.84581465,0.7156678,0.8106195,-0.0949517
3,-0.6331248,-0.78578365,"('repellent', 'pleasant')",0.058934554,-0.018852348,-0.2870951,-0.402318,0.1152229
60,0.63299936,0.48922086,"('inefficient', 'efficient')",0.6519339,0.72163284,0.6424667,0.6054268,0.0370399
45,-0.60787034,-0.70265436,"('incompetent', 'competent')",-0.14428289,-0.42309797,-0.3760766,-0.5628762,0.1867996
7,-0.59842783,-0.7943314,"('insensitive', 'sensitive')",0.77997684,0.59530693,0.0907745,-0.0995122,0.1902867
28,-0.59797364,-0.60614544,"('disloyal', 'loyal')",1.0811971,0.88888913,0.2416117,0.1413718,0.1002399
66,0.58639276,0.71909976,"('inactive', 'active')",0.6658065,0.7268665,0.6260996,0.7229831,-0.0968835
55,-0.56294227,-0.5848199,"('incompetent', 'clever')",0.17228106,0.014588144,-0.1953306,-0.2851159,0.0897853
84,0.5563225,0.8204006,"('inferior', 'superior')",0.6079312,0.9104866,0.5821269,0.8654436,-0.2833167
49,-0.5528467,-0.26588944,"('unable', 'able')",-0.08911462,-0.09138881,-0.3209807,-0.1786391,-0.1423416
