,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,2.9527667,3.0015056,"('unsupportive', 'supportive')",0.25141805,0.26808834,-1.9420931,-1.9021882,0.4206972,0.4558019,-0.0351047
9,2.8281803,2.4373531,"('unaffectionate', 'caring')",0.35051745,0.24541408,1.0444949,1.0058504,1.4077309,1.2295392,0.1781917
39,2.3392608,2.17551,"('exploitative', 'cooperative')",0.40460438,0.4891014,0.12871188,0.30554208,0.9575257,0.9900511,-0.0325254
74,2.182176,2.0584912,"('undedicated', 'dedicated')",0.68834215,0.69233865,-0.18322852,-0.21157055,0.8957632,0.8464198,0.0493434
2,1.9274739,1.6963718,"('unlikable', 'likable')",1.4327596,1.276223,0.85445493,0.6725744,1.4048961,1.2150564,0.1898397
43,1.9056388,1.8914309,"('irresponsible', 'responsible')",0.0015284764,0.061990324,0.19324596,0.4232062,0.7001378,0.7922091,-0.0920713
73,1.8463353,1.7937515,"('helpless', 'self-reliant')",0.80998415,0.7275446,-3.05576,-3.1385772,-0.1331468,-0.2057604,0.0726136
16,-1.6708596,-1.7307891,"('unpopular', 'popular')",0.3192834,0.17477953,0.22541909,0.10622354,-0.3753857,-0.483262,0.1078763
8,1.5623375,1.1655931,"('unaffectionate', 'affectionate')",-0.08641588,-0.21452387,0.34605342,0.15392387,0.607325,0.368331,0.238994
38,1.5158898,1.3061061,"('untruthful', 'truthful')",-0.13817015,-0.22002508,0.07514929,-0.14556924,0.4842896,0.3135039,0.1707857
84,1.4452153,1.2484157,"('inferior', 'superior')",0.3206616,0.3273498,0.96780074,0.879997,0.911226,0.8185875,0.0926385
44,-1.4217811,-1.2887529,"('prejudiced', 'unprejudiced')",0.28374404,0.3983436,-1.160192,-1.1343915,-0.7660763,-0.6749336,-0.0911427
62,1.3597405,1.5281343,"('incompetent', 'brilliant')",0.6176641,0.7643923,0.65147614,0.9957076,0.8762936,1.0960781,-0.2197845
30,1.3103166,1.4673077,"('intolerant', 'tolerant')",0.10505347,0.18467169,0.3348679,0.4032488,0.5834126,0.6850761,-0.1016635
28,1.248187,1.0079232,"('disloyal', 'loyal')",-0.45201072,-0.73337185,0.9411687,0.9058142,0.579115,0.3934552,0.1856598
24,1.2388747,1.0785321,"('dishonest', 'honest')",-0.4281897,-0.3993904,0.4502703,0.48715895,0.4203184,0.3887669,0.0315515
56,1.232892,1.2162439,"('impractical', 'practical')",0.80038226,0.94643325,-0.4131411,-0.14536574,0.5400443,0.6724371,-0.1323928
71,1.2054428,1.0525651,"('diffident', 'self-confident')",0.94861186,0.9407681,0.45109868,0.3373828,0.8683844,0.7769054,0.091479
42,1.1057342,1.1962588,"('unreliable', 'reliable')",0.4150375,0.55001277,-2.8106062,-2.5364103,-0.4299448,-0.2633796,-0.1665652
7,1.0988612,1.3058194,"('insensitive', 'sensitive')",-0.25172132,-0.016873062,0.3339802,0.79019606,0.3937067,0.6930475,-0.2993408
33,1.081386,0.71961486,"('wrong', 'right')",0.90246433,0.770075,-0.3511918,-0.61328864,0.5442195,0.2921337,0.2520858
59,1.0572952,0.7466311,"('foolish', 'wise')",0.17395973,0.11604937,-0.021793408,-0.22951606,0.4031539,0.2110548,0.1920991
85,1.050028,0.59411633,"('insignificant', 'prestigious')",-0.21592946,-0.5922957,-0.3424073,-0.962983,0.1638971,-0.3203875,0.4842846
0,1.0331626,0.96060073,"('unsociable', 'sociable')",-0.4696222,-0.6446865,-0.61591387,-0.4373174,-0.0174578,-0.0404677,0.0230099
63,1.024462,1.1261401,"('unperceptive', 'insightful')",0.58136,0.67891395,0.45258728,0.6965666,0.6861364,0.8338736,-0.1477372
