,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.5186958,-2.1893451,"('uninfluential', 'influential')",-0.79657835,-0.69226617,-1.6576371,-1.4408057,-0.2168314
0,-2.206053,-2.276327,"('unsociable', 'sociable')",-0.39208794,-0.5782156,-1.2990705,-1.4272712,0.1282007
10,-2.1775472,-1.8524709,"('unsympathetic', 'sympathetic')",-0.78601426,-0.678621,-1.4817808,-1.265546,-0.2162348
57,-1.9533306,-1.9113519,"('unimaginative', 'imaginative')",-3.2669659,-3.2101212,-2.6101482,-2.5607367,-0.0494115
45,-1.9391413,-1.5720253,"('incompetent', 'competent')",-0.26667008,-0.36457783,-1.1029056,-0.9683015,-0.1346041
53,-1.9088255,-1.70972,"('uncreative', 'creative')",0.084367596,0.18394406,-0.9122289,-0.762888,-0.1493409
55,-1.808159,-1.3960007,"('incompetent', 'clever')",0.12684596,0.0400229,-0.8406565,-0.6779889,-0.1626676
28,-1.6454009,-1.1769023,"('disloyal', 'loyal')",0.52521354,0.78727514,-0.5600936,-0.1948136,-0.36528
1,-1.523019,-1.4296408,"('unfriendly', 'friendly')",0.9628597,1.1864483,-0.2800796,-0.1215962,-0.1584834
13,-1.5172479,-1.5383916,"('impolite', 'polite')",-0.8552532,-0.99585956,-1.1862506,-1.2671256,0.080875
46,-1.4341177,-0.9816394,"('uncompetitive', 'competitive')",-1.0003285,-1.0489572,-1.2172232,-1.0152984,-0.2019248
9,-1.3272282,-1.0843482,"('unaffectionate', 'caring')",0.77836037,1.1064131,-0.2744339,0.0110325,-0.2854664
12,-1.3178364,-1.1447573,"('unsupportive', 'supportive')",-2.1206875,-2.053305,-1.7192619,-1.5990311,-0.1202308
75,1.3158906,1.2861035,"('meek', 'impulsive')",-0.46205854,-0.3820619,0.426916,0.4520208,-0.0251048
22,-1.283162,-1.2104585,"('untrustworthy', 'trustworthy')",-1.585373,-1.389841,-1.4342675,-1.3001497,-0.1341178
58,-1.2159367,-0.5752443,"('undiscriminating', 'discriminating')",-0.22838655,0.1253867,-0.7221616,-0.2249288,-0.4972328
43,-1.2003596,-1.0935788,"('irresponsible', 'responsible')",0.17473349,-0.0060931854,-0.512813,-0.549836,0.037023
51,-1.1847668,-1.0375264,"('uneducated', 'educated')",0.10501868,0.1662067,-0.539874,-0.4356598,-0.1042142
69,1.1770178,1.0197372,"('lazy', 'industrious')",-0.5402344,-0.41614503,0.3183917,0.3017961,0.0165956
63,-1.1607382,-0.78759253,"('unperceptive', 'insightful')",0.16534638,0.4153911,-0.4976959,-0.1861007,-0.3115952
68,-1.1451358,-0.5733794,"('dependent', 'independent')",-1.1093111,-0.7998117,-1.1272235,-0.6865956,-0.4406279
11,-1.0650834,-0.95345724,"('unhelpful', 'helpful')",1.3684705,1.5012903,0.1516936,0.2739165,-0.1222229
19,-1.0342258,-0.8752935,"('inhospitable', 'hospitable')",-0.54459804,-0.39967936,-0.7894119,-0.6374865,-0.1519254
70,-1.029082,-0.88334966,"('lethargic', 'energetic')",-0.08476346,-0.099015415,-0.5569227,-0.4911825,-0.0657402
30,-1.0128162,-0.7680302,"('intolerant', 'tolerant')",0.7813774,0.50645846,-0.1157194,-0.1307859,0.0150665
60,-0.993233,-0.3595407,"('inefficient', 'efficient')",-0.13786826,0.09137321,-0.5655506,-0.1340837,-0.4314669
65,-0.99261624,-1.1903751,"('insecure', 'secure')",-0.42113122,-0.45021853,-0.7068737,-0.8202968,0.1134231
44,0.9682793,0.66963196,"('prejudiced', 'unprejudiced')",-1.19888,-1.3055961,-0.1153003,-0.3179821,0.2026818
14,-0.95927984,-1.0639033,"('antisocial', 'social')",-0.14371766,-0.49411145,-0.5514988,-0.7790074,0.2275086
73,0.94259965,1.108064,"('helpless', 'self-reliant')",-3.149218,-2.7380128,-1.1033092,-0.8149744,-0.2883348
56,-0.92606515,-0.94167894,"('impractical', 'practical')",-0.28709587,-0.60694337,-0.6065805,-0.7743112,0.1677307
23,-0.90816057,-0.8992902,"('insincere', 'sincere')",5.305585,5.1109076,2.1987121,2.1058087,0.0929034
2,0.9057316,0.89728343,"('unlikable', 'likable')",0.8274183,0.930741,0.866575,0.9140122,-0.0474372
48,-0.9017615,-0.48683244,"('unintelligent', 'intelligent')",0.44944495,0.7187977,-0.2261583,0.1159826,-0.3421409
7,-0.89276606,-0.9299752,"('insensitive', 'sensitive')",0.16363847,0.16902846,-0.3645638,-0.3804734,0.0159096
8,-0.8888834,-0.6902711,"('unaffectionate', 'affectionate')",0.38098687,0.6211193,-0.2539483,-0.0345759,-0.2193724
29,-0.87944263,-0.703675,"('unfair', 'fair')",-0.59280413,-0.48614553,-0.7361234,-0.5949103,-0.1412131
21,-0.78439546,-0.6886248,"('immoral', 'moral')",-0.45769617,-0.67460454,-0.6210458,-0.6816146,0.0605688
77,-0.7510914,-0.39667693,"('unmotivated', 'motivated')",-1.2114567,-1.054529,-0.981274,-0.7256029,-0.2556711
35,0.743254,0.5250345,"('corrupt', 'incorrupt')",-0.5871797,-0.46794704,0.0780371,0.0285437,0.0494934
32,-0.7269042,-1.1062692,"('unkind', 'kind')",0.6476377,0.46439552,-0.0396332,-0.3209369,0.2813037
38,-0.68645686,-0.54949033,"('untruthful', 'truthful')",-0.3593181,-0.20104957,-0.5228875,-0.3752699,-0.1476176
27,-0.65974814,-0.38080645,"('hardhearted', 'softhearted')",0.7284566,1.0039437,0.0343542,0.3115686,-0.2772144
79,0.6480932,-0.07233976,"('wavering', 'unwavering')",-0.4954422,-0.58694434,0.0763255,-0.3296421,0.4059676
61,-0.6302425,-0.7153603,"('illogical', 'logical')",0.53160846,0.45715955,-0.049317,-0.1291004,0.0797834
78,-0.62289304,-0.4222674,"('nonresilient', 'resilient')",-0.20369592,-0.138041,-0.4132945,-0.2801542,-0.1331403
85,0.60321605,0.28632304,"('insignificant', 'prestigious')",-0.06327765,-0.10439466,0.2699692,0.0909642,0.179005
82,-0.6021006,-0.28410384,"('poor', 'rich')",5.9212837,5.874698,2.6595917,2.7952971,-0.1357054
24,-0.59953296,-0.6414789,"('dishonest', 'honest')",0.28867182,0.50552386,-0.1554306,-0.0679775,-0.0874531
3,-0.5864469,-0.44237977,"('repellent', 'pleasant')",1.0588796,0.6295734,0.2362164,0.0935968,0.1426196
41,-0.58462214,-0.38580492,"('unforgiving', 'forgiving')",-0.31587705,-0.3271063,-0.4502496,-0.3564556,-0.093794
37,-0.526412,0.0010532811,"('fake', 'genuine')",-0.39782315,0.027873036,-0.4621176,0.0144632,-0.4765808
47,-0.4646704,-0.54050136,"('stupid', 'smart')",5.074341,5.029776,2.3048353,2.2446375,0.0601978
74,-0.44995388,-0.4537238,"('undedicated', 'dedicated')",-0.35126567,-0.5126698,-0.4006098,-0.4831968,0.082587
72,-0.4129789,0.1633489,"('unambitious', 'ambitious')",-0.68148696,-0.27563873,-0.5472329,-0.0561449,-0.491088
62,-0.4009673,0.1685465,"('incompetent', 'brilliant')",0.47490677,0.746027,0.0369697,0.4572867,-0.420317
71,-0.37076896,-0.42113155,"('diffident', 'self-confident')",0.40145698,0.32586196,0.015344,-0.0476348,0.0629788
36,0.34952894,0.0013164012,"('hostile', 'amicable')",-0.25785094,-0.31550395,0.045839,-0.1570938,0.2029328
26,-0.34421292,-0.494243,"('hardhearted', 'benevolent')",1.2750938,1.3030993,0.4654405,0.4044281,0.0610124
25,0.32812876,-0.08060758,"('egoistic', 'altruistic')",1.4207458,1.4045193,0.8744373,0.6619559,0.2124814
39,0.31443402,0.3001994,"('exploitative', 'cooperative')",0.08592868,0.15861115,0.2001814,0.2294053,-0.0292239
6,-0.31114042,-0.29970437,"('distant', 'open')",-0.6139622,-0.31867236,-0.4625513,-0.3091884,-0.1533629
18,-0.31074327,-0.4038219,"('disagreeable', 'welcoming')",-0.6328845,-0.6285214,-0.4718139,-0.5161716,0.0443577
4,-0.30483812,-0.3962313,"('disliked', 'liked')",-6.438433,-6.451628,-3.3716357,-3.4239297,0.052294
49,-0.3046003,0.3332277,"('unable', 'able')",-0.60775477,-0.17873995,-0.4561775,0.0772439,-0.5334214
42,-0.30177113,-0.17028208,"('unreliable', 'reliable')",-3.0733202,-2.9027555,-1.6875457,-1.5365188,-0.1510269
66,-0.29861373,-0.26560235,"('inactive', 'active')",0.107679546,0.25204855,-0.0954671,-0.0067769,-0.0886902
87,-0.2809407,-0.17064482,"('unsuccessful', 'successful')",0.7596308,0.8771121,0.239345,0.3532336,-0.1138886
80,-0.27245224,-0.3632294,"('dominated', 'dominating')",-0.87634313,-0.9736318,-0.5743977,-0.6684306,0.0940329
88,-0.26864558,-0.6621242,"('low', 'eminent')",-0.09732343,-0.40916306,-0.1829845,-0.5356436,0.3526591
83,-0.22902185,0.006731048,"('powerless', 'powerful')",-0.97369283,-0.71447694,-0.6013573,-0.353873,-0.2474843
67,0.20210013,0.33152223,"('doubtful', 'determined')",-0.25727972,-0.38929617,-0.0275898,-0.028887,0.0012972
76,0.19279054,0.05190655,"('anxious', 'daring')",-0.057188544,-0.24502505,0.067801,-0.0965593,0.1643603
20,-0.16810434,0.14232352,"('rough', 'thoughtful')",0.56315714,0.6829589,0.1975264,0.4126412,-0.2151148
16,-0.15785818,-0.23945254,"('unpopular', 'popular')",0.41951734,0.19144757,0.1308296,-0.0240025,0.1548321
64,-0.14849195,-0.18575777,"('shy', 'confident')",-5.941211,-6.009063,-3.0448515,-3.0974102,0.0525587
81,-0.14801699,-0.13039018,"('submissive', 'aggressive')",-0.2669393,-0.42397583,-0.2074782,-0.277183,0.0697048
40,-0.1432657,0.061253954,"('stingy', 'generous')",-2.1594977,-1.9570355,-1.1513817,-0.9478908,-0.2034909
50,0.1398472,0.40165418,"('clumsy', 'skillful')",-0.37418312,-0.051416896,-0.117168,0.1751186,-0.2922866
5,0.1363948,0.14892462,"('distant', 'outgoing')",-0.5462272,-0.27459672,-0.2049162,-0.0628361,-0.1420801
54,-0.13280694,-0.081815235,"('incapable', 'capable')",0.6905919,0.9644968,0.2788925,0.4413408,-0.1624483
31,-0.119742155,-0.4072321,"('evil', 'good')",-0.94060755,-1.0285628,-0.5301749,-0.7178974,0.1877225
84,-0.08420141,0.3429215,"('inferior', 'superior')",0.64116263,1.0203698,0.2784806,0.6816456,-0.403165
33,0.07406809,0.058265958,"('wrong', 'right')",-0.9122858,-0.57776576,-0.4191089,-0.2597499,-0.159359
17,-0.06697385,-0.2666632,"('nasty', 'nice')",-0.4872954,-0.5419508,-0.2771346,-0.404307,0.1271724
59,0.05161782,0.17497265,"('foolish', 'wise')",-0.17764287,0.15996315,-0.0630125,0.1674679,-0.2304804
15,-0.0504163,-0.5416747,"('boring', 'funny')",-0.039133865,-0.2733223,-0.0447751,-0.4074985,0.3627234
34,-0.03116736,0.349064,"('mean', 'honorable')",5.243424,5.4064584,2.6061282,2.8777611,-0.2716329
52,-0.026702318,-0.21313362,"('irrational', 'rational')",0.10336977,0.14485319,0.0383337,-0.0341402,0.0724739
